"","Y1941","Y1942","Y1943","Y1944","Y1945","Y1946","Y1947","Y1948","Y1949","Y1950","Y1951","Y1952","Y1953","Y1954","Y1955","Y1956","Y1957","Y1958","Y1959","Y1960","Y1961","Y1962","Y1963","Y1964","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015"
"ANNUAL_MIN_01Day_SW",2.89,1.42,1.76,0.425,2.32,3,1.93,4.64,3.17,1.7,0.85,2.55,2.12,6.17,4.36,1.76,5.66,1.81,5.78,5.18,4.25,6.17,4.98,6.34,5.24,6.74,5.8,7.53,7.33,5.8,7.56,6.37,5.92,5.32,6.65,7.28,7.08,6.51,5.46,5.6,6.13,7.35,7.07,7.14,4.35,4.55,4.55,6.22,5.25,6.72,6.49,4.9,6.11,6.32,6.25,6.61,7.19,5.8,7.72,6.72,6.01,6.5,3.8,4.59,6.7,3.49,7.25,6.41,5.62,5.73,6.91,4.71,6.31,4.42,4.28
"ANNUAL_MINDOY_01Day_SW",242,272,269,254,246,291,270,238,256,264,261,295,263,250,273,260,245,248,251,221,237,211,285,243,276,222,271,216,234,214,223,305,285,307,205,222,202,230,185,174,235,213,230,202,240,297,222,236,281,271,214,220,275,289,240,250,231,273,269,245,231,309,251,184,244,260,190,217,263,275,239,286,199,222,242
"ANNUAL_MIN_03Day_SW",2.94333333333333,1.56666666666667,1.87,0.425,2.49333333333333,3.05666666666667,1.93,4.72666666666667,3.32,1.75666666666667,0.925,2.55,2.17,6.25,4.39,1.76,5.66,1.95333333333333,6.34333333333333,5.31333333333333,4.32,6.31333333333333,5.04,6.57666666666667,5.37,6.94666666666667,5.94666666666667,7.56,7.37,5.86,7.69333333333333,6.51333333333333,6.25,5.37666666666667,6.89666666666667,7.33333333333333,7.18,6.63333333333333,5.47,5.64,6.20666666666667,7.41666666666667,7.15666666666667,7.23333333333333,4.44666666666667,4.61333333333333,4.66666666666667,6.36,5.31,6.84,6.58,5.02,6.45666666666667,6.40333333333333,6.41333333333333,6.72333333333333,7.38,5.86333333333333,7.81666666666667,6.82333333333333,6.07333333333333,6.69666666666667,3.96,4.59666666666667,6.74333333333333,3.5,7.29666666666667,6.48,5.76,5.89,6.94333333333333,5.14333333333333,6.46,4.44,4.38666666666667
"ANNUAL_MINDOY_03Day_SW",243,273,269,256,246,291,272,238,257,266,262,297,264,251,275,262,247,249,252,221,234,213,285,243,276,223,272,218,236,214,223,306,285,308,206,224,185,230,187,176,249,214,232,204,242,297,222,255,281,273,214,221,277,289,241,251,231,274,271,246,232,309,252,186,245,260,191,218,265,277,240,282,201,223,242
"ANNUAL_MIN_07Day_SW",2.99285714285714,1.65142857142857,1.93285714285714,0.473428571428571,2.69428571428571,3.18714285714286,1.97571428571429,4.89,3.76857142857143,1.95142857142857,1.04357142857143,2.62571428571429,2.32285714285714,6.53,4.50714285714286,1.83428571428571,5.88285714285714,2.03,6.61,5.69571428571429,4.42,6.43571428571429,5.15,6.88857142857143,5.59571428571429,7.06142857142857,6.05142857142857,7.60571428571429,7.42571428571429,5.88857142857143,8.04285714285714,6.69142857142857,6.70714285714286,5.41714285714286,7.10285714285714,7.58857142857143,7.23571428571429,6.69714285714286,5.56285714285714,5.86285714285714,6.25142857142857,7.44142857142857,7.27142857142857,7.29428571428571,4.59857142857143,4.78571428571429,5.22,6.55285714285714,5.48142857142857,7.08571428571429,6.7,5.18571428571429,6.67285714285714,6.49571428571429,6.50714285714286,6.86428571428571,7.46714285714286,5.97714285714286,7.92428571428571,7.03857142857143,6.15857142857143,6.97714285714286,4.07428571428571,4.61571428571429,6.79142857142857,3.53571428571429,7.32714285714286,6.53714285714286,5.84,5.94428571428571,7.02142857142857,5.77142857142857,6.64285714285714,4.51428571428571,4.47285714285714
"ANNUAL_MINDOY_07Day_SW",244,273,262,258,246,292,272,239,259,268,265,298,264,252,279,264,248,252,252,221,238,214,285,244,277,242,273,220,236,218,226,306,285,308,207,225,186,214,188,247,240,218,233,216,242,298,314,225,284,235,214,225,281,268,234,192,236,275,275,238,218,310,275,187,245,260,191,220,264,244,242,282,205,226,247
"ANNUAL_MIN_30Day_SW",3.687,2.09833333333333,2.09266666666667,0.721166666666667,3.34266666666667,3.64966666666667,2.274,5.903,5.23933333333333,2.57166666666667,1.41283333333333,3.057,2.949,7.376,5.176,3.446,6.962,2.59366666666667,6.91633333333333,6.789,4.65166666666667,9.49766666666667,6.194,8.397,6.82266666666667,7.27433333333333,6.32633333333333,8.67866666666667,7.738,5.97133333333333,9.26566666666667,7.553,7.193,7.24666666666667,7.26133333333333,10.0176666666667,7.35566666666667,6.79933333333333,5.74666666666667,6.778,6.80733333333333,7.578,7.68733333333333,7.353,4.816,6.347,5.58466666666667,6.629,6.85166666666667,7.18766666666667,7.01933333333333,5.407,6.87366666666667,6.82233333333333,6.673,6.99,8.302,6.21366666666667,8.05066666666667,7.125,6.305,7.521,4.129,4.69133333333333,6.938,4.179,7.48033333333333,6.80966666666667,5.92533333333333,6.045,7.06833333333333,6.40033333333333,6.85933333333333,4.65166666666667,4.59266666666667
"ANNUAL_MINDOY_30Day_SW",250,281,277,265,296,294,274,246,276,278,267,301,270,261,281,269,269,261,252,229,240,222,286,262,223,250,272,236,257,234,237,261,285,312,228,232,209,237,196,258,258,251,246,231,250,303,314,248,293,250,214,247,268,273,199,232,256,275,279,255,237,311,278,208,261,278,203,236,264,261,259,282,224,248,256
"ANNUAL_MIN_DAILY_SW",2.89,1.42,1.76,0.425,2.32,3,1.93,4.64,3.17,1.7,0.85,2.55,2.12,6.17,4.36,1.76,5.66,1.81,5.78,5.18,4.25,6.17,4.98,6.34,5.24,6.74,5.8,7.53,7.33,5.8,7.56,6.37,5.92,5.32,6.65,7.28,7.08,6.51,5.46,5.6,6.13,7.35,7.07,7.14,4.35,4.55,4.55,6.22,5.25,6.72,6.49,4.9,6.11,6.32,6.25,6.61,7.19,5.8,7.72,6.72,6.01,6.5,3.8,4.59,6.7,3.49,7.25,6.41,5.62,5.73,6.91,4.71,6.31,4.42,4.28
"ANNUAL_MAX_DAILY_SW",157,94.3,121,152,159,173,181,151,255,168,179,157,253,215,213,138,149,194,134,139,309,171,198,169,153,286,165,326,112,107,136,234,215,220,236,109,160,68.2,222,275,204,161,249,130,74.1,154,147,99.3,108,238,209,273,151,211,214,171,211,196,153,77,159,207,219,130,216,233,195,98.7,231,208,146,147,108,190,214
