"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","WY_MIN_01Day_SW","WY_MINDOY_01Day_SW","WY_MIN_03Day_SW","WY_MINDOY_03Day_SW","WY_MIN_07Day_SW","WY_MINDOY_07Day_SW","WY_MIN_30Day_SW","WY_MINDOY_30Day_SW","WY_MIN_DAILY_SW","WY_MAX_DAILY_SW","WY_MEAN_DAILY_SW","WY_TOTALQ_DAILY_SW","WY_YIELDMM_DAILY_SW","WY_CUMQ_DAILY_SW","WY_Date_25P_CUMQ_DAILY_SW","WY_Date_50P_CUMQ_DAILY_SW","WY_Date_75P_CUMQ_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1941,2.89,242,2.943,243,2.993,244,3.687,250,2.89,157,41.888,1320967008,2223.85,15288.97,47,169,335,477835200,199074240,51310368,592747200,804.436,335.142,86.381,997.891,53,35.7,29.4,17.1,15.1,13.1,5.3,2.89,3.06,10.1,34.3,84.7,107,112,46.7,30.6,49.3,30.6,12.6,5.21,9.8,80.1,81.3,157,76.316,71.857,37.184,25.227,31.065,19.477,8.519,3.976,6.885,43.416,53.93,125.7,75.6,70.55,34.8,26.8,25.8,17.5,8.18,3.77,6.61,46.7,57.2,130,59.2,41.5,31.4,20.82,22.4,14.94,6.4,3.17,4.45,10.8,43.08,101,55.2,37.9,30.9,19,16.6,13.96,5.97,3,4.133,10.6,37.07,97.1,2.27,5,2.323,7,2.437,7,2.511,7,2.27,117,37.676,1188148608,2000.25,13751.72,72,114,166,937764000,250384608,1578.727,421.523,116,44,160
1942,1.42,272,1.567,273,1.651,273,2.098,281,1.42,94.3,25.433,802050336,1350.253,9282.99,56,143,332,288964800,163054080,47324736,302706720,486.473,274.502,79.671,509.607,26.6,25.9,24.9,21.9,16.7,12.4,8.61,3.23,1.42,2.21,11,47,78.2,52.1,34.8,27.3,30.9,16.3,12.2,8.27,3.11,10.1,80.1,94.3,40.61,41.146,30.113,23.98,23.813,14.32,10.087,5.451,2.202,5.918,38.033,70.294,36.8,42.05,29.7,23.75,23.4,14.35,9.91,5.21,2.095,6.99,29.15,71.9,30,32.98,27.1,22.64,19.4,13.6,9.57,3.94,1.7,2.61,21.68,56.1,28,29.22,26.4,22.2,17.7,13.38,8.89,3.45,1.694,2.55,19.17,50.7,1.42,364,1.567,365,1.651,365,2.202,365,1.42,157,34.63,1092090816,1838.537,12639.94,63,87,159,881712000,210378816,1484.364,354.173,216,0,216
1943,1.76,269,1.87,269,1.933,262,2.093,277,1.76,121,29.46,929062656,1564.079,10753.04,60,106,163,333296640,387244800,38062656,170458560,561.105,651.927,64.079,286.967,26.1,27.3,22.7,73.1,23.1,11.4,5.55,2.78,1.76,2.15,16.6,16.4,71.9,56.6,71.6,121,68.8,23.5,11.4,5.21,2.78,22.2,30.3,38.8,46.135,43.532,38.984,92.923,37.994,17.217,8.533,3.6,2.148,9.371,23.673,31.361,45.9,43.6,35.4,90.45,33.4,16.8,8.78,3.4,2.125,5.89,23.35,32.8,34,35.28,26.4,81,27,13.42,6.65,2.94,1.93,2.66,18.62,23.9,29.7,29.88,24.1,77.87,24.4,12.47,5.97,2.94,1.87,2.32,17.25,21.7,1.76,361,1.757,1,1.724,1,2.098,8,1.76,121,33.654,1061310816,1786.719,12283.69,87,151,202,636003360,425307456,1070.713,716.006,197,36,233
1944,0.425,254,0.425,256,0.473,258,0.721,265,0.425,152,28.921,914549616,1539.646,10585.065,35,116,324,400256640,144919584,18142704,351230688,673.833,243.972,30.543,591.297,30.3,23.8,18.7,25.9,12.9,6.23,2.72,0.807,0.425,2.97,27.8,25.4,152,75,37.4,30,27,12.7,6.06,2.72,2.55,25.8,94,100,78.042,48.638,25.897,27.77,18.558,8.964,4.067,1.604,1.139,10.183,63.077,59.91,77.9,49.8,23.5,27.55,17.8,8.605,3.94,1.64,0.786,7.99,64,57.8,34.3,31.44,21.2,26.6,14.9,7.182,3.28,0.906,0.544,7.73,41.88,31.7,32.3,27.68,20.1,26.28,14,6.561,3.06,0.85,0.463,5.1,32.1,28.6,0.425,346,0.425,348,0.473,350,0.721,357,0.425,152,23.204,733777488,1235.316,8492.795,96,122,177,570715200,163062288,960.8,274.516,272,15,287
1945,2.32,246,2.493,246,2.694,246,3.343,296,2.32,159,43.835,1382365440,2327.215,15999.6,46,116,323,572996160,349021440,41440032,418907808,964.64,587.578,69.764,705.232,25.3,45.3,29.4,41.9,41.3,11.4,6.29,2.83,2.32,2.94,25,51,129,159,90.9,70.8,78.2,39.1,10.9,6.2,4.25,24.5,114,156,79.735,88.232,54.503,51.557,59.348,21.77,7.852,4.11,3.627,6.96,52.817,98.329,79.3,77.05,39.6,46,54.7,19.75,7.31,4.11,3.68,3.34,47,99.7,51.5,51.92,34.3,43.48,49.6,14.28,6.88,3.11,3.57,3.11,25.6,57.8,26.1,47.44,31.1,42.95,46.4,12.97,6.54,2.89,3.474,3.06,25.37,53.5,2.32,338,2.493,338,2.554,1,1.213,1,2.32,159,41.688,1314688320,2213.28,15216.3,84,135,194,924226848,390461472,1555.937,657.343,133,69,202
1946,3,291,3.057,291,3.187,292,3.65,294,3,173,44.504,1403473824,2362.751,16243.91,56,108,273,615392640,367770240,69718752,350592192,1036.015,619.142,117.372,590.223,71.1,34.5,53,48.1,35.1,19.7,9.94,4.56,3.45,3,10.1,53.2,117,101,134,88.1,69.7,33.7,20.4,10.3,4.67,12.7,59.7,173,94.01,53.286,87.623,58.72,55.519,25.797,15.037,7.053,4.072,5.896,17.863,107.713,91.5,47.05,79.9,57.5,54.7,25.35,15,6.71,4.11,3.62,13.1,106,83.8,35.64,68.5,54.98,44.7,22.98,11.9,5.52,3.704,3.28,11.6,68.5,77.6,34.8,58,50.8,41.3,21.28,10.7,4.81,3.609,3.23,10.97,60.6,2.94,18,3.02,19,3.057,20,3.343,23,2.94,156,46.67,1471789440,2477.76,17034.6,84,139,196,1034300448,437488992,1741.247,736.513,116,134,250
1947,1.93,270,1.93,272,1.976,272,2.274,274,1.93,181,38.19,1204364160,2027.549,13939.4,46,104,307,564433920,202095648,38711520,399123072,950.225,340.228,65.171,671.924,32.3,69.9,31.7,30,18,8.55,6.74,2.78,1.93,2.21,30,24.2,144,181,74.8,37.1,44.7,17.2,8.67,6.65,3.06,60.9,71.1,141,63.187,112.264,46.148,33.59,30.8,12.552,7.659,4.572,2.297,29.928,49.06,71.61,40.8,101.5,44.2,33.7,30,12.1,7.65,4.56,2.18,20.6,47.7,66.8,35.7,83.28,36.8,30.9,22.2,9.8,7.14,3.62,2.04,8.21,33.88,25.9,34.5,76.4,33.1,30.3,20.3,9.219,7.05,3.26,1.975,7.45,32.51,24.7,1.93,362,1.93,364,1.976,364,2.297,365,1.93,181,36.651,1155833280,1945.847,13377.7,82,131,168,915026112,240807168,1540.448,405.399,139,47,186
1948,4.64,238,4.727,238,4.89,239,5.903,246,4.64,151,46.842,1481268384,2493.718,17144.31,57,140,312,520110720,413026560,86893344,461237760,875.607,695.331,146.285,776.495,45.9,33.7,36.2,37.9,51.8,24.9,8.33,4.64,6.74,18.4,23,44.5,147,72.5,59.7,62.6,75.6,71.4,23.7,8.1,18,37.4,131,151,97.452,50.397,49.59,47.883,63.461,45.887,14.637,6.027,12.171,28.742,61.71,83.745,96.3,42.2,51.3,46.15,65.7,44.3,14,5.86,11.25,28.3,57.5,74.5,58.3,35.7,43,39.9,56.9,32.06,10.1,5.07,9.34,24.2,28.78,49.6,52.1,35.04,39.4,38.47,52.4,28.47,9,4.81,8.978,22.7,27.77,45.9,2.21,1,2.06,1,2.017,1,2.274,1,2.21,147,44.878,1419153696,2389.148,16425.39,89,139,218,919233792,499919904,1547.532,841.616,54,155,209
1949,3.17,256,3.32,257,3.769,259,5.239,276,3.17,255,41.608,1312146432,2209.001,15186.88,87,146,335,351907200,388687680,59774976,511776576,592.436,654.356,100.631,861.577,19.4,14.3,55.5,48.7,37.4,16.1,7.56,6.17,3.17,5.49,16.7,53.5,43.9,74.8,92.3,81,86.7,36.5,15.9,7.48,6.85,17.4,204,255,30.103,31.4,72.923,56.873,65.884,25.003,10.435,6.775,5.278,12.392,58.013,122.542,30.3,18.1,73.6,54.8,71.1,24.4,9.54,6.74,5.595,14.9,38.5,111,22.7,16.48,62.3,50.34,48.4,19.18,8.21,6.51,4.438,7.48,17.26,63.7,21,15.25,57.2,49.3,42.8,17.36,7.79,6.4,3.674,6.51,16.8,56.9,3.17,348,3.32,349,3.769,351,5.278,365,3.17,151,40.005,1261607616,2123.919,14601.94,68,153,210,813144960,448462656,1368.931,754.988,100,82,182
1950,1.7,264,1.757,266,1.951,268,2.572,278,1.7,168,56.895,1794229920,3020.589,20766.55,71,139,317,584444160,490717440,92867904,626200416,983.913,826.124,156.343,1054.209,46.7,36,62.3,49.3,52.7,34,14.6,5.27,1.7,2.49,48.4,94.3,117,123,143,125,71.4,53.8,32.8,14.4,5.27,84.4,132,168,63.91,65.875,94.797,81.65,60.161,45.503,22.6,9.265,2.901,36.013,76.047,124.19,54.9,49.85,84.1,80.7,59.7,47.15,21.2,9.03,2.55,39.1,73.45,119,48.7,39.54,73.1,54.64,54.9,38.22,16.4,7.31,2.31,6.97,53.92,106,48.7,38.05,70.5,52.58,53.8,36.12,15.6,6.29,1.864,2.83,52.85,100,1.7,356,1.757,358,1.951,360,2.901,365,1.7,255,53.266,1679806080,2827.956,19442.2,78,151,206,1096220736,583585344,1845.489,982.467,64,211,275
