"Year","Measure","value","prob","dist.prob"
1944,"Q001-avg",0.425,0.0131578947368421,-4.32411803673528
1951,"Q001-avg",0.85,0.0263157894736842,-3.62428166915145
1942,"Q001-avg",1.42,0.0394736842105263,-3.21205168392545
1950,"Q001-avg",1.7,0.0526315789473684,-2.91752716824826
1943,"Q001-avg",1.76,0.0657894736842105,-2.68746165852696
1956,"Q001-avg",1.76,0.0789473684210526,-2.4981366020931
1958,"Q001-avg",1.81,0.0921052631578947,-2.33689877417924
1947,"Q001-avg",1.93,0.105263157894737,-2.19619439216721
1953,"Q001-avg",2.12,0.118421052631579,-2.07115024253337
1945,"Q001-avg",2.32,0.131578947368421,-1.95843810944543
1952,"Q001-avg",2.55,0.144736842105263,-1.85568332880831
1941,"Q001-avg",2.89,0.157894736842105,-1.76113178062393
1946,"Q001-avg",3,0.171052631578947,-1.67345063105779
1949,"Q001-avg",3.17,0.184210526315789,-1.59160312574703
2006,"Q001-avg",3.49,0.197368421052632,-1.51476668165505
2003,"Q001-avg",3.8,0.210526315789474,-1.4422774646944
1961,"Q001-avg",4.25,0.223684210526316,-1.37359179587105
2015,"Q001-avg",4.28,0.236842105263158,-1.30825860236668
1985,"Q001-avg",4.35,0.25,-1.24589932370724
1955,"Q001-avg",4.36,0.263157894736842,-1.18619297460674
2014,"Q001-avg",4.42,0.276315789473684,-1.12886485239008
1986,"Q001-avg",4.55,0.289473684210526,-1.07367787003111
1987,"Q001-avg",4.55,0.302631578947368,-1.02042581331049
2004,"Q001-avg",4.59,0.315789473684211,-0.968928029806553
1948,"Q001-avg",4.64,0.328947368421053,-0.919025198216819
2012,"Q001-avg",4.71,0.342105263157895,-0.870575923056064
1992,"Q001-avg",4.9,0.355263157894737,-0.823453967132036
1963,"Q001-avg",4.98,0.368421052631579,-0.777545981928109
1960,"Q001-avg",5.18,0.381578947368421,-0.732749630326731
1965,"Q001-avg",5.24,0.394736842105263,-0.688972021086659
1989,"Q001-avg",5.25,0.407894736842105,-0.646128392892847
