"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,7.52757429677047
"Q001-avg","PIII",0.99,7.64186775934292
"Q001-avg","PIII",0.98,7.56146714086127
"Q001-avg","PIII",0.95,7.38615695684222
"Q001-avg","PIII",0.9,7.16116657362058
"Q001-avg","PIII",0.8,6.7808541491268
"Q001-avg","PIII",0.5,5.64516063289071
"Q001-avg","PIII",0.2,3.86196817187081
"Q001-avg","PIII",0.1,2.63752254573341
"Q001-avg","PIII",0.05,1.46450374935867
"Q001-avg","PIII",0.01,-1.14853962940022
"Q003-avg","PIII",0.975,7.62900543685551
"Q003-avg","PIII",0.99,7.73864902643222
"Q003-avg","PIII",0.98,7.66165973364919
"Q003-avg","PIII",0.95,7.49186183442445
"Q003-avg","PIII",0.9,7.27167300985685
"Q003-avg","PIII",0.8,6.89621474690321
"Q003-avg","PIII",0.5,5.76340824630364
"Q003-avg","PIII",0.2,3.96985236274961
"Q003-avg","PIII",0.1,2.7333308373577
"Q003-avg","PIII",0.05,1.54652561019152
"Q003-avg","PIII",0.01,-1.10221197559786
"Q007-avg","PIII",0.975,7.81815733272343
"Q007-avg","PIII",0.99,7.94544832633351
"Q007-avg","PIII",0.98,7.85550278114702
"Q007-avg","PIII",0.95,7.6648304606546
"Q007-avg","PIII",0.9,7.42633995566478
"Q007-avg","PIII",0.8,7.03186103459446
"Q007-avg","PIII",0.5,5.88383841086974
"Q007-avg","PIII",0.2,4.11899604649077
"Q007-avg","PIII",0.1,2.91958196155615
"Q007-avg","PIII",0.05,1.77608737000747
"Q007-avg","PIII",0.01,-0.758730544367616
"Q015-avg","PIII",0.975,8.08399878391066
"Q015-avg","PIII",0.99,8.23186772502286
"Q015-avg","PIII",0.98,8.12676672123566
"Q015-avg","PIII",0.95,7.91211726601705
"Q015-avg","PIII",0.9,7.65267827586477
"Q015-avg","PIII",0.8,7.23583986402454
"Q015-avg","PIII",0.5,6.06437540708459
"Q015-avg","PIII",0.2,4.31549854486242
"Q015-avg","PIII",0.1,3.14415664735731
"Q015-avg","PIII",0.05,2.03515031477088
"Q015-avg","PIII",0.01,-0.405779332037726
