"Year","Q001-avg","Q003-avg","Q007-avg","Q015-avg","Q030-avg","Q060-avg"
1941,2.89,2.943,2.993,3.19,3.687,4.797
1942,1.42,1.567,1.651,1.731,2.098,3.04
1943,1.76,1.87,1.933,1.949,2.093,2.523
1944,0.425,0.425,0.473,0.564,0.721,1.354
1945,2.32,2.493,2.694,2.974,3.343,3.402
1946,3,3.057,3.187,3.341,3.65,4.004
1947,1.93,1.93,1.976,2.077,2.274,3.29
1948,4.64,4.727,4.89,5.181,5.903,7.84
1949,3.17,3.32,3.769,4.519,5.239,5.937
1950,1.7,1.757,1.951,2.222,2.572,4.986
1951,0.85,0.925,1.044,1.34,1.413,2.383
1952,2.55,2.55,2.626,2.788,3.057,3.358
1953,2.12,2.17,2.323,2.463,2.949,4.096
1954,6.17,6.25,6.53,6.853,7.376,8.513
1955,4.36,4.39,4.507,4.674,5.176,7.617
1956,1.76,1.76,1.834,2.291,3.446,6.132
1957,5.66,5.66,5.883,6.606,6.962,7.958
1958,1.81,1.953,2.03,2.19,2.594,3.532
1959,5.78,6.343,6.61,6.873,6.916,7.385
1960,5.18,5.313,5.696,6.049,6.789,7.126
1961,4.25,4.32,4.42,4.489,4.652,5.005
1962,6.17,6.313,6.436,6.996,9.498,10.718
1963,4.98,5.04,5.15,5.613,6.194,7.536
1964,6.34,6.577,6.889,8.033,8.397,11.53
1965,5.24,5.37,5.596,6.036,6.823,7.181
1966,6.74,6.947,7.061,7.157,7.274,7.956
1967,5.8,5.947,6.051,6.196,6.326,6.882
1968,7.53,7.56,7.606,7.703,8.679,11.479
1969,7.33,7.37,7.426,7.649,7.738,8.275
1970,5.8,5.86,5.889,5.953,5.971,6.047
1971,7.56,7.693,8.043,8.361,9.266,11.47
1972,6.37,6.513,6.691,7.211,7.553,8.067
1973,5.92,6.25,6.707,6.995,7.193,7.405
1974,5.32,5.377,5.417,5.773,7.247,8.116
1975,6.65,6.897,7.103,7.222,7.261,9.6
1976,7.28,7.333,7.589,8.022,10.018,11.752
1977,7.08,7.18,7.236,7.318,7.356,7.422
1978,6.51,6.633,6.697,6.758,6.799,7.407
1979,5.46,5.47,5.563,5.672,5.747,6.531
1980,5.6,5.64,5.863,6.205,6.778,8.402
1981,6.13,6.207,6.251,6.361,6.807,7.868
1982,7.35,7.417,7.441,7.56,7.578,7.66
1983,7.07,7.157,7.271,7.373,7.687,10.158
1984,7.14,7.233,7.294,7.304,7.353,7.588
1985,4.35,4.447,4.599,4.686,4.816,5.121
1986,4.55,4.613,4.786,5.239,6.347,7.01
1987,4.55,4.667,5.22,5.468,5.585,5.731
1988,6.22,6.36,6.553,6.619,6.629,6.745
1989,5.25,5.31,5.481,6.111,6.852,7.039
1990,6.72,6.84,7.086,7.109,7.188,7.247
1991,6.49,6.58,6.7,6.811,7.019,7.154
1992,4.9,5.02,5.186,5.269,5.407,5.6
1993,6.11,6.457,6.673,6.791,6.874,6.892
1994,6.32,6.403,6.496,6.585,6.822,6.892
1995,6.25,6.413,6.507,6.573,6.673,6.736
1996,6.61,6.723,6.864,6.933,6.99,7.008
1997,7.19,7.38,7.467,7.701,8.302,11.185
1998,5.8,5.863,5.977,6.112,6.214,6.263
1999,7.72,7.817,7.924,7.967,8.051,8.745
2000,6.72,6.823,7.039,7.067,7.125,7.284
2001,6.01,6.073,6.159,6.229,6.305,6.837
2002,6.5,6.697,6.977,7.291,7.521,7.827
2003,3.8,3.96,4.074,4.089,4.129,5.048
2004,4.59,4.597,4.616,4.667,4.691,4.726
2005,6.7,6.743,6.791,6.885,6.938,7.053
2006,3.49,3.5,3.536,3.84,4.179,4.726
2007,7.25,7.297,7.327,7.368,7.48,8.45
2008,6.41,6.48,6.537,6.672,6.81,8.336
2009,5.62,5.76,5.84,5.867,5.925,6.04
2010,5.73,5.89,5.944,6.03,6.045,6.147
2011,6.91,6.943,7.021,7.039,7.068,7.985
2012,4.71,5.143,5.771,5.933,6.4,6.965
2013,6.31,6.46,6.643,6.747,6.859,7.079
2014,4.42,4.44,4.514,4.591,4.652,4.681
2015,4.28,4.387,4.473,4.519,4.593,5.027
