"Year","Measure","value"
1941,"Q001-avg",2.89
1941,"Q003-avg",2.94333333333333
1941,"Q007-avg",2.99285714285714
1941,"Q015-avg",3.19
1942,"Q001-avg",1.42
1942,"Q003-avg",1.56666666666667
1942,"Q007-avg",1.65142857142857
1942,"Q015-avg",1.73066666666667
1943,"Q001-avg",1.76
1943,"Q003-avg",1.87
1943,"Q007-avg",1.93285714285714
1943,"Q015-avg",1.94866666666667
1944,"Q001-avg",0.425
1944,"Q003-avg",0.425
1944,"Q007-avg",0.473428571428571
1944,"Q015-avg",0.5636
1945,"Q001-avg",2.32
1945,"Q003-avg",2.49333333333333
1945,"Q007-avg",2.69428571428571
1945,"Q015-avg",2.974
1946,"Q001-avg",3
1946,"Q003-avg",3.05666666666667
1946,"Q007-avg",3.18714285714286
1946,"Q015-avg",3.34066666666667
1947,"Q001-avg",1.93
1947,"Q003-avg",1.93
1947,"Q007-avg",1.97571428571429
1947,"Q015-avg",2.07733333333333
1948,"Q001-avg",4.64
1948,"Q003-avg",4.72666666666667
1948,"Q007-avg",4.89
1948,"Q015-avg",5.18066666666667
1949,"Q001-avg",3.17
1949,"Q003-avg",3.32
1949,"Q007-avg",3.76857142857143
1949,"Q015-avg",4.51866666666667
1950,"Q001-avg",1.7
1950,"Q003-avg",1.75666666666667
1950,"Q007-avg",1.95142857142857
1950,"Q015-avg",2.222
1951,"Q001-avg",0.85
1951,"Q003-avg",0.925
1951,"Q007-avg",1.04357142857143
1951,"Q015-avg",1.33966666666667
1952,"Q001-avg",2.55
1952,"Q003-avg",2.55
1952,"Q007-avg",2.62571428571429
1952,"Q015-avg",2.788
1953,"Q001-avg",2.12
1953,"Q003-avg",2.17
1953,"Q007-avg",2.32285714285714
1953,"Q015-avg",2.46266666666667
1954,"Q001-avg",6.17
1954,"Q003-avg",6.25
1954,"Q007-avg",6.53
1954,"Q015-avg",6.85266666666667
1955,"Q001-avg",4.36
1955,"Q003-avg",4.39
1955,"Q007-avg",4.50714285714286
1955,"Q015-avg",4.674
1956,"Q001-avg",1.76
1956,"Q003-avg",1.76
1956,"Q007-avg",1.83428571428571
1956,"Q015-avg",2.29133333333333
1957,"Q001-avg",5.66
1957,"Q003-avg",5.66
1957,"Q007-avg",5.88285714285714
1957,"Q015-avg",6.606
1958,"Q001-avg",1.81
1958,"Q003-avg",1.95333333333333
1958,"Q007-avg",2.03
1958,"Q015-avg",2.19
1959,"Q001-avg",5.78
1959,"Q003-avg",6.34333333333333
1959,"Q007-avg",6.61
1959,"Q015-avg",6.87333333333333
1960,"Q001-avg",5.18
1960,"Q003-avg",5.31333333333333
1960,"Q007-avg",5.69571428571429
1960,"Q015-avg",6.04866666666667
1961,"Q001-avg",4.25
1961,"Q003-avg",4.32
1961,"Q007-avg",4.42
1961,"Q015-avg",4.48933333333333
1962,"Q001-avg",6.17
1962,"Q003-avg",6.31333333333333
1962,"Q007-avg",6.43571428571429
1962,"Q015-avg",6.996
1963,"Q001-avg",4.98
1963,"Q003-avg",5.04
1963,"Q007-avg",5.15
1963,"Q015-avg",5.61266666666667
1964,"Q001-avg",6.34
1964,"Q003-avg",6.57666666666667
1964,"Q007-avg",6.88857142857143
1964,"Q015-avg",8.03333333333333
1965,"Q001-avg",5.24
1965,"Q003-avg",5.37
1965,"Q007-avg",5.59571428571429
1965,"Q015-avg",6.036
1966,"Q001-avg",6.74
1966,"Q003-avg",6.94666666666667
1966,"Q007-avg",7.06142857142857
1966,"Q015-avg",7.15666666666667
1967,"Q001-avg",5.8
1967,"Q003-avg",5.94666666666667
1967,"Q007-avg",6.05142857142857
1967,"Q015-avg",6.196
1968,"Q001-avg",7.53
1968,"Q003-avg",7.56
1968,"Q007-avg",7.60571428571429
1968,"Q015-avg",7.70333333333333
1969,"Q001-avg",7.33
1969,"Q003-avg",7.37
1969,"Q007-avg",7.42571428571429
1969,"Q015-avg",7.64933333333333
1970,"Q001-avg",5.8
1970,"Q003-avg",5.86
1970,"Q007-avg",5.88857142857143
1970,"Q015-avg",5.95266666666667
1971,"Q001-avg",7.56
1971,"Q003-avg",7.69333333333333
1971,"Q007-avg",8.04285714285714
1971,"Q015-avg",8.36133333333333
1972,"Q001-avg",6.37
1972,"Q003-avg",6.51333333333333
1972,"Q007-avg",6.69142857142857
1972,"Q015-avg",7.21066666666667
1973,"Q001-avg",5.92
1973,"Q003-avg",6.25
1973,"Q007-avg",6.70714285714286
1973,"Q015-avg",6.99533333333333
1974,"Q001-avg",5.32
1974,"Q003-avg",5.37666666666667
1974,"Q007-avg",5.41714285714286
1974,"Q015-avg",5.77333333333333
1975,"Q001-avg",6.65
1975,"Q003-avg",6.89666666666667
1975,"Q007-avg",7.10285714285714
1975,"Q015-avg",7.222
1976,"Q001-avg",7.28
1976,"Q003-avg",7.33333333333333
1976,"Q007-avg",7.58857142857143
1976,"Q015-avg",8.022
1977,"Q001-avg",7.08
1977,"Q003-avg",7.18
1977,"Q007-avg",7.23571428571429
1977,"Q015-avg",7.318
1978,"Q001-avg",6.51
1978,"Q003-avg",6.63333333333333
1978,"Q007-avg",6.69714285714286
1978,"Q015-avg",6.758
1979,"Q001-avg",5.46
1979,"Q003-avg",5.47
1979,"Q007-avg",5.56285714285714
1979,"Q015-avg",5.672
1980,"Q001-avg",5.6
1980,"Q003-avg",5.64
1980,"Q007-avg",5.86285714285714
1980,"Q015-avg",6.20533333333333
1981,"Q001-avg",6.13
1981,"Q003-avg",6.20666666666667
1981,"Q007-avg",6.25142857142857
1981,"Q015-avg",6.36133333333333
1982,"Q001-avg",7.35
1982,"Q003-avg",7.41666666666667
1982,"Q007-avg",7.44142857142857
1982,"Q015-avg",7.56
1983,"Q001-avg",7.07
1983,"Q003-avg",7.15666666666667
1983,"Q007-avg",7.27142857142857
1983,"Q015-avg",7.37266666666667
1984,"Q001-avg",7.14
1984,"Q003-avg",7.23333333333333
1984,"Q007-avg",7.29428571428571
1984,"Q015-avg",7.304
1985,"Q001-avg",4.35
1985,"Q003-avg",4.44666666666667
1985,"Q007-avg",4.59857142857143
1985,"Q015-avg",4.686
1986,"Q001-avg",4.55
1986,"Q003-avg",4.61333333333333
1986,"Q007-avg",4.78571428571429
1986,"Q015-avg",5.23933333333333
1987,"Q001-avg",4.55
1987,"Q003-avg",4.66666666666667
1987,"Q007-avg",5.22
1987,"Q015-avg",5.468
1988,"Q001-avg",6.22
1988,"Q003-avg",6.36
1988,"Q007-avg",6.55285714285714
1988,"Q015-avg",6.61866666666667
1989,"Q001-avg",5.25
1989,"Q003-avg",5.31
1989,"Q007-avg",5.48142857142857
1989,"Q015-avg",6.11133333333333
1990,"Q001-avg",6.72
1990,"Q003-avg",6.84
