"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,84.0363010752688,84.0363,1.07526879844499e-06,84.0363005376344,1.27952895542261e-08,"mean"
2,75.0873937677054,75.08739,3.76770539389781e-06,75.0873918838527,5.01776037144266e-08,"mean"
3,61.3070537634409,61.30705,3.76344090113889e-06,61.3070518817204,6.1386753817484e-08,"mean"
4,51.4871644444444,51.48716,4.44444440006464e-06,51.4871622222222,8.6321409225898e-08,"mean"
5,36.6146365591398,36.61464,-3.44086020476198e-06,36.6146382795699,9.39749883226866e-08,"mean"
6,19.9281111111111,19.92811,1.11111110001616e-06,19.9281105555555,5.57559682800136e-08,"mean"
7,11.189376344086,11.18938,-3.65591399997811e-06,11.189378172043,3.26730756952386e-07,"mean"
8,7.3486223655914,7.348622,3.65591399820175e-07,7.3486221827957,4.97496524826223e-08,"mean"
9,8.82051688888889,8.820517,-1.11111111422701e-07,8.82051694444445,1.25968933705959e-08,"mean"
10,24.5486408602151,24.54864,8.60215102704842e-07,24.5486404301076,3.50412522906904e-08,"mean"
11,66.89536,66.89536,0,66.89536,0,"mean"
12,91.0898924731183,91.08989,2.47311830037233e-06,91.0898912365591,2.71503046803479e-08,"mean"
13,44.7228474427774,44.72285,-2.55722260078528e-06,44.7228487213887,5.71793316815771e-08,"mean"
1,75.9,75.9,0,75.9,0,"median"
2,66.45,66.45,0,66.45,0,"median"
3,55.5,55.5,0,55.5,0,"median"
4,49.15,49.15,0,49.15,0,"median"
5,34.8,34.8,0,34.8,0,"median"
6,15.5,15.5,0,15.5,0,"median"
7,8.35,8.35,0,8.35,0,"median"
8,7.08,7.08,0,7.08,0,"median"
9,7.16,7.16,0,7.16,0,"median"
10,15.6,15.6,0,15.6,0,"median"
11,58.4,58.4,0,58.4,0,"median"
12,85.5,85.5,0,85.5,0,"median"
13,33.9,33.9,0,33.9,0,"median"
1,326,326,0,326,0,"max"
2,273,273,0,273,0,"max"
3,211,211,0,211,0,"max"
4,135,135,0,135,0,"max"
5,134,134,0,134,0,"max"
6,83.5,83.5,0,83.5,0,"max"
7,60.9,60.9,0,60.9,0,"max"
8,87.2,87.2,0,87.2,0,"max"
9,87.9,87.9,0,87.9,0,"max"
10,219,219,0,219,0,"max"
11,249,249,0,249,0,"max"
12,286,286,0,286,0,"max"
13,326,NA,NA,NA,NA,"max"
1,13.8,13.8,0,13.8,0,"min"
2,10,10,0,10,0,"min"
3,13.9,13.9,0,13.9,0,"min"
4,9.12,9.12,0,9.12,0,"min"
5,7.27,7.27,0,7.27,0,"min"
6,4.63,4.63,0,4.63,0,"min"
7,2.72,2.72,0,2.72,0,"min"
8,0.807,0.807,0,0.807,0,"min"
9,0.425,0.425,0,0.425,0,"min"
10,2.15,2.15,0,2.15,0,"min"
11,4.11,4.11,0,4.11,0,"min"
12,16.4,16.4,0,16.4,0,"min"
13,0.425,NA,NA,NA,NA,"min"
