"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",107.51,107.51,2.41584530158434e-13,107.51,2.24708892343442e-15,"P01"
"Aug",17.5,17.5,0,17.5,0,"P01"
"Dec",221.039999999999,221.039999999999,-5.6843418860808e-14,221.039999999999,2.57163494665256e-16,"P01"
"Feb",196.66,196.66,1.4210854715202e-13,196.66,7.22610328241738e-16,"P01"
"Jan",219.52,219.52,4.83169060316868e-13,219.52,2.20102523832393e-15,"P01"
"Jul",38.4279999999999,38.4279999999999,-2.8421709430404e-14,38.4279999999999,7.39609384573854e-16,"P01"
"Jun",65.051,65.051,2.8421709430404e-14,65.051,4.36914258511076e-16,"P01"
"Mar",157.76,157.76,2.27373675443232e-13,157.76,1.4412631557e-15,"P01"
"May",82.5519999999999,82.5519999999999,-5.6843418860808e-14,82.5519999999999,6.88577125457991e-16,"P01"
"Nov",213.51,213.51,2.27373675443232e-13,213.51,1.06493220665651e-15,"P01"
"Oct",108,108,0,108,0,"P01"
"Sep",37.9549999999999,37.9549999999999,1.4210854715202e-14,37.9549999999999,3.74413245032329e-16,"P01"
"Apr",97.706,97.706,0,97.706,0,"P02"
"Aug",15.9,15.9,0,15.9,0,"P02"
"Dec",200.52,200.52,2.8421709430404e-14,200.52,1.41740023091981e-16,"P02"
"Feb",178,178,0,178,0,"P02"
"Jan",198.52,198.52,2.8421709430404e-14,198.52,1.43167990280093e-16,"P02"
"Jul",33.952,33.952,0,33.952,0,"P02"
"Jun",58.906,58.906,7.105427357601e-15,58.906,1.20623151420925e-16,"P02"
"Mar",140,140,0,140,0,"P02"
"May",77.952,77.952,0,77.952,0,"P02"
"Nov",202,202,0,202,0,"P02"
"Oct",96,96,0,96,0,"P02"
"Sep",29.818,29.818,1.77635683940025e-14,29.818,5.95733060366306e-16,"P02"
"Apr",89.5,89.5,0,89.5,0,"P05"
"Aug",12.58,12.58,2.8421709430404e-14,12.58,2.25927737920541e-15,"P05"
"Dec",171.8,171.8,2.8421709430404e-13,171.8,1.6543486280794e-15,"P05"
"Feb",151,151,0,151,0,"P05"
"Jan",172,172,0,172,0,"P05"
"Jul",25.28,25.28,2.8421709430404e-14,25.28,1.12427648063307e-15,"P05"
"Jun",48.7,48.7,0,48.7,0,"P05"
"Mar",124.8,124.8,2.70006239588838e-13,124.8,2.16351153516697e-15,"P05"
"May",71.48,71.48,2.8421709430404e-14,71.48,3.97617647319586e-16,"P05"
"Nov",159.55,159.55,2.8421709430404e-13,159.55,1.78136693390185e-15,"P05"
"Oct",74.7399999999999,74.7399999999999,-1.4210854715202e-14,74.7399999999999,1.90137205180653e-16,"P05"
