"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","WY_MIN_01Day_SW","WY_MINDOY_01Day_SW","WY_MIN_03Day_SW","WY_MINDOY_03Day_SW","WY_MIN_07Day_SW","WY_MINDOY_07Day_SW","WY_MIN_30Day_SW","WY_MINDOY_30Day_SW","WY_MIN_DAILY_SW"
1941,2.89,1941-08-30,2.943,1941-08-31,2.993,1941-09-01,3.687,1941-09-07,2.89,2.27,1940-10-05,2.323,1940-10-07,2.437,1940-10-07,2.511,1940-10-07,2.27
1942,1.42,1942-09-29,1.567,1942-09-30,1.651,1942-09-30,2.098,1942-10-08,1.42,1.42,1942-09-29,1.567,1942-09-30,1.651,1942-09-30,2.202,1942-09-30,1.42
1943,1.76,1943-09-26,1.87,1943-09-26,1.933,1943-09-19,2.093,1943-10-04,1.76,1.76,1943-09-26,1.757,1942-10-01,1.724,1942-10-01,2.098,1942-10-08,1.76
1944,0.425,1944-09-10,0.425,1944-09-12,0.473,1944-09-14,0.721,1944-09-21,0.425,0.425,1944-09-10,0.425,1944-09-12,0.473,1944-09-14,0.721,1944-09-21,0.425
1945,2.32,1945-09-03,2.493,1945-09-03,2.694,1945-09-03,3.343,1945-10-23,2.32,2.32,1945-09-03,2.493,1945-09-03,2.554,1944-10-01,1.213,1944-10-01,2.32
1946,3,1946-10-18,3.057,1946-10-18,3.187,1946-10-19,3.65,1946-10-21,3,2.94,1945-10-18,3.02,1945-10-19,3.057,1945-10-20,3.343,1945-10-23,2.94
1947,1.93,1947-09-27,1.93,1947-09-29,1.976,1947-09-29,2.274,1947-10-01,1.93,1.93,1947-09-27,1.93,1947-09-29,1.976,1947-09-29,2.297,1947-09-30,1.93
1948,4.64,1948-08-25,4.727,1948-08-25,4.89,1948-08-26,5.903,1948-09-02,4.64,2.21,1947-10-01,2.06,1947-10-01,2.017,1947-10-01,2.274,1947-10-01,2.21
1949,3.17,1949-09-13,3.32,1949-09-14,3.769,1949-09-16,5.239,1949-10-03,3.17,3.17,1949-09-13,3.32,1949-09-14,3.769,1949-09-16,5.278,1949-09-30,3.17
1950,1.7,1950-09-21,1.757,1950-09-23,1.951,1950-09-25,2.572,1950-10-05,1.7,1.7,1950-09-21,1.757,1950-09-23,1.951,1950-09-25,2.901,1950-09-30,1.7
1951,0.85,1951-09-18,0.925,1951-09-19,1.044,1951-09-22,1.413,1951-09-24,0.85,0.85,1951-09-18,0.925,1951-09-19,1.044,1951-09-22,1.413,1951-09-24,0.85
1952,2.55,1952-10-21,2.55,1952-10-23,2.626,1952-10-24,3.057,1952-10-27,2.55,3.28,1952-09-28,3.32,1952-09-28,3.38,1952-09-28,2.078,1951-10-01,3.28
1953,2.12,1953-09-20,2.17,1953-09-21,2.323,1953-09-21,2.949,1953-09-27,2.12,2.12,1953-09-20,2.17,1953-09-21,2.323,1953-09-21,2.949,1953-09-27,2.12
1954,6.17,1954-09-07,6.25,1954-09-08,6.53,1954-09-09,7.376,1954-09-18,6.17,6.17,1954-09-07,6.25,1954-09-08,6.53,1954-09-09,3.896,1953-10-01,6.17
1955,4.36,1955-09-30,4.39,1955-10-02,4.507,1955-10-06,5.176,1955-10-08,4.36,4.36,1955-09-30,4.59,1955-09-30,4.716,1955-09-30,5.853,1955-09-30,4.36
1956,1.76,1956-09-16,1.76,1956-09-18,1.834,1956-09-20,3.446,1956-09-25,1.76,1.76,1956-09-16,1.76,1956-09-18,1.834,1956-09-20,3.446,1956-09-25,1.76
1957,5.66,1957-09-02,5.66,1957-09-04,5.883,1957-09-05,6.962,1957-09-26,5.66,5.66,1957-09-02,5.66,1957-09-04,5.883,1957-09-05,4.029,1956-10-01,5.66
1958,1.81,1958-09-05,1.953,1958-09-06,2.03,1958-09-09,2.594,1958-09-18,1.81,1.81,1958-09-05,1.953,1958-09-06,2.03,1958-09-09,2.594,1958-09-18,1.81
1959,5.78,1959-09-08,6.343,1959-09-09,6.61,1959-09-09,6.916,1959-09-09,5.78,5.78,1959-09-08,6.343,1959-09-09,5.923,1958-10-01,3.525,1958-10-01,5.78
1960,5.18,1960-08-08,5.313,1960-08-08,5.696,1960-08-08,6.789,1960-08-16,5.18,5.18,1960-08-08,5.313,1960-08-08,5.696,1960-08-08,6.789,1960-08-16,5.18
1961,4.25,1961-08-25,4.32,1961-08-22,4.42,1961-08-26,4.652,1961-08-28,4.25,4.25,1961-08-25,4.32,1961-08-22,4.42,1961-08-26,4.652,1961-08-28,4.25
1962,6.17,1962-07-30,6.313,1962-08-01,6.436,1962-08-02,9.498,1962-08-10,6.17,6.17,1962-07-30,6.313,1962-08-01,6.436,1962-08-02,9.498,1962-08-10,6.17
1963,4.98,1963-10-12,5.04,1963-10-12,5.15,1963-10-12,6.194,1963-10-13,4.98,6.26,1963-09-30,6.39,1963-09-30,6.54,1963-09-30,6.85,1963-09-30,6.26
