"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1941,365,365,0,2.89,157,41.8875890410959,37.0609143612538
1942,365,365,0,1.42,94.3,25.4328493150685,21.2162459417094
1943,365,365,0,1.76,121,29.4603835616438,25.8586141059193
1944,366,366,0,0.425,152,28.9209426229508,30.7384546334755
1945,365,365,0,2.32,159,43.8345205479452,39.2665368761337
1946,365,365,0,3,173,44.5038630136986,39.0318139137648
1947,365,365,0,1.93,181,38.1901369863014,37.1122767554107
1948,366,366,0,4.64,151,46.8423770491803,33.1013721534885
1949,365,365,0,3.17,255,41.6078904109589,42.8548602420027
1950,365,365,0,1.7,168,56.8946575342466,38.9485384370152
1951,365,365,0,0.85,179,45.3742054794521,41.1029976976089
1952,366,366,0,2.55,157,36.6723770491803,32.3730160435943
1953,365,365,0,2.12,253,59.1224383561644,58.7036620141644
1954,365,365,0,6.17,215,57.5117808219178,50.4674652770504
1955,365,365,0,4.36,213,43.0749315068493,33.6864762917419
1956,366,366,0,1.76,138,50.4008469945355,31.5139135976403
1957,365,365,0,5.66,149,34.5432602739726,29.2699095019698
1958,365,365,0,1.81,194,51.5453150684932,52.9160375907891
1959,365,365,0,5.78,134,44.0291780821918,36.2831195558928
1960,366,366,0,5.18,139,44.6506010928962,34.660956142807
1961,365,365,0,4.25,309,55.0707671232877,54.725499279476
1962,365,365,0,6.17,171,45.943698630137,42.0494288258385
1963,365,365,0,4.98,198,51.0326849315069,46.2580006673264
1964,366,366,0,6.34,169,43.9890983606557,32.3106264975514
1965,365,365,0,5.24,153,42.3941369863014,35.2710372830902
1966,365,365,0,6.74,286,53.0844109589041,53.5017612783504
1967,365,365,0,5.8,165,53.7087123287671,42.0240557122011
1968,366,366,0,7.53,326,59.6670765027322,53.3122109883922
1969,365,365,0,7.33,112,43.2869863013699,28.1452270212816
1970,365,365,0,5.8,107,34.5001643835616,27.9303104383337
1971,365,365,0,7.56,136,51.375698630137,33.2012626922453
1972,366,366,0,6.37,234,46.5703278688525,46.1083192553116
1973,365,365,0,5.92,215,45.4960273972603,47.8918945268703
1974,365,365,0,5.32,220,59.0976164383562,48.4530967048757
1975,365,365,0,6.65,236,55.3560547945205,49.0009623901595
1976,366,366,0,7.28,109,39.7183606557377,26.0041161766191
1977,365,365,0,7.08,160,40.3800273972603,34.6139741083089
1978,365,365,0,6.51,68.2,28.2984383561644,17.0430868980976
1979,365,365,0,5.46,222,37.9325479452055,41.8799755295806
1980,366,366,0,5.6,275,47.4360928961749,45.9274487035666
1981,365,365,0,6.13,204,51.478602739726,42.1190125358886
1982,365,365,0,7.35,161,44.464602739726,36.990456412023
1983,365,365,0,7.07,249,53.6319726027397,55.65334351546
1984,366,366,0,7.14,130,49.0344262295082,31.3440131981933
1985,365,365,0,4.35,74.1,24.3428767123288,17.0971099253848
1986,365,365,0,4.55,154,40.7256164383562,38.8024566312715
1987,365,365,0,4.55,147,40.8939726027397,40.5117961161893
1988,366,366,0,6.22,99.3,39.6466393442623,27.5558361352619
1989,365,365,0,5.25,108,35.4722739726027,27.8779485511262
1990,365,365,0,6.72,238,52.0780547945205,52.7301600031048
1991,365,365,0,6.49,209,41.6935890410959,40.2185747570695
1992,366,366,0,4.9,273,37.7961475409836,48.226725872752
1993,365,365,0,6.11,151,32.0438356164384,28.3782304657727
1994,365,365,0,6.32,211,42.6801917808219,44.2910894620165
1995,365,365,0,6.25,214,56.1028767123288,56.9883874829827
1996,366,366,0,6.61,171,43.1377049180328,34.9633301395075
1997,365,365,0,7.19,211,64.1304931506849,38.9571305563527
1998,365,365,0,5.8,196,47.6741643835616,52.8677754233584
1999,365,365,0,7.72,153,59.4416712328767,42.4163122286512
2000,366,366,0,6.72,77,33.0214754098361,18.8069085967866
2001,365,365,0,6.01,159,36.6873150684931,32.4087827165252
2002,365,365,0,6.5,207,43.3194794520548,40.2738730240172
2003,365,365,0,3.8,219,51.1884931506849,48.9497258989293
2004,366,366,0,4.59,130,37.3565300546448,33.8685203373915
2005,365,365,0,6.7,216,39.8023835616438,40.5119075571419
2006,365,365,0,3.49,233,55.2090136986301,61.1682666876706
2007,365,365,0,7.25,195,56.3235616438356,46.9216953021424
2008,366,366,0,6.41,98.7,33.4414207650273,22.4131913250469
2009,365,365,0,5.62,231,40.7439726027397,46.6816709077076
2010,365,365,0,5.73,208,51.7249863013699,44.1446619775534
2011,365,365,0,6.91,146,48.8430410958904,35.2047426923422
2012,366,366,0,4.71,147,48.8334153005464,36.2196729193674
2013,365,365,0,6.31,108,34.172301369863,24.5464692782853
2014,365,365,0,4.42,190,44.3481643835616,41.2046142883806
2015,365,365,0,4.28,214,43.9929863013699,46.6583348279238
