"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",2.417,2.438,-0.0210000000000004,2.4275,0.00865087538619994
0.01,"Q003-avg-q",2.492,2.544,-0.052,2.518,0.0206513105639397
0.01,"Q007-avg-q",2.552,2.612,-0.0600000000000001,2.582,0.0232378001549187
0.01,"Q015-avg-q",2.647,2.738,-0.0910000000000002,2.6925,0.0337975858867225
0.01,"Q030-avg-q",2.773,2.881,-0.108,2.827,0.0382030420940926
0.01,"Q060-avg-q",3.238,3.263,-0.0249999999999999,3.2505,0.00769112444239345
0.01,"Q090-avg-q",3.737,3.897,-0.16,3.817,0.041917736442232
0.05,"Q001-avg-q",2.95,2.976,-0.0259999999999998,2.963,0.00877489031387101
0.05,"Q003-avg-q",3.066,3.108,-0.0420000000000003,3.087,0.0136054421768708
0.05,"Q007-avg-q",3.163,3.228,-0.0650000000000004,3.1955,0.0203411046784542
0.05,"Q015-avg-q",3.291,3.378,-0.0870000000000002,3.3345,0.0260908681961314
0.05,"Q030-avg-q",3.404,3.513,-0.109,3.4585,0.0315165534191123
0.05,"Q060-avg-q",3.769,3.783,-0.0139999999999998,3.776,0.00370762711864401
0.05,"Q090-avg-q",4.11,4.269,-0.159,4.1895,0.0379520229144289
0.1,"Q001-avg-q",3.25,3.29,-0.04,3.27,0.0122324159021407
0.1,"Q003-avg-q",3.384,3.433,-0.0489999999999999,3.4085,0.0143758251430248
0.1,"Q007-avg-q",3.5,3.579,-0.0790000000000002,3.5395,0.0223195366577201
0.1,"Q015-avg-q",3.646,3.74,-0.0940000000000003,3.693,0.0254535607906852
0.1,"Q030-avg-q",3.76,3.878,-0.118,3.819,0.0308981408745746
0.1,"Q060-avg-q",4.081,4.116,-0.0349999999999993,4.0985,0.00853970964987172
0.1,"Q090-avg-q",4.368,4.545,-0.177,4.4565,0.039717266913497
0.2,"Q001-avg-q",3.623,3.693,-0.0699999999999998,3.658,0.0191361399671951
0.2,"Q003-avg-q",3.773,3.847,-0.0739999999999998,3.81,0.0194225721784776
0.2,"Q007-avg-q",3.91,4.02,-0.109999999999999,3.965,0.0277427490542243
0.2,"Q015-avg-q",4.074,4.192,-0.118,4.133,0.0285506895717397
0.2,"Q030-avg-q",4.201,4.344,-0.143000000000001,4.2725,0.0334698654183735
0.2,"Q060-avg-q",4.487,4.583,-0.0960000000000001,4.535,0.0211686879823594
0.2,"Q090-avg-q",4.749,4.977,-0.228000000000001,4.863,0.0468846391116596
0.5,"Q001-avg-q",4.349,4.53,-0.181,4.4395,0.0407703570221872
0.5,"Q003-avg-q",4.507,4.689,-0.182,4.598,0.0395824271422358
0.5,"Q007-avg-q",4.671,4.893,-0.222,4.782,0.0464240903387703
0.5,"Q015-avg-q",4.861,5.074,-0.213,4.9675,0.0428787116255662
