"","Y1965","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012"
"ANNUAL_MIN_01Day_SW",3.539999962,5.800000191,4.110000134,5.099999905,4.980000019,4.25,6,5.829999924,3.109999895,3.279999971,6.429999828,4.619999886,4.159999847,4.639999866,3.839999914,4.420000076,4.659999847,5.320000172,5.710000038,4.119999886,3.359999895,3.450000048,3.599999905,4.139999866,4.079999924,4.889999866,4.610000134,3.74000001,4.889999866,4.800000191,4.670000076,4.630000114,7.449999809,3.960000038,6.010000229,5.230000019,4.210000038,4.980000019,2.68,2.769999981,4.960000038,2.579999924,5.639999866,5.300000191,5.480000019,4.389999866,5.679999828,3.549999952
"ANNUAL_MINDOY_01Day_SW",276,215,243,219,228,203,223,304,285,308,206,223,227,212,187,244,252,213,225,203,241,297,221,244,280,227,233,221,276,233,175,239,231,264,260,246,230,309,271,228,221,256,197,218,242,242,256,281
"ANNUAL_MIN_03Day_SW",3.74666666966667,5.93666680666667,4.110000134,5.2233332,4.980000019,4.34333340333333,6.29333337133333,6,4.46999979,3.443333387,6.71333328866667,4.97666660966667,4.643333435,4.699999968,3.919999997,4.429999987,4.83333333333333,5.36000013366667,5.74666674933333,4.41999991766667,3.61666671433333,3.49000000966667,3.73333326966667,4.41666666666667,4.12000004466667,4.96666653933333,4.70666662866667,3.79000004133333,5.060000102,4.88000011466667,4.80000003166667,4.649999936,7.519999981,3.99666674933333,6.12000004433333,5.30000003166667,4.22666660933333,5.106666724,2.75,2.823333343,5.02000014,2.616666635,5.679999987,5.330000083,5.53333330166667,4.459999879,5.83999983433333,3.596666654
"ANNUAL_MINDOY_03Day_SW",276,224,256,220,238,204,224,304,253,309,207,223,227,213,188,244,249,234,233,203,234,297,222,245,281,227,210,221,247,234,176,239,236,249,261,246,232,309,277,229,221,257,198,220,264,260,258,282
"ANNUAL_MIN_07Day_SW",4.22428570471429,6.30571433485714,4.32000010371429,5.25857128428571,5.07142857142857,4.642857211,6.71857139028571,6.14142853885714,4.56999996714286,3.712857178,6.92285708,5.40571423957143,4.97571427485714,4.78000000542857,3.94142862728571,4.89714281885714,4.93142856857143,5.38142858242857,5.85714285728571,5.021428517,3.71714282042857,3.67999999871429,3.96857145857143,4.52999993742857,4.36857148585714,5.24571425557143,4.765714305,4.00285717428571,5.09000008457143,5.03714282157143,4.87285709385714,4.71999992628571,7.58999994814286,4.01857147914286,6.23571429928571,5.39142860671429,4.26428570071429,5.31714289542857,2.77,2.88857146685714,5.13142858228571,2.66000001771429,5.81000001071429,5.44857140971429,5.57857138785714,4.56142854685714,5.89285700642857,4.13857153485714
"ANNUAL_MINDOY_07Day_SW",276,225,269,223,240,206,225,262,279,309,210,225,227,215,177,245,253,219,233,207,243,298,314,224,284,227,214,224,251,245,181,243,236,250,261,247,232,310,277,233,222,259,245,221,268,242,260,277
"ANNUAL_MIN_30Day_SW",5.07000006023333,6.4456666947,4.6523333869,6.56899989446667,5.35766660363333,5.03566668833333,7.91999998086667,6.38533333146667,4.83566660873333,5.64000001743333,7.1133332728,8.39766658163333,5.51066668836667,5.2350000063,4.2550000271,5.29766667683333,5.52866663926667,5.5186666807,6.39300003053333,5.2619999886,3.88133331936667,4.1736666918,4.3356666883,4.7653333028,5.35433335306667,5.36033333133333,4.9990000089,4.3036666632,5.2016667049,5.29800004956667,5.1043333531,4.88633332253333,8.3873333136,4.1366666715,6.41200002026667,5.52466669073333,4.70466664626667,5.75833333333333,2.97533331616667,2.9886666934,5.27033333783333,2.9596666654,5.95266668003333,5.66900003753333,5.62499996826667,4.7919999917,6.2103333473,4.68766668636667
"ANNUAL_MINDOY_30Day_SW",223,244,270,237,256,230,237,262,278,312,234,231,234,237,193,259,260,239,247,246,244,257,314,246,285,241,236,247,259,251,200,265,256,268,279,250,233,311,278,233,246,278,259,232,271,260,264,283
"ANNUAL_MIN_DAILY_SW",3.539999962,5.800000191,4.110000134,5.099999905,4.980000019,4.25,6,5.829999924,3.109999895,3.279999971,6.429999828,4.619999886,4.159999847,4.639999866,3.839999914,4.420000076,4.659999847,5.320000172,5.710000038,4.119999886,3.359999895,3.450000048,3.599999905,4.139999866,4.079999924,4.889999866,4.610000134,3.74000001,4.889999866,4.800000191,4.670000076,4.630000114,7.449999809,3.960000038,6.010000229,5.230000019,4.210000038,4.980000019,2.68,2.769999981,4.960000038,2.579999924,5.639999866,5.300000191,5.480000019,4.389999866,5.679999828,3.549999952
"ANNUAL_MAX_DAILY_SW",196,362,213,450,150,153,187,425,337,343,345,165,233,101,336,385,244,217,303,197,86.40000153,400,198,139,176,326,248,324,191,257,286,254,359,325,282,88.69999695,255,289,312,213,321,333,381,166,407,365,222,229
"ANNUAL_MEAN_DAILY_SW",47.7262465195479,60.3254518850712,61.709917751663,69.525027298541,47.5065479025945,36.8476712497973,55.6226576845945,53.932295065877,53.3354520933425,69.4606575554164,66.5918630247233,47.7715300184016,47.6957260052603,30.2525205536137,43.4654246793699,58.6596720948525,60.3122740849644,49.7634794863315,61.2967397414959,58.1211200750191,27.7545479034877,52.8535890083397,47.3614247270082,46.1110109670109,40.1717260230849,59.7154794392575,45.9352329699562,42.7496994823525,33.4678904495973,47.672931473937,71.3442192116658,50.6037704306503,79.1223286811562,57.352328744126,71.8006302010027,36.6093169653661,41.9732603086767,49.3046300548219,66.0323287897945,43.5291803731858,48.5167671583616,70.730027381,71.4507671499616,40.5884700420383,53.1628218991096,64.3641643393562,57.9724656915342,58.5145081965519
"ANNUAL_TOTALQ_DAILY_SW",1505094910.24046,1902423450.64761,1946083966.21644,2198548223.24538,1498166494.65622,1162028160.53361,1754116132.74137,1705468607.49119,1681986817.21565,2190511296.66761,2100040992.34767,1510650430.8539,1504132415.30189,954043488.178761,1370725632.68861,1854959614.85226,1902007875.54344,1569341089.08095,1933053984.48781,1837929307.46028,875267422.684387,1666790782.967,1493589890.19093,1458140833.20321,1266855551.86401,1883187359.59643,1448613506.94054,1351848096.91074,1055443393.2185,1503413566.96208,2249911297.05909,1600212670.0662,2495201757.28894,1808663039.27476,2264304674.01882,1157674464.80559,1323668737.09443,1554870813.40886,2082395520.71496,1376497153.43303,1530024769.10609,2230542143.48722,2253271392.84119,1283504835.05735,1676542751.41032,2029788286.60594,1828219678.04822,1850369183.99464
"ANNUAL_YIELDMM_DAILY_SW",1822.1488017439,2303.1760903724,2356.0338574049,2661.68065768206,1813.76088941431,1406.81375367265,2123.62727934791,2064.73197032832,2036.30365280345,2651.95072235788,2542.42250889549,1828.87461362458,1820.98355363425,1155.01632951424,1659.47413158427,2245.71381943373,2302.67297281288,1899.92867927476,2340.25906112326,2225.09601387444,1059.6457901748,2017.9065169092,1808.22020604229,1765.30367215885,1533.72342840679,2279.88784454773,1753.76937886264,1636.6199720469,1277.77650510714,1820.1132771938,2723.86355576161,1937.30347465641,3020.82537202051,2189.66469645855,2741.28895159664,1401.54293559999,1602.5045243274,1882.41018572502,2521.05995243942,1666.46144483418,1852.330228942,2700.41421729687,2727.93146833074,1553.87994559001,2029.7127741045,2457.37080702898,2213.34101458623,2240.15639708795
"ANNUAL_CUMQ_DAILY_SW",17420.079979635,22018.789938051,22524.119979357,25446.159991266,17339.889984447,13449.400006176,20302.270054877,19739.219994111,19467.44001407,25353.140007727,24306.030004024,17484.379986735,17408.93999192,11042.170002069,15864.88000797,21469.439986716,22013.980041012,18163.670012511,22373.310005646,21272.329947457,10130.409984773,19291.559988044,17286.920025358,16876.630013926,14662.679998426,21796.149995329,16766.360034034,15646.390010541,12215.780014103,17400.619987987,26040.640012258,18520.979977618,28879.649968622,20933.599991606,26207.230023366,13399.010009324,15320.240012667,17996.18997001,24101.800008275,15931.680016586,17708.620012802,25816.459994065,26079.530009736,14855.380035386,19404.429993175,23492.919983865,21159.94997741,21416.309999938
"ANNUAL_Date_25P_CUMQ_DAILY_SW",55,48,39,32,81,48,48,62,30,37,89,37,69,40,67,51,54,51,45,54,80,32,33,66,50,58,39,30,70,54,50,38,57,36,42,53,70,34,39,39,36,32,45,42,90,36,45,45
"ANNUAL_Date_50P_CUMQ_DAILY_SW",141,129,111,84,126,105,106,98,149,91,297,91,244,97,167,124,176,120,75,123,134,76,71,123,104,265,96,51,121,86,108,102,124,97,107,121,236,94,95,120,108,128,102,118,311,109,95,109
"ANNUAL_Date_75P_CUMQ_DAILY_SW",327,341,314,310,295,327,266,302,341,204,325,160,334,275,348,336,327,321,317,311,310,199,181,321,318,331,323,197,333,322,333,310,295,335,315,302,337,323,300,330,310,329,319,293,331,317,280,318
"JFM_TOTALQ_DAILY_SW",565669440.528768,732991673.4768,874480319.932608,1148152320.92362,443759039.702784,492134398.677216,768821761.452384,797618879.407296,740543040.856224,1083352320.92448,532906559.141184,756112319.932608,506744640.526176,450567360.136512,522210240.936576,767707199.670816,658255682.208384,688711680.395712,1084121278.41629,744551998.351488,247535999.834112,944023680.395712,893885762.107296,512939520.264384,531982078.41888,658393919.275968,703200960.134784,896045761.612224,377585280.39744,784140480.067392,1040739841.18714,764138879.410752,985175999.011584,886965119.607744,1058011199.99914,470672639.542944,374544000.083808,763542718.942464,996312959.80128,609180480.235872,604186559.639712,976268160.459648,1045543679.73562,555906241.51632,423973439.046144,865581118.94592,871732798.351488,809023679.735616
"AMJ_TOTALQ_DAILY_SW",232522271.420861,314576352.977789,258498431.058672,227285566.673501,540264385.594685,222619104.751594,449962561.698624,363951359.22672,159158304.296438,512118718.942464,307342080.564192,430358398.515648,213457248.179798,166250880.273542,168313248.035856,229981247.355283,310749699.326918,239137920.430272,164309473.069632,380806272.042768,254879998.268458,295191647.603165,226875167.49888,388029312.981763,279964511.49672,240517727.174966,167297184.035942,107343359.844048,315653760.547776,200471327.339645,161398655.665373,300474143.301888,519428157.328512,113498495.699674,439966081.05408,297181439.374464,254214721.168992,287354302.573363,311927328.326506,135324864.431741,391680577.248739,239394526.845005,310594175.724211,292714561.368576,267626592.057197,414793440.485222,420056929.276819,393163200.330912
"JAS_TOTALQ_DAILY_SW",48689855.9959392,74649599.7541056,44503776.3432672,93315455.5851936,76129631.142912,46146239.826336,104791967.907293,94936320.3468096,49729248.1379808,105398496.15431,98178912.5256576,96090623.657424,52511327.9990496,95011488.1307232,77674463.978832,64524383.7899616,77556095.8233984,58525632.050112,112688928.452909,66518495.9474688,40603679.962848,51728543.8596,46415807.8989984,46855584.2003616,45534527.9159328,50489567.948592,122873760.379987,44648063.8343712,50913792.0182304,46701792.1003968,44616960.3380832,40623551.9849664,170220960.752717,35138880.0456192,96341183.7892704,56720736.1859328,55390175.7249888,50770368.0722304,38440223.844048,35883648.0560736,52456896.1117152,31023648.035856,61282656.1613952,77844672.2070144,47885471.9193024,43291584.0772416,64668672.0019008,63979200.0823392
