"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,6.71326250572765
"Q001-avg","PIII",0.99,7.13957832524227
"Q001-avg","PIII",0.98,6.82224662064252
"Q001-avg","PIII",0.95,6.34849465840639
"Q001-avg","PIII",0.9,5.93212452573922
"Q001-avg","PIII",0.8,5.4369280997913
"Q001-avg","PIII",0.5,4.5295392209368
"Q001-avg","PIII",0.2,3.69299723585203
"Q001-avg","PIII",0.1,3.28978944314137
"Q001-avg","PIII",0.05,2.97617131669459
"Q001-avg","PIII",0.01,2.43753650534288
"Q003-avg","PIII",0.975,6.77003791858595
"Q003-avg","PIII",0.99,7.15374066932378
"Q003-avg","PIII",0.98,6.86888315388648
"Q003-avg","PIII",0.95,6.43553175689728
"Q003-avg","PIII",0.9,6.04699279111279
"Q003-avg","PIII",0.8,5.57597004102064
"Q003-avg","PIII",0.5,4.68923953468489
"Q003-avg","PIII",0.2,3.8468805691193
"Q003-avg","PIII",0.1,3.43316634648756
"Q003-avg","PIII",0.05,3.10822977572006
"Q003-avg","PIII",0.01,2.54439667947349
"Q007-avg","PIII",0.975,6.85082357832575
"Q007-avg","PIII",0.99,7.17362373302737
"Q007-avg","PIII",0.98,6.93526536813401
"Q007-avg","PIII",0.95,6.55870241245286
"Q007-avg","PIII",0.9,6.2076309606526
"Q007-avg","PIII",0.8,5.76621414487293
"Q007-avg","PIII",0.5,4.89306567810432
"Q007-avg","PIII",0.2,4.02030986342967
"Q007-avg","PIII",0.1,3.57916622856681
"Q007-avg","PIII",0.05,3.22808680613306
"Q007-avg","PIII",0.01,2.61176708502403
"Q015-avg","PIII",0.975,6.98067529478367
"Q015-avg","PIII",0.99,7.2822931542446
"Q015-avg","PIII",0.98,7.06001012668251
"Q015-avg","PIII",0.95,6.70402408991881
"Q015-avg","PIII",0.9,6.36739504912775
"Q015-avg","PIII",0.8,5.93840472435729
"Q015-avg","PIII",0.5,5.07371936094242
"Q015-avg","PIII",0.2,4.1915576585141
"Q015-avg","PIII",0.1,3.73992220215521
"Q015-avg","PIII",0.05,3.37806777263273
"Q015-avg","PIII",0.01,2.73819254202212
"Q030-avg","PIII",0.975,7.69146570897257
"Q030-avg","PIII",0.99,8.14066088404117
"Q030-avg","PIII",0.98,7.80690414239534
"Q030-avg","PIII",0.95,7.30215074316565
"Q030-avg","PIII",0.9,6.85237995058024
"Q030-avg","PIII",0.8,6.31029484175239
"Q030-avg","PIII",0.5,5.29793328504915
"Q030-avg","PIII",0.2,4.34434585856105
"Q030-avg","PIII",0.1,3.87831749404038
"Q030-avg","PIII",0.05,3.51315488321637
"Q030-avg","PIII",0.01,2.88091672987191
"Q060-avg","PIII",0.975,10.469621171142
"Q060-avg","PIII",0.99,11.8888174590006
"Q060-avg","PIII",0.98,10.8111990360499
"Q060-avg","PIII",0.95,9.41951721213899
"Q060-avg","PIII",0.9,8.37331974489316
"Q060-avg","PIII",0.8,7.30326211603662
"Q060-avg","PIII",0.5,5.72131106542312
"Q060-avg","PIII",0.2,4.58294153162505
"Q060-avg","PIII",0.1,4.11631320465284
"Q060-avg","PIII",0.05,3.78333512441147
"Q060-avg","PIII",0.01,3.26305060929198
"Q090-avg","PIII",0.975,14.1130779089416
"Q090-avg","PIII",0.99,17.3049414101869
"Q090-avg","PIII",0.98,14.845393138415
"Q090-avg","PIII",0.95,12.0022916840074
"Q090-avg","PIII",0.9,10.1076654284714
"Q090-avg","PIII",0.8,8.38237688628256
"Q090-avg","PIII",0.5,6.22593119634575
"Q090-avg","PIII",0.2,4.97666517628517
"Q090-avg","PIII",0.1,4.54487325247985
"Q090-avg","PIII",0.05,4.26872028821751
"Q090-avg","PIII",0.01,3.89746989621229
