"Year","Measure","value"
1965,"Q001-avg",3.539999962
1965,"Q003-avg",3.74666666966667
1965,"Q007-avg",4.22428570471429
1965,"Q015-avg",4.63333331746667
1965,"Q030-avg",5.07000006023333
1965,"Q060-avg",5.53866669325
1965,"Q090-avg",5.98100000213333
1966,"Q001-avg",5.800000191
1966,"Q003-avg",5.93666680666667
1966,"Q007-avg",6.30571433485714
1966,"Q015-avg",6.41933339446667
1966,"Q030-avg",6.4456666947
1966,"Q060-avg",6.95133334003333
1966,"Q090-avg",7.50599999957778
1967,"Q001-avg",4.110000134
1967,"Q003-avg",4.110000134
1967,"Q007-avg",4.32000010371429
1967,"Q015-avg",4.41533343026667
1967,"Q030-avg",4.6523333869
1967,"Q060-avg",5.057333382
1967,"Q090-avg",5.54677782064444
1968,"Q001-avg",5.099999905
1968,"Q003-avg",5.2233332
1968,"Q007-avg",5.25857128428571
1968,"Q015-avg",5.56333325706667
1968,"Q030-avg",6.56899989446667
1968,"Q060-avg",9.51899992631667
1968,"Q090-avg",10.5128887920667
1969,"Q001-avg",4.980000019
1969,"Q003-avg",4.980000019
1969,"Q007-avg",5.07142857142857
1969,"Q015-avg",5.26199992486667
1969,"Q030-avg",5.35766660363333
1969,"Q060-avg",5.88199996938333
1969,"Q090-avg",6.72211107141111
1970,"Q001-avg",4.25
1970,"Q003-avg",4.34333340333333
1970,"Q007-avg",4.642857211
1970,"Q015-avg",4.86333319333333
1970,"Q030-avg",5.03566668833333
1970,"Q060-avg",5.09466659226667
1970,"Q090-avg",5.284666623
1971,"Q001-avg",6
1971,"Q003-avg",6.29333337133333
1971,"Q007-avg",6.71857139028571
1971,"Q015-avg",6.85333331426667
1971,"Q030-avg",7.91999998086667
1971,"Q060-avg",10.2328333217833
1971,"Q090-avg",11.3707777869667
1972,"Q001-avg",5.829999924
1972,"Q003-avg",6
1972,"Q007-avg",6.14142853885714
1972,"Q015-avg",6.30800002426667
1972,"Q030-avg",6.38533333146667
1972,"Q060-avg",7.07750002541667
1972,"Q090-avg",8.6028888756
1973,"Q001-avg",3.109999895
1973,"Q003-avg",4.46999979
1973,"Q007-avg",4.56999996714286
1973,"Q015-avg",4.6993332544
1973,"Q030-avg",4.83566660873333
1973,"Q060-avg",5.08899997468333
1973,"Q090-avg",5.53888889152222
1974,"Q001-avg",3.279999971
1974,"Q003-avg",3.443333387
1974,"Q007-avg",3.712857178
1974,"Q015-avg",4.23000003486667
1974,"Q030-avg",5.64000001743333
1974,"Q060-avg",6.4951666951
1974,"Q090-avg",6.75800002681111
1975,"Q001-avg",6.429999828
1975,"Q003-avg",6.71333328866667
1975,"Q007-avg",6.92285708
1975,"Q015-avg",7.05333328233333
1975,"Q030-avg",7.1133332728
1975,"Q060-avg",9.11966666356667
1975,"Q090-avg",11.8925555703778
1976,"Q001-avg",4.619999886
1976,"Q003-avg",4.97666660966667
1976,"Q007-avg",5.40571423957143
1976,"Q015-avg",6.19599997206667
1976,"Q030-avg",8.39766658163333
1976,"Q060-avg",10.3088332813167
1976,"Q090-avg",10.2732222239667
1977,"Q001-avg",4.159999847
1977,"Q003-avg",4.643333435
1977,"Q007-avg",4.97571427485714
1977,"Q015-avg",5.21933336266667
1977,"Q030-avg",5.51066668836667
1977,"Q060-avg",5.82016668326667
1977,"Q090-avg",6.0644444678
1978,"Q001-avg",4.639999866
1978,"Q003-avg",4.699999968
1978,"Q007-avg",4.78000000542857
1978,"Q015-avg",5.05533332813333
1978,"Q030-avg",5.2350000063
1978,"Q060-avg",5.92516667048333
1978,"Q090-avg",6.8852222231
1979,"Q001-avg",3.839999914
1979,"Q003-avg",3.919999997
1979,"Q007-avg",3.94142862728571
1979,"Q015-avg",3.98466672906667
1979,"Q030-avg",4.2550000271
1979,"Q060-avg",4.50000001991667
1979,"Q090-avg",4.93977779022222
1980,"Q001-avg",4.420000076
1980,"Q003-avg",4.429999987
1980,"Q007-avg",4.89714281885714
1980,"Q015-avg",5.0146666526
1980,"Q030-avg",5.29766667683333
1980,"Q060-avg",6.98733332161667
1980,"Q090-avg",7.70377774778889
1981,"Q001-avg",4.659999847
1981,"Q003-avg",4.83333333333333
1981,"Q007-avg",4.93142856857143
1981,"Q015-avg",5.07066663093333
1981,"Q030-avg",5.52866663926667
1981,"Q060-avg",6.58849999905
1981,"Q090-avg",9.17266666095555
1982,"Q001-avg",5.320000172
1982,"Q003-avg",5.36000013366667
1982,"Q007-avg",5.38142858242857
1982,"Q015-avg",5.45933335633333
1982,"Q030-avg",5.5186666807
1982,"Q060-avg",5.77083332541667
1982,"Q090-avg",6.61411109501111
1983,"Q001-avg",5.710000038
1983,"Q003-avg",5.74666674933333
1983,"Q007-avg",5.85714285728571
1983,"Q015-avg",5.89400005346667
1983,"Q030-avg",6.39300003053333
1983,"Q060-avg",8.94916671106667
1983,"Q090-avg",9.35644447528889
1984,"Q001-avg",4.119999886
1984,"Q003-avg",4.41999991766667
