"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,110.468279570739,110.4683,-2.04292609993217e-05,110.46828978537,1.84933260386434e-07,"mean"
2,92.6917403771534,92.69174,3.7715339828992e-07,92.6917401885767,4.0688997479454e-09,"mean"
3,77.3850806253091,77.38508,6.25309098722937e-07,77.3850803126546,8.08048652526477e-09,"mean"
4,57.2373055397715,57.23731,-4.46022850297823e-06,57.2373077698857,7.79251973364981e-08,"mean"
5,35.2766465390323,35.27665,-3.46096769732185e-06,35.2766482695161,9.81093121682027e-08,"mean"
6,18.1822638818542,18.18226,3.88185420163722e-06,18.1822619409271,2.13496770327537e-07,"mean"
7,9.73904570075202,9.739046,-2.99247979285155e-07,9.73904585037601,3.07266218767829e-08,"mean"
8,6.06979166517003,6.069792,-3.34829969972361e-07,6.06979183258501,5.51633366032197e-08,"mean"
9,8.98984723039792,8.989847,2.30397921185954e-07,8.98984711519896,2.56286806920693e-08,"mean"
10,26.8237432910753,26.82374,3.29107529850603e-06,26.8237416455377,1.22692625883292e-07,"mean"
11,85.1135208160563,85.11352,8.16056299868251e-07,85.1135204080281,9.58785743975969e-09,"mean"
12,113.266129059234,113.2661,2.90592340093099e-05,113.266114529617,2.56557171842523e-07,"mean"
13,53.2624777541072,53.26248,-2.24589279440579e-06,53.2624788770536,4.21665089901281e-08,"mean"
1,98.650001525,98.65,1.52499998762323e-06,98.6500007625,1.54586921017332e-08,"median"
2,82.90000153,82.9,1.52999999158965e-06,82.900000765,1.8455970777694e-08,"median"
3,68.85000229,68.85,2.29000001183977e-06,68.850001145,3.32607113109114e-08,"median"
4,52.40000153,52.4,1.52999999869508e-06,52.400000765,2.91984728312642e-08,"median"
5,31,31,0,31,0,"median"
6,13.60000038,13.6,3.80000001243275e-07,13.60000019,2.79411761716508e-08,"median"
7,6.7550001145,6.755,1.1449999970381e-07,6.75500005725,1.69504069183418e-08,"median"
8,5.550000191,5.55,1.90999999816199e-07,5.5500000955,3.44144137891212e-08,"median"
9,6.055000067,6.055,6.70000002145343e-08,6.0550000335,1.10652353169032e-08,"median"
10,14.19999981,14.2,-1.89999999733459e-07,14.199999905,1.33802817608863e-08,"median"
11,71.09999847,71.1,-1.52999999158965e-06,71.099999235,2.15189874550165e-08,"median"
12,104,104,0,104,0,"median"
13,37.40000153,37.4,1.52999999869508e-06,37.400000765,4.0909090037423e-08,"median"
1,450,450,0,450,0,"max"
2,303,303,0,303,0,"max"
3,359,359,0,359,0,"max"
4,154,154,0,154,0,"max"
5,121,121,0,121,0,"max"
6,73.40000153,73.4,1.52999999158965e-06,73.400000765,2.08446863166684e-08,"max"
7,64.80000305,64.800003,4.99999970315912e-08,64.800003025,7.71604856442693e-10,"max"
8,87.90000153,87.900002,-4.70000003360838e-07,87.900001765,5.34698514133571e-09,"max"
9,84.90000153,84.900002,-4.70000003360838e-07,84.900001765,5.5359245416953e-09,"max"
10,312,312,0,312,0,"max"
11,407,407,0,407,0,"max"
12,425,425,0,425,0,"max"
13,450,NA,NA,NA,NA,"max"
1,15.60000038,15.6,3.80000001243275e-07,15.60000019,2.43589741419916e-08,"min"
2,14.69999981,14.7,-1.89999999733459e-07,14.699999905,1.29251701334252e-08,"min"
3,15.80000019,15.8,1.89999999733459e-07,15.800000095,1.20253163665224e-08,"min"
4,8.670000076,8.67,7.60000009591977e-08,8.670000038,8.76585935710438e-09,"min"
5,6.46999979,6.47,-2.0999999961191e-07,6.469999895,3.24574966027738e-08,"min"
6,2.99000001,2.99,9.99999993922529e-09,2.990000005,3.3444815794324e-09,"min"
7,2.849999905,2.85,-9.50000003108187e-08,2.8499999525,3.33333339979481e-08,"min"
8,2.769999981,2.77,-1.90000002397994e-08,2.7699999905,6.85920588626783e-09,"min"
9,2.579999924,2.58,-7.60000000710193e-08,2.579999962,2.94573648024803e-08,"min"
10,2.72,2.72,0,2.72,0,"min"
11,3.279999971,3.28,-2.89999997349355e-08,3.2799999855,8.84146337290754e-09,"min"
12,24.20000076,24.2,7.60000002486549e-07,24.20000038,3.14049582873002e-08,"min"
13,2.579999924,NA,NA,NA,NA,"min"
