"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",321,282.26,239.65,194,169.9,152.6,141,129,120.55,112,106,98.650001525,92.214997865,84.93999939,78.19999695,70.810002898,65.80000305,58.59999847,49.59999847,40.410000228,31.4800004940001,21.8739997682
"Feb",245.45,229.8,186,154,133,122,114,107,101,95.40000153,89.149999615,82.90000153,77.275001525,73.09999847,68.5249996175,64.099998475,60,54.90000153,49.59999847,43.90000153,36.94999981,23.254999924
"Mar",209.52,188.26,161.65,132.3,112.95,101,92.90000153,85.40000153,79,74.84000244,71.385001758,68.85000229,65.114998242,62.59999847,58.9450008415,55.40000153,51.29999924,47.20000076,41.910001377,36.069998929,29.235000228,20.3960000988
"Apr",131.61,120,107,93.910001377,85,77.34000244,72.4250011475,68,63.70000076,59.70000076,56,52.40000153,48.6549997295,45.659999844,43.59999847,41.29999924,38.5749988525,35.79999924,32.29999924,28.479999924,23.489999962,13.39999962
"May",84.0820017275998,79.13,72.80000305,65.830002594,60.294999316,54.29999924,49,43.70000076,40.0549991585,36.619998928,33.40000153,31,29,26.39999962,23.70000076,21.309999278,18.349999905,16.10000038,14.19999981,12.19999981,9.86699981695,7.41220008354
"Jun",63.9539994032999,57.20000076,49.0049999235,40.40000153,32.215000532,26.819999316,23.025000095,20.630000494,18.79999924,16.839999392,15.19999981,13.60000038,12,10.69999981,9.0965003012,8.159999847,7.579999924,6.9479998586,6.550000191,6.28000021,5.579999924,3.950000048
"Jul",40.5,35.5040009346,25.364999487,17.5,14.3949996485,12.30000019,10.80000019,9.7990001681,8.569999695,7.7539999962,7.10700013685,6.7550001145,6.4929998397,6.25,6.07900016345,5.849999905,5.659999847,5.4639999388,5.25,4.960000038,4.35349998515,3.089999914
"Aug",13.3130001159,11.69999981,9.64949994045,8.0960000042,7.17899982895,6.7159998892,6.429999828,6.119999886,5.940000057,5.800000191,5.670000076,5.550000191,5.460000038,5.3679999356,5.25450010305,5.139999866,5,4.860000134,4.610000134,4.349999905,3.880000114,3.02739997347
"Sep",37.7050015299999,34.4759990706,23.314999297,16.70000076,14.19999981,11.919999696,9.350000381,8.2630002977,7.3705000402,6.7180000304,6.269999981,6.055000067,5.860000134,5.659999847,5.5,5.340000153,5.230000019,5.03000021,4.789999962,4.389999866,3.88950010545,2.86389989149
"Oct",157.13,125,90.9650005355,64.090000915,49.7899992015,39.519999694,32.5,27.20000076,22.39999962,19,15.984999943,14.19999981,12.80000019,11.580000304,10.19999981,8.7650002481,7.617499948,6.6739999768,5.7805001976,5.2670000554,4.4234999892,3.18610006077
"Nov",304,282.22,213.05,161.1,134.15,120,111,103,95.5,87.5,79.59999847,71.09999847,64.80000305,57.20000076,51.895000266,46.90000153,42.5,37.70000076,31.39999962,20.090000342,10.795000171,4.72379997264001
"Dec",306.52,269.52,231,195,173,157.6,146,135,126,118,111,104,94.90000153,88.09999847,81.30000305,73.70999756,66.0749988525,58.59999847,51.4050014535,44.269999696,36.5,26.7739993882
