"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1965,365,365,0,3.539999962,196,47.7262465195479,44.5505899815289
1966,365,365,0,5.800000191,362,60.3254518850712,65.586641881478
1967,365,365,0,4.110000134,213,61.709917751663,53.6543926888326
1968,366,366,0,5.099999905,450,69.525027298541,71.1509770131492
1969,365,365,0,4.980000019,150,47.5065479025945,35.5272185056974
1970,365,365,0,4.25,153,36.8476712497973,34.3338541827184
1971,365,365,0,6,187,55.6226576845945,39.6232930868247
1972,366,366,0,5.829999924,425,53.932295065877,59.4100318866551
1973,365,365,0,3.109999895,337,53.3354520933425,64.8136480695643
1974,365,365,0,3.279999971,343,69.4606575554164,64.4231818298387
1975,365,365,0,6.429999828,345,66.5918630247233,65.3893979684672
1976,366,366,0,4.619999886,165,47.7715300184016,37.6720175311239
1977,365,365,0,4.159999847,233,47.6957260052603,47.4312573496825
1978,365,365,0,4.639999866,101,30.2525205536137,21.6656891481411
1979,365,365,0,3.839999914,336,43.4654246793699,56.1637436112249
1980,366,366,0,4.420000076,385,58.6596720948525,62.0065308554135
1981,365,365,0,4.659999847,244,60.3122740849644,54.7337098825896
1982,365,365,0,5.320000172,217,49.7634794863315,46.1849691091718
1983,365,365,0,5.710000038,303,61.2967397414959,69.7393680971735
1984,366,366,0,4.119999886,197,58.1211200750191,41.6018591061921
1985,365,365,0,3.359999895,86.40000153,27.7545479034877,20.3694758934121
1986,365,365,0,3.450000048,400,52.8535890083397,63.7884052110211
1987,365,365,0,3.599999905,198,47.3614247270082,50.4925586373886
1988,366,366,0,4.139999866,139,46.1110109670109,37.0255771624818
1989,365,365,0,4.079999924,176,40.1717260230849,35.1594205121145
1990,365,365,0,4.889999866,326,59.7154794392575,63.5581944002414
1991,365,365,0,4.610000134,248,45.9352329699562,47.9379971713863
1992,366,366,0,3.74000001,324,42.7496994823525,56.9332165590268
1993,365,365,0,4.889999866,191,33.4678904495973,33.8710356462882
1994,365,365,0,4.800000191,257,47.672931473937,52.0885386195521
1995,365,365,0,4.670000076,286,71.3442192116658,77.3825860702358
1996,366,366,0,4.630000114,254,50.6037704306503,45.7572457540165
1997,365,365,0,7.449999809,359,79.1223286811562,55.644812741186
1998,365,365,0,3.960000038,325,57.352328744126,71.5032657699562
1999,365,365,0,6.010000229,282,71.8006302010027,57.926980241057
2000,366,366,0,5.230000019,88.69999695,36.6093169653661,22.7747295713759
2001,365,365,0,4.210000038,255,41.9732603086767,42.51710688196
2002,365,365,0,4.980000019,289,49.3046300548219,50.8908724021468
2003,365,365,0,2.68,312,66.0323287897945,67.1830178998295
2004,366,366,0,2.769999981,213,43.5291803731858,43.6273436976509
2005,365,365,0,4.960000038,321,48.5167671583616,53.0818158509752
2006,365,365,0,2.579999924,333,70.730027381,85.251509256129
2007,365,365,0,5.639999866,381,71.4507671499616,67.4771034278189
2008,366,366,0,5.300000191,166,40.5884700420383,30.4667047115427
2009,365,365,0,5.480000019,407,53.1628218991096,68.1424516949669
2010,365,365,0,4.389999866,365,64.3641643393562,61.1107710392792
2011,365,365,0,5.679999828,222,57.9724656915342,47.1670442960875
2012,366,366,0,3.549999952,229,58.5145081965519,48.1871957116334
