"Month","mean","median","max","min"
1,110.468279570739,98.650001525,450,15.60000038
2,92.6917403771534,82.90000153,303,14.69999981
3,77.3850806253091,68.85000229,359,15.80000019
4,57.2373055397715,52.40000153,154,8.670000076
5,35.2766465390323,31,121,6.46999979
6,18.1822638818542,13.60000038,73.40000153,2.99000001
7,9.73904570075202,6.7550001145,64.80000305,2.849999905
8,6.06979166517003,5.550000191,87.90000153,2.769999981
9,8.98984723039792,6.055000067,84.90000153,2.579999924
10,26.8237432910753,14.19999981,312,2.72
11,85.1135208160563,71.09999847,407,3.279999971
12,113.266129059234,104,425,24.20000076
13,53.2624777541072,37.40000153,450,2.579999924
