"Year","Value.Q","Value.E","diff","mean","pdiff","stat"
1965,3.539999962,3.53999996185303,1.46969991732249e-10,3.53999996192652,4.15169472635434e-11,"SW_1_day_MIN"
1966,5.800000191,5.80000019073486,2.65139910027301e-10,5.80000019086743,4.57137760865569e-11,"SW_1_day_MIN"
1967,4.110000134,4.1100001335144,4.85600004651587e-10,4.1100001337572,1.18150848868141e-10,"SW_1_day_MIN"
1968,5.099999905,5.09999990463257,3.67429642267325e-10,5.09999990481628,7.20450292401645e-11,"SW_1_day_MIN"
1969,4.980000019,4.98000001907349,-7.34896588028278e-11,4.98000001903675,1.47569595425509e-11,"SW_1_day_MIN"
1970,4.25,4.25,0,4.25,0,"SW_1_day_MIN"
1971,6,6,0,6,0,"SW_1_day_MIN"
1972,5.829999924,5.82999992370605,2.93949753427114e-10,5.82999992385303,5.04201985019656e-11,"SW_1_day_MIN"
1973,3.109999895,3.10999989509583,-9.5830010593545e-11,3.10999989504792,3.08135092692884e-11,"SW_1_day_MIN"
1974,3.279999971,3.27999997138977,-3.89769994058042e-10,3.27999997119489,1.18832316305189e-10,"SW_1_day_MIN"
1975,6.429999828,6.42999982833862,-3.38620687045932e-10,6.42999982816931,5.26626276975097e-11,"SW_1_day_MIN"
1976,4.619999886,4.61999988555908,4.40920189248573e-10,4.61999988577954,9.54372727596237e-11,"SW_1_day_MIN"
1977,4.159999847,4.15999984741211,-4.1211034584876e-10,4.15999984720606,9.9064990621464e-11,"SW_1_day_MIN"
1978,4.639999866,4.6399998664856,-4.85600004651587e-10,4.6399998662428,1.04655176433183e-10,"SW_1_day_MIN"
1979,3.839999914,3.83999991416931,-1.69310343522966e-10,3.83999991408465,4.4091236278927e-11,"SW_1_day_MIN"
1980,4.420000076,4.42000007629395,-2.93949753427114e-10,4.42000007614697,6.65044679554299e-11,"SW_1_day_MIN"
1981,4.659999847,4.65999984741211,-4.1211034584876e-10,4.65999984720606,8.84356994337337e-11,"SW_1_day_MIN"
1982,5.320000172,5.32000017166138,3.38620687045932e-10,5.32000017183069,6.36505030279741e-11,"SW_1_day_MIN"
1983,5.710000038,5.71000003814697,-1.46969547643039e-10,5.71000003807348,2.57389748972095e-11,"SW_1_day_MIN"
1984,4.119999886,4.11999988555908,4.40920189248573e-10,4.11999988577954,1.07019466376793e-10,"SW_1_day_MIN"
1985,3.359999895,3.35999989509583,-9.5830010593545e-11,3.35999989504792,2.85208373770436e-11,"SW_1_day_MIN"
1986,3.450000048,3.45000004768372,3.16280335255215e-10,3.45000004784186,9.16754582229827e-11,"SW_1_day_MIN"
1987,3.599999905,3.59999990463257,3.67429642267325e-10,3.59999990481628,1.0206379221726e-10,"SW_1_day_MIN"
1988,4.139999866,4.1399998664856,-4.85600004651587e-10,4.1399998662428,1.17294690903526e-10,"SW_1_day_MIN"
1989,4.079999924,4.07999992370605,2.93949753427114e-10,4.07999992385303,7.20465095375583e-11,"SW_1_day_MIN"
1990,4.889999866,4.8899998664856,-4.85600004651587e-10,4.8899998662428,9.93047071440301e-11,"SW_1_day_MIN"
1991,4.610000134,4.6100001335144,4.85600004651587e-10,4.6100001337572,1.05336223549264e-10,"SW_1_day_MIN"
1992,3.74000001,3.74000000953674,4.6326009695008e-10,3.74000000976837,1.23866335759387e-10,"SW_1_day_MIN"
1993,4.889999866,4.8899998664856,-4.85600004651587e-10,4.8899998662428,9.93047071440301e-11,"SW_1_day_MIN"
1994,4.800000191,4.80000019073486,2.65139910027301e-10,4.80000019086743,5.5237479059222e-11,"SW_1_day_MIN"
1995,4.670000076,4.67000007629395,-2.93949753427114e-10,4.67000007614697,6.29442716561238e-11,"SW_1_day_MIN"
1996,4.630000114,4.63000011444092,-4.40920189248573e-10,4.63000011422046,9.52311400369823e-11,"SW_1_day_MIN"
1997,7.449999809,7.44999980926514,-2.65139910027301e-10,7.44999980913257,3.55892505798832e-11,"SW_1_day_MIN"
1998,3.960000038,3.96000003814697,-1.46969991732249e-10,3.96000003807348,3.71136339189907e-11,"SW_1_day_MIN"
1999,6.010000229,6.01000022888184,1.18159704243226e-10,6.01000022894092,1.96605157640814e-11,"SW_1_day_MIN"
2000,5.230000019,5.23000001907349,-7.34896588028278e-11,5.23000001903675,1.40515599493942e-11,"SW_1_day_MIN"
2001,4.210000038,4.21000003814697,-1.46969547643039e-10,4.21000003807348,3.49096309534222e-11,"SW_1_day_MIN"
2002,4.980000019,4.98000001907349,-7.34896588028278e-11,4.98000001903675,1.47569595425509e-11,"SW_1_day_MIN"
2003,2.68,2.68,0,2.68,0,"SW_1_day_MIN"
2004,2.769999981,2.76999998092651,7.34896588028278e-11,2.76999998096325,2.65305629270337e-11,"SW_1_day_MIN"
2005,4.960000038,4.96000003814697,-1.46969547643039e-10,4.96000003807348,2.96309569586462e-11,"SW_1_day_MIN"
2006,2.579999924,2.57999992370605,2.93950197516324e-10,2.57999992385303,1.13934188446538e-10,"SW_1_day_MIN"
2007,5.639999866,5.6399998664856,-4.85600004651587e-10,5.6399998662428,8.60992936468063e-11,"SW_1_day_MIN"
2008,5.300000191,5.30000019073486,2.65139910027301e-10,5.30000019086743,5.0026396316772e-11,"SW_1_day_MIN"
2009,5.480000019,5.48000001907349,-7.34896588028278e-11,5.48000001903675,1.34105216327619e-11,"SW_1_day_MIN"
2010,4.389999866,4.3899998664856,-4.85600004651587e-10,4.3899998662428,1.10615038598439e-10,"SW_1_day_MIN"
2011,5.679999828,5.67999982833862,-3.38620687045932e-10,5.67999982816931,5.96163199453953e-11,"SW_1_day_MIN"
2012,3.549999952,3.54999995231628,-3.16280335255215e-10,3.54999995215814,8.90930533852372e-11,"SW_1_day_MIN"
1965,276,276,0,276,0,"SW_1_day_MINDOY"
1966,215,215,0,215,0,"SW_1_day_MINDOY"
1967,243,243,0,243,0,"SW_1_day_MINDOY"
1968,219,219,0,219,0,"SW_1_day_MINDOY"
1969,228,228,0,228,0,"SW_1_day_MINDOY"
1970,203,203,0,203,0,"SW_1_day_MINDOY"
1971,223,223,0,223,0,"SW_1_day_MINDOY"
1972,304,304,0,304,0,"SW_1_day_MINDOY"
1973,285,285,0,285,0,"SW_1_day_MINDOY"
