"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",131.61,131.61,1.13686837721616e-13,131.61,8.63816106083246e-16,"P01"
"Aug",13.3130001159,13.3130001163483,-4.48290293775244e-10,13.3130001161241,3.36731232528342e-11,"P01"
"Dec",306.52,306.52,4.54747350886464e-13,306.52,1.48358133526838e-15,"P01"
"Feb",245.45,245.45,-5.6843418860808e-14,245.45,2.31588587740102e-16,"P01"
"Jan",321,321,0,321,0,"P01"
"Jul",40.5,40.5,0,40.5,0,"P01"
"Jun",63.9539994032999,63.9539994049071,-1.60718371944313e-09,63.9539994041035,2.51303082593456e-11,"P01"
"Mar",209.52,209.52,4.83169060316868e-13,209.52,2.30607608016833e-15,"P01"
"May",84.0820017275998,84.082001724243,3.35680283569673e-09,84.0820017259214,3.99229652814256e-11,"P01"
"Nov",304,304,0,304,0,"P01"
"Oct",157.13,157.13,1.13686837721616e-13,157.13,7.23520891755973e-16,"P01"
"Sep",37.7050015299999,37.7050015258788,4.12104839142557e-09,37.7050015279394,1.0929712834972e-10,"P01"
"Apr",120,120,0,120,0,"P02"
"Aug",11.69999981,11.6999998092651,7.34900140741956e-10,11.6999998096325,6.28119788631891e-11,"P02"
"Dec",269.52,269.52,0,269.52,0,"P02"
"Feb",229.8,229.8,2.8421709430404e-13,229.8,1.23680197695405e-15,"P02"
"Jan",282.26,282.26,0,282.26,0,"P02"
"Jul",35.5040009346,35.5040009307861,3.81388787218384e-09,35.5040009326931,1.07421354551394e-10,"P02"
"Jun",57.20000076,57.2000007629395,-2.93950108698482e-09,57.2000007614698,5.13898784589682e-11,"P02"
"Mar",188.26,188.26,0,188.26,0,"P02"
"May",79.13,79.13,0,79.13,0,"P02"
"Nov",282.22,282.22,0,282.22,0,"P02"
"Oct",125,125,0,125,0,"P02"
"Sep",34.4759990706,34.4759990692138,1.38614808520288e-09,34.4759990699069,4.02061759658418e-11,"P02"
"Apr",107,107,0,107,0,"P05"
"Aug",9.64949994045,9.64949994087219,-4.22190282733936e-10,9.64949994066109,4.37525556070434e-11,"P05"
"Dec",231,231,0,231,0,"P05"
"Feb",186,186,0,186,0,"P05"
"Jan",239.65,239.65,1.4210854715202e-13,239.65,5.9298371438356e-16,"P05"
"Jul",25.364999487,25.3649994850159,1.98414440433226e-09,25.3649994860079,7.82237115922974e-11,"P05"
"Jun",49.0049999235,49.0049999237061,-2.06050287943071e-10,49.004999923603,4.20467887489636e-12,"P05"
"Mar",161.65,161.65,1.4210854715202e-13,161.65,8.79112571308507e-16,"P05"
"May",72.80000305,72.8000030517578,-1.7577974631422e-09,72.8000030508789,2.41455685367719e-11,"P05"
"Nov",213.05,213.05,5.6843418860808e-14,213.05,2.6680788012583e-16,"P05"
"Oct",90.9650005355,90.9650005340576,1.44238754273829e-09,90.9650005347788,1.58565111225038e-11,"P05"
"Sep",23.314999297,23.3149992942809,2.71905165050157e-09,23.3149992956405,1.16622420443735e-10,"P05"
"Apr",93.910001377,93.910001373291,3.70897623724886e-09,93.9100013751455,3.94950078046798e-11,"P10"
"Aug",8.0960000042,8.0960000038147,3.85302456606951e-10,8.09600000400735,4.75917065731515e-11,"P10"
"Dec",195,195,0,195,0,"P10"
"Feb",154,154,0,154,0,"P10"
"Jan",194,194,0,194,0,"P10"
"Jul",17.5,17.5,0,17.5,0,"P10"
"Jun",40.40000153,40.4000015258789,4.12109812941708e-09,40.4000015279395,1.02007375583069e-10,"P10"
"Mar",132.3,132.3,5.6843418860808e-14,132.3,4.29655471359093e-16,"P10"
