"","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013"
"ANNUAL_MIN_01Day_SW",0.012,0.054,0.091,0.042,0.034,0.037,0.035,0.067,0.057,0.005,0.013,0.021,0.003,0.013,0.006,0.017,0.019,0.019,0.011,0.013,0.005,0.004,0.011,0.004,0.066,0.013,0.019,0.011,0.035,0.017,0.011,0.02,0.013,0.013,0.035,0.014,0.008,0.013,0.016,0.004,0.018
"ANNUAL_MINDOY_01Day_SW",261,247,212,223,230,213,243,228,235,248,286,239,217,249,297,221,257,223,304,216,269,239,200,223,213,245,221,203,207,224,241,214,238,235,255,205,346,212,257,285,210
"ANNUAL_MIN_03Day_SW",0.0126666666666668,0.0560000000000003,0.0909999999999995,0.0419999999999999,0.0339999999999996,0.0369999999999996,0.0356666666666659,0.0673333333333333,0.0580000000000001,0.00566666666666646,0.013333333333334,0.0220000000000013,0.00333333333333423,0.0140000000000003,0.00633333333333331,0.0169999999999993,0.0199999999999995,0.0193333333333326,0.0119999999999972,0.0129999999999979,0.00566666666666434,0.00399999999999799,0.0123333333333312,0.00399999999999813,0.0669999999999986,0.0133333333333328,0.0193333333333325,0.011333333333332,0.0363333333333331,0.0176666666666653,0.0109999999999988,0.0199999999999982,0.0139999999999986,0.0136666666666648,0.0353333333333315,0.0159999999999979,0.00799999999999798,0.0129999999999986,0.0166666666666651,0.00466666666666495,0.0186666666666645
"ANNUAL_MINDOY_03Day_SW",261,248,214,225,232,215,243,229,237,249,287,247,218,250,301,227,258,224,305,218,269,241,205,225,231,246,222,204,208,225,243,216,239,235,257,207,348,214,259,285,210
"ANNUAL_MIN_07Day_SW",0.0131428571428568,0.0567142857142853,0.0909999999999997,0.0454285714285709,0.034857142857142,0.0369999999999991,0.0368571428571418,0.0689999999999988,0.0601428571428564,0.00642857142857096,0.0147142857142847,0.0238571428571419,0.00371428571428483,0.0148571428571419,0.00657142857142795,0.0175714285714278,0.0215714285714277,0.0197142857142853,0.0132857142857133,0.013571428571427,0.00599999999999869,0.00399999999999856,0.0127142857142838,0.00399999999999832,0.0678571428571409,0.0145714285714265,0.0197142857142837,0.012142857142855,0.0382857142857123,0.0187142857142838,0.0115714285714261,0.0202857142857119,0.0159999999999975,0.0142857142857119,0.0365714285714261,0.0179999999999975,0.00999999999999747,0.0131428571428553,0.0191428571428558,0.00614285714285599,0.0194285714285705
"ANNUAL_MINDOY_07Day_SW",262,250,218,225,234,219,244,229,239,249,288,245,218,253,301,227,259,227,307,218,284,245,205,229,231,249,223,207,208,226,246,219,239,235,259,210,220,217,259,285,213
"ANNUAL_MIN_30Day_SW",0.0173333333333335,0.0682000000000001,0.0974000000000002,0.0695,0.0453666666666667,0.0449,0.0400666666666667,0.0816,0.0656,0.0153333333333333,0.0319333333333334,0.0301000000000001,0.00666666666666667,0.0174000000000001,0.0086666666666667,0.0258333333333334,0.0276666666666667,0.0268000000000003,0.0228000000000001,0.0196333333333334,0.00773333333333334,0.00720000000000002,0.0217,0.0104666666666667,0.0706666666666668,0.0178666666666668,0.0237333333333335,0.0272666666666667,0.0519333333333334,0.0221000000000001,0.0144333333333334,0.0227666666666668,0.0238333333333335,0.0149000000000002,0.0419333333333336,0.034966666666667,0.0154333333333336,0.017166666666667,0.036566666666667,0.0106000000000002,0.0247333333333335
"ANNUAL_MINDOY_30Day_SW",262,251,229,228,235,222,244,244,242,224,248,248,231,265,302,229,273,275,307,220,285,246,206,233,234,252,236,208,213,237,248,233,239,236,269,210,221,231,233,286,223
"ANNUAL_MIN_DAILY_SW",0.012,0.054,0.091,0.042,0.034,0.037,0.035,0.067,0.057,0.005,0.013,0.021,0.003,0.013,0.006,0.017,0.019,0.019,0.011,0.013,0.005,0.004,0.011,0.004,0.066,0.013,0.019,0.011,0.035,0.017,0.011,0.02,0.013,0.013,0.035,0.014,0.008,0.013,0.016,0.004,0.018
"ANNUAL_MAX_DAILY_SW",11,13.4,13.9,9.34,13.1,11.4,13.5,21.6,11,13.7,20,20,4.99,23.2,10.6,9,24.7,24.4,16.9,19,14.1,14.8,20.7,8.23,12.8,11.3,13.1,6.68,9.59,17.9,14.8,14.2,13.5,11.3,12.8,7.81,11,11.3,10.2,7.38,14.7
