"Year","Measure","value","prob","dist.prob"
1985,"Q001-avg",0.003,0.0238095238095238,-3.72564503787642
1994,"Q001-avg",0.004,0.0476190476190476,-3.02022654034283
1996,"Q001-avg",0.004,0.0714285714285714,-2.6022321660471
2012,"Q001-avg",0.004,0.0952380952380952,-2.30175085549711
1982,"Q001-avg",0.005,0.119047619047619,-2.0655251798823
1993,"Q001-avg",0.005,0.142857142857143,-1.8698247144926
1987,"Q001-avg",0.006,0.166666666666667,-1.7019833552815
2009,"Q001-avg",0.008,0.19047619047619,-1.55443331852704
1991,"Q001-avg",0.011,0.214285714285714,-1.4222861365497
1995,"Q001-avg",0.011,0.238095238095238,-1.30219693545897
2000,"Q001-avg",0.011,0.261904761904762,-1.1917728150996
2003,"Q001-avg",0.011,0.285714285714286,-1.08923963962745
1973,"Q001-avg",0.012,0.30952380952381,-0.99324254465125
1983,"Q001-avg",0.013,0.333333333333333,-0.90272045571788
1986,"Q001-avg",0.013,0.357142857142857,-0.816823857020396
1992,"Q001-avg",0.013,0.380952380952381,-0.734858986966473
1998,"Q001-avg",0.013,0.404761904761905,-0.656248789959198
2005,"Q001-avg",0.013,0.428571428571429,-0.580504823694894
2006,"Q001-avg",0.013,0.452380952380952,-0.507206510075249
2010,"Q001-avg",0.013,0.476190476190476,-0.435985402626092
2008,"Q001-avg",0.014,0.5,-0.366512920581664
2011,"Q001-avg",0.016,0.523809523809524,-0.298490480445633
1988,"Q001-avg",0.017,0.547619047619048,-0.231641255854914
2002,"Q001-avg",0.017,0.571428571428571,-0.165702980993696
2013,"Q001-avg",0.018,0.595238095238095,-0.100421317794977
1989,"Q001-avg",0.019,0.619047619047619,-0.0355433510597158
1990,"Q001-avg",0.019,0.642857142857143,0.029189236078011
1999,"Q001-avg",0.019,0.666666666666667,0.0940478276166989
2004,"Q001-avg",0.02,0.69047619047619,0.159326059407206
1984,"Q001-avg",0.021,0.714285714285714,0.225351486825962
1977,"Q001-avg",0.034,0.738095238095238,0.292501200890342
1979,"Q001-avg",0.035,0.761904761904762,0.361223750117535
2001,"Q001-avg",0.035,0.785714285714286,0.432071362304675
2007,"Q001-avg",0.035,0.80952380952381,0.505749608533197
1978,"Q001-avg",0.037,0.833333333333333,0.583198080782659
1976,"Q001-avg",0.042,0.857142857142857,0.665729810578276
1974,"Q001-avg",0.054,0.880952380952381,0.755291449879593
1981,"Q001-avg",0.057,0.904761904761905,0.855000372798317
1997,"Q001-avg",0.066,0.928571428571429,0.970421781277365
1980,"Q001-avg",0.067,0.952380952380952,1.11334405395998
1975,"Q001-avg",0.091,0.976190476190476,1.31846232050533
1985,"Q003-avg",0.00333333333333333,0.0238095238095238,-3.72564503787642
1994,"Q003-avg",0.004,0.0476190476190476,-3.02022654034283
1996,"Q003-avg",0.004,0.0714285714285714,-2.6022321660471
2012,"Q003-avg",0.00466666666666667,0.0952380952380952,-2.30175085549711
1982,"Q003-avg",0.00566666666666667,0.119047619047619,-2.0655251798823
1993,"Q003-avg",0.00566666666666667,0.142857142857143,-1.8698247144926
1987,"Q003-avg",0.00633333333333333,0.166666666666667,-1.7019833552815
2009,"Q003-avg",0.008,0.19047619047619,-1.55443331852704
2003,"Q003-avg",0.011,0.214285714285714,-1.4222861365497
2000,"Q003-avg",0.0113333333333333,0.238095238095238,-1.30219693545897
1991,"Q003-avg",0.012,0.261904761904762,-1.1917728150996
1995,"Q003-avg",0.0123333333333333,0.285714285714286,-1.08923963962745
1973,"Q003-avg",0.0126666666666667,0.30952380952381,-0.99324254465125
1992,"Q003-avg",0.013,0.333333333333333,-0.90272045571788
2010,"Q003-avg",0.013,0.357142857142857,-0.816823857020396
1983,"Q003-avg",0.0133333333333333,0.380952380952381,-0.734858986966473
1998,"Q003-avg",0.0133333333333333,0.404761904761905,-0.656248789959198
2006,"Q003-avg",0.0136666666666667,0.428571428571429,-0.580504823694894
1986,"Q003-avg",0.014,0.452380952380952,-0.507206510075249
2005,"Q003-avg",0.014,0.476190476190476,-0.435985402626092
2008,"Q003-avg",0.016,0.5,-0.366512920581664
2011,"Q003-avg",0.0166666666666667,0.523809523809524,-0.298490480445633
1988,"Q003-avg",0.017,0.547619047619048,-0.231641255854914
2002,"Q003-avg",0.0176666666666667,0.571428571428571,-0.165702980993696
2013,"Q003-avg",0.0186666666666667,0.595238095238095,-0.100421317794977
1990,"Q003-avg",0.0193333333333333,0.619047619047619,-0.0355433510597158
1999,"Q003-avg",0.0193333333333333,0.642857142857143,0.029189236078011
1989,"Q003-avg",0.02,0.666666666666667,0.0940478276166989
2004,"Q003-avg",0.02,0.69047619047619,0.159326059407206
1984,"Q003-avg",0.022,0.714285714285714,0.225351486825962
1977,"Q003-avg",0.034,0.738095238095238,0.292501200890342
2007,"Q003-avg",0.0353333333333333,0.761904761904762,0.361223750117535
1979,"Q003-avg",0.0356666666666667,0.785714285714286,0.432071362304675
2001,"Q003-avg",0.0363333333333333,0.80952380952381,0.505749608533197
1978,"Q003-avg",0.037,0.833333333333333,0.583198080782659
1976,"Q003-avg",0.042,0.857142857142857,0.665729810578276
1974,"Q003-avg",0.056,0.880952380952381,0.755291449879593
1981,"Q003-avg",0.058,0.904761904761905,0.855000372798317
1997,"Q003-avg",0.067,0.928571428571429,0.970421781277365
1980,"Q003-avg",0.0673333333333333,0.952380952380952,1.11334405395998
1975,"Q003-avg",0.091,0.976190476190476,1.31846232050533
1985,"Q007-avg",0.00371428571428571,0.0238095238095238,-3.72564503787642
1994,"Q007-avg",0.004,0.0476190476190476,-3.02022654034283
1996,"Q007-avg",0.004,0.0714285714285714,-2.6022321660471
1993,"Q007-avg",0.006,0.0952380952380952,-2.30175085549711
2012,"Q007-avg",0.00614285714285714,0.119047619047619,-2.0655251798823
1982,"Q007-avg",0.00642857142857143,0.142857142857143,-1.8698247144926
1987,"Q007-avg",0.00657142857142857,0.166666666666667,-1.7019833552815
2009,"Q007-avg",0.01,0.19047619047619,-1.55443331852704
