"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,0.0840539090688332
"Q001-avg","PIII",0.99,0.115225590233776
"Q001-avg","PIII",0.98,0.0911099422613281
"Q001-avg","PIII",0.95,0.0641546161637418
"Q001-avg","PIII",0.9,0.0470451910387297
"Q001-avg","PIII",0.8,0.0323736845716249
"Q001-avg","PIII",0.5,0.0159258022198006
"Q001-avg","PIII",0.2,0.00789246549775138
"Q001-avg","PIII",0.1,0.00548418612044463
"Q001-avg","PIII",0.05,0.00406635973305289
"Q001-avg","PIII",0.01,0.00232873050517344
"Q003-avg","PIII",0.975,0.084243961934282
"Q003-avg","PIII",0.99,0.114835410756169
"Q003-avg","PIII",0.98,0.0911809971679561
"Q003-avg","PIII",0.95,0.0646305691856658
"Q003-avg","PIII",0.9,0.0476904148666609
"Q003-avg","PIII",0.8,0.0330809696145215
"Q003-avg","PIII",0.5,0.0165468014406305
"Q003-avg","PIII",0.2,0.00835253077055762
"Q003-avg","PIII",0.1,0.00586405329831006
"Q003-avg","PIII",0.05,0.00438679163481747
"Q003-avg","PIII",0.01,0.00255664276393137
"Q007-avg","PIII",0.975,0.0846208190442191
"Q007-avg","PIII",0.99,0.113565276310144
"Q007-avg","PIII",0.98,0.0912355701414311
"Q007-avg","PIII",0.95,0.0657271045299872
"Q007-avg","PIII",0.9,0.0491368835066799
"Q007-avg","PIII",0.8,0.0345683343967655
"Q007-avg","PIII",0.5,0.017671485121063
"Q007-avg","PIII",0.2,0.00905498315955655
"Q007-avg","PIII",0.1,0.00639003943883354
"Q007-avg","PIII",0.05,0.00479399554408654
"Q007-avg","PIII",0.01,0.00279958557179085
"Q015-avg","PIII",0.975,0.0877609103010415
"Q015-avg","PIII",0.99,0.11558415140202
"Q015-avg","PIII",0.98,0.0941761821037097
"Q015-avg","PIII",0.95,0.069218364937596
"Q015-avg","PIII",0.9,0.0526168298925821
"Q015-avg","PIII",0.8,0.0377177656120735
"Q015-avg","PIII",0.5,0.0198998208177713
"Q015-avg","PIII",0.2,0.0104639784628476
"Q015-avg","PIII",0.1,0.00746790434146404
"Q015-avg","PIII",0.05,0.00564829529697161
"Q015-avg","PIII",0.01,0.00333948278623998
