"Year","Measure","value"
1973,"Q001-avg",0.012
1973,"Q003-avg",0.013
1973,"Q007-avg",0.013
1973,"Q015-avg",0.015
1974,"Q001-avg",0.054
1974,"Q003-avg",0.056
1974,"Q007-avg",0.057
1974,"Q015-avg",0.061
1975,"Q001-avg",0.091
1975,"Q003-avg",0.091
1975,"Q007-avg",0.091
1975,"Q015-avg",0.094
1976,"Q001-avg",0.042
1976,"Q003-avg",0.042
1976,"Q007-avg",0.045
1976,"Q015-avg",0.052
1977,"Q001-avg",0.034
1977,"Q003-avg",0.034
1977,"Q007-avg",0.035
1977,"Q015-avg",0.037
1978,"Q001-avg",0.037
1978,"Q003-avg",0.037
1978,"Q007-avg",0.037
1978,"Q015-avg",0.038
1979,"Q001-avg",0.035
1979,"Q003-avg",0.036
1979,"Q007-avg",0.037
1979,"Q015-avg",0.038
1980,"Q001-avg",0.067
1980,"Q003-avg",0.067
1980,"Q007-avg",0.069
1980,"Q015-avg",0.076
1981,"Q001-avg",0.057
1981,"Q003-avg",0.058
1981,"Q007-avg",0.06
1981,"Q015-avg",0.062
1982,"Q001-avg",0.005
1982,"Q003-avg",0.006
1982,"Q007-avg",0.006
1982,"Q015-avg",0.007
1983,"Q001-avg",0.013
1983,"Q003-avg",0.013
1983,"Q007-avg",0.015
1983,"Q015-avg",0.018
1984,"Q001-avg",0.021
1984,"Q003-avg",0.022
1984,"Q007-avg",0.024
1984,"Q015-avg",0.026
1985,"Q001-avg",0.003
1985,"Q003-avg",0.003
1985,"Q007-avg",0.004
1985,"Q015-avg",0.004
1986,"Q001-avg",0.013
1986,"Q003-avg",0.014
1986,"Q007-avg",0.015
1986,"Q015-avg",0.016
1987,"Q001-avg",0.006
1987,"Q003-avg",0.006
1987,"Q007-avg",0.007
1987,"Q015-avg",0.007
1988,"Q001-avg",0.017
1988,"Q003-avg",0.017
1988,"Q007-avg",0.018
1988,"Q015-avg",0.019
1989,"Q001-avg",0.019
1989,"Q003-avg",0.02
1989,"Q007-avg",0.022
1989,"Q015-avg",0.023
1990,"Q001-avg",0.019
1990,"Q003-avg",0.019
1990,"Q007-avg",0.02
1990,"Q015-avg",0.021
1991,"Q001-avg",0.011
1991,"Q003-avg",0.012
1991,"Q007-avg",0.013
1991,"Q015-avg",0.017
1992,"Q001-avg",0.013
1992,"Q003-avg",0.013
1992,"Q007-avg",0.014
1992,"Q015-avg",0.016
1993,"Q001-avg",0.005
1993,"Q003-avg",0.006
1993,"Q007-avg",0.006
1993,"Q015-avg",0.007
1994,"Q001-avg",0.004
1994,"Q003-avg",0.004
1994,"Q007-avg",0.004
1994,"Q015-avg",0.005
1995,"Q001-avg",0.011
1995,"Q003-avg",0.012
1995,"Q007-avg",0.013
1995,"Q015-avg",0.017
1996,"Q001-avg",0.004
1996,"Q003-avg",0.004
1996,"Q007-avg",0.004
1996,"Q015-avg",0.005
1997,"Q001-avg",0.066
1997,"Q003-avg",0.067
1997,"Q007-avg",0.068
1997,"Q015-avg",0.069
1998,"Q001-avg",0.013
1998,"Q003-avg",0.013
1998,"Q007-avg",0.015
1998,"Q015-avg",0.016
1999,"Q001-avg",0.019
1999,"Q003-avg",0.019
1999,"Q007-avg",0.02
1999,"Q015-avg",0.021
2000,"Q001-avg",0.011
2000,"Q003-avg",0.011
2000,"Q007-avg",0.012
2000,"Q015-avg",0.016
2001,"Q001-avg",0.035
2001,"Q003-avg",0.036
2001,"Q007-avg",0.038
2001,"Q015-avg",0.042
2002,"Q001-avg",0.017
2002,"Q003-avg",0.018
2002,"Q007-avg",0.019
2002,"Q015-avg",0.02
2003,"Q001-avg",0.011
2003,"Q003-avg",0.011
2003,"Q007-avg",0.012
2003,"Q015-avg",0.013
2004,"Q001-avg",0.02
2004,"Q003-avg",0.02
2004,"Q007-avg",0.02
2004,"Q015-avg",0.022
2005,"Q001-avg",0.013
2005,"Q003-avg",0.014
2005,"Q007-avg",0.016
2005,"Q015-avg",0.019
2006,"Q001-avg",0.013
2006,"Q003-avg",0.014
2006,"Q007-avg",0.014
2006,"Q015-avg",0.015
2007,"Q001-avg",0.035
2007,"Q003-avg",0.035
2007,"Q007-avg",0.037
2007,"Q015-avg",0.039
2008,"Q001-avg",0.014
2008,"Q003-avg",0.016
2008,"Q007-avg",0.018
2008,"Q015-avg",0.022
2009,"Q001-avg",0.008
2009,"Q003-avg",0.008
2009,"Q007-avg",0.01
2009,"Q015-avg",0.011
2010,"Q001-avg",0.013
2010,"Q003-avg",0.013
2010,"Q007-avg",0.013
2010,"Q015-avg",0.014
2011,"Q001-avg",0.016
2011,"Q003-avg",0.017
2011,"Q007-avg",0.019
2011,"Q015-avg",0.023
2012,"Q001-avg",0.004
2012,"Q003-avg",0.005
2012,"Q007-avg",0.006
2012,"Q015-avg",0.007
2013,"Q001-avg",0.018
2013,"Q003-avg",0.019
2013,"Q007-avg",0.019
2013,"Q015-avg",0.021
