"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,1.58341935483871,1.583419,3.54838710192595e-07,1.58341917741935,2.24096509157423e-07,"mean"
2,1.25440155440415,1.254402,-4.45595849996039e-07,1.25440177720208,3.55225780204118e-07,"mean"
3,1.11351062155783,1.113511,-3.78442169823856e-07,1.11351081077891,3.39863938598971e-07,"mean"
4,0.699247154471545,0.6992472,-4.55284550060497e-08,0.699247177235772,6.51106740051929e-08,"mean"
5,0.376869394177813,0.3768694,-5.82218701028481e-09,0.376869397088907,1.54488187559345e-08,"mean"
6,0.231892682926829,0.2318927,-1.70731710158467e-08,0.231892691463415,7.36253087930558e-08,"mean"
7,0.126869394177813,0.1268694,-5.82218698252923e-09,0.126869397088906,4.5891185077905e-08,"mean"
8,0.130893784421715,0.1308938,-1.55782849953212e-08,0.130893792210858,1.19014696817906e-07,"mean"
9,0.213321951219512,0.213322,-4.87804880100473e-08,0.213321975609756,2.28670711822418e-07,"mean"
10,0.82752871754524,0.8275287,1.75452400386078e-08,0.82752870877262,2.12019714272278e-08,"mean"
11,1.6705918699187,1.670592,-1.30081300175888e-07,1.67059193495935,7.78653945668985e-08,"mean"
12,1.47494885916601,1.474949,-1.40833990025513e-07,1.47494892958301,9.54839772420657e-08,"mean"
13,0.806409215358932,0.8064092,1.53589319040748e-08,0.806409207679466,1.904607705097e-08,"mean"
1,0.685,0.685,0,0.685,0,"median"
2,0.5505,0.5505,0,0.5505,0,"median"
3,0.547,0.547,0,0.547,0,"median"
4,0.3785,0.3785,0,0.3785,0,"median"
5,0.181,0.181,0,0.181,0,"median"
6,0.11,0.11,0,0.11,0,"median"
7,0.054,0.054,0,0.054,0,"median"
8,0.03,0.03,0,0.03,0,"median"
9,0.0595,0.0595,0,0.0595,0,"median"
10,0.223,0.223,0,0.223,0,"median"
11,0.7775,0.7775,0,0.7775,0,"median"
12,0.678,0.678,0,0.678,0,"median"
13,0.238,0.238,0,0.238,0,"median"
1,20,20,0,20,0,"max"
2,23.2,23.2,0,23.2,0,"max"
3,14.7,14.7,0,14.7,0,"max"
4,7.12,7.12,0,7.12,0,"max"
5,4.6,4.6,0,4.6,0,"max"
6,6.51,6.51,0,6.51,0,"max"
7,8.36,8.36,0,8.36,0,"max"
8,12.4,12.4,0,12.4,0,"max"
9,9.45,9.45,0,9.45,0,"max"
10,14.8,14.8,0,14.8,0,"max"
11,24.7,24.7,0,24.7,0,"max"
12,21.6,21.6,0,21.6,0,"max"
13,24.7,NA,NA,NA,NA,"max"
1,0.071,0.071,0,0.071,0,"min"
2,0.049,0.049,0,0.049,0,"min"
3,0.071,0.071,0,0.071,0,"min"
4,0.036,0.036,0,0.036,0,"min"
5,0.021,0.021,0,0.021,0,"min"
6,0.009,0.009,0,0.009,0,"min"
7,0.004,0.004,0,0.004,0,"min"
8,0.003,0.003,0,0.003,0,"min"
9,0.004,0.004,0,0.004,0,"min"
10,0.004,0.004,0,0.004,0,"min"
11,0.012,0.012,0,0.012,0,"min"
12,0.008,0.008,0,0.008,0,"min"
13,0.003,NA,NA,NA,NA,"min"
