"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",4.60040000000001,4.60040000000001,1.77635683940025e-15,4.60040000000001,3.86130953699732e-16,"P01"
"Aug",2.00699999999999,2.00699999999999,-1.33226762955019e-15,2.00699999999999,6.63810478101741e-16,"P01"
"Dec",9.569,9.569,1.77635683940025e-15,9.569,1.8563662236391e-16,"P01"
"Feb",8.8901,8.8901,-3.5527136788005e-15,8.8901,3.99625839844377e-16,"P01"
"Jan",11,11,0,11,0,"P01"
"Jul",1.498,1.498,2.66453525910038e-15,1.498,1.77872847737008e-15,"P01"
"Jun",2.2613,2.2613,-1.33226762955019e-15,2.2613,5.89160053752349e-16,"P01"
"Mar",7.45299999999999,7.45299999999999,-5.32907051820075e-15,7.45299999999999,7.1502355000681e-16,"P01"
"May",3.113,3.113,4.44089209850063e-16,3.113,1.42656347526522e-16,"P01"
"Nov",12.955,12.955,-1.77635683940025e-14,12.955,1.37117471200328e-15,"P01"
"Oct",7.89199999999999,7.89199999999998,5.32907051820075e-15,7.89199999999999,6.75249685529747e-16,"P01"
"Sep",2.7171,2.7171,-4.44089209850063e-16,2.7171,1.63442350244769e-16,"P01"
"Apr",3.79460000000001,3.79460000000001,4.44089209850063e-16,3.79460000000001,1.17031890014774e-16,"P02"
"Aug",1.03,1.03,0,1.03,0,"P02"
"Dec",8.028,8.028,3.5527136788005e-15,8.028,4.42540318734492e-16,"P02"
"Feb",7.06739999999999,7.06739999999999,-8.88178419700125e-16,7.06739999999999,1.25672583934704e-16,"P02"
"Jan",9.324,9.324,3.5527136788005e-15,9.324,3.81028923080277e-16,"P02"
"Jul",0.800199999999998,0.800199999999998,-4.44089209850063e-16,0.800199999999998,5.54972769120299e-16,"P02"
"Jun",1.6084,1.6084,-1.55431223447522e-15,1.6084,9.66371695147487e-16,"P02"
"Mar",5.90999999999998,5.90999999999998,-2.66453525910038e-15,5.90999999999998,4.50851989695496e-16,"P02"
"May",2.296,2.296,8.88178419700125e-16,2.296,3.86837290810159e-16,"P02"
"Nov",9.79940000000001,9.79940000000001,3.5527136788005e-15,9.79940000000001,3.62544000530696e-16,"P02"
