"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",0.002,0.002,0,0.002,0
0.01,"Q003-avg-q",0.003,0.003,0,0.003,0
0.01,"Q007-avg-q",0.003,0.003,0,0.003,0
0.01,"Q015-avg-q",0.003,0.003,0,0.003,0
0.05,"Q001-avg-q",0.004,0.004,0,0.004,0
0.05,"Q003-avg-q",0.004,0.004,0,0.004,0
0.05,"Q007-avg-q",0.005,0.005,0,0.005,0
0.05,"Q015-avg-q",0.006,0.006,0,0.006,0
0.1,"Q001-avg-q",0.005,0.005,0,0.005,0
0.1,"Q003-avg-q",0.006,0.006,0,0.006,0
0.1,"Q007-avg-q",0.006,0.006,0,0.006,0
0.1,"Q015-avg-q",0.007,0.007,0,0.007,0
0.2,"Q001-avg-q",0.008,0.008,0,0.008,0
0.2,"Q003-avg-q",0.008,0.008,0,0.008,0
0.2,"Q007-avg-q",0.009,0.009,0,0.009,0
0.2,"Q015-avg-q",0.01,0.01,0,0.01,0
0.5,"Q001-avg-q",0.016,0.016,0,0.016,0
0.5,"Q003-avg-q",0.017,0.017,0,0.017,0
0.5,"Q007-avg-q",0.018,0.018,0,0.018,0
0.5,"Q015-avg-q",0.02,0.02,0,0.02,0
0.8,"Q001-avg-q",0.032,0.032,0,0.032,0
0.8,"Q003-avg-q",0.033,0.033,0,0.033,0
0.8,"Q007-avg-q",0.035,0.035,0,0.035,0
0.8,"Q015-avg-q",0.038,0.038,0,0.038,0
0.9,"Q001-avg-q",0.047,0.047,0,0.047,0
0.9,"Q003-avg-q",0.048,0.048,0,0.048,0
0.9,"Q007-avg-q",0.049,0.049,0,0.049,0
0.9,"Q015-avg-q",0.053,0.053,0,0.053,0
0.95,"Q001-avg-q",0.064,0.064,0,0.064,0
0.95,"Q003-avg-q",0.065,0.065,0,0.065,0
0.95,"Q007-avg-q",0.066,0.066,0,0.066,0
0.95,"Q015-avg-q",0.069,0.069,0,0.069,0
0.99,"Q001-avg-q",0.115,0.115,0,0.115,0
0.99,"Q003-avg-q",0.115,0.115,0,0.115,0
0.99,"Q007-avg-q",0.114,0.114,0,0.114,0
0.99,"Q015-avg-q",0.116,0.116,0,0.116,0
1973,"Q001-avg",0.012,0.012,0,0.012,0
1973,"Q001-pp",0.30952380952381,0.3095,2.38095238099811e-05,0.309511904761905,7.6926035618232e-05
1973,"Q003-avg",0.013,0.013,0,0.013,0
1973,"Q003-pp",0.30952380952381,0.3095,2.38095238099811e-05,0.309511904761905,7.6926035618232e-05
1973,"Q007-avg",0.013,0.013,0,0.013,0
1973,"Q007-pp",0.285714285714286,0.2857,1.42857142859665e-05,0.285707142857143,5.00012500321335e-05
1973,"Q015-avg",0.015,0.015,0,0.015,0
1973,"Q015-pp",0.285714285714286,0.2619,0.023814285714286,0.273807142857143,0.0869746693449517
1974,"Q001-avg",0.054,0.054,0,0.054,0
1974,"Q001-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q003-avg",0.056,0.056,0,0.056,0
1974,"Q003-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q007-avg",0.057,0.057,0,0.057,0
1974,"Q007-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1974,"Q015-avg",0.061,0.061,0,0.061,0
1974,"Q015-pp",0.880952380952381,0.881,-4.76190476188521e-05,0.88097619047619,5.40525931729355e-05
1975,"Q001-avg",0.091,0.091,0,0.091,0
1975,"Q001-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q003-avg",0.091,0.091,0,0.091,0
1975,"Q003-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q007-avg",0.091,0.091,0,0.091,0
1975,"Q007-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1975,"Q015-avg",0.094,0.094,0,0.094,0
1975,"Q015-pp",0.976190476190476,0.9762,-9.52380952401466e-06,0.976195238095238,9.75604997069809e-06
1976,"Q001-avg",0.042,0.042,0,0.042,0
1976,"Q001-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q003-avg",0.042,0.042,0,0.042,0
1976,"Q003-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q007-avg",0.045,0.045,0,0.045,0
1976,"Q007-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1976,"Q015-avg",0.052,0.052,0,0.052,0
1976,"Q015-pp",0.857142857142857,0.8571,4.28571428570113e-05,0.857121428571428,5.00012500310972e-05
1977,"Q001-avg",0.034,0.034,0,0.034,0
1977,"Q001-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q003-avg",0.034,0.034,0,0.034,0
1977,"Q003-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q007-avg",0.035,0.035,0,0.035,0
1977,"Q007-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
1977,"Q015-avg",0.037,0.037,0,0.037,0
1977,"Q015-pp",0.738095238095238,0.7381,-4.76190476195182e-06,0.738097619047619,6.45159209170217e-06
