"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",11,8.8901,7.45299999999999,4.60040000000001,3.113,2.2613,1.498,2.00699999999999,2.7171,7.89199999999999,12.955,9.569
"P02",9.324,7.06739999999999,5.90999999999998,3.79460000000001,2.296,1.6084,0.800199999999998,1.03,1.6784,5.92199999999999,9.79940000000001,8.028
"P05",5.975,4.77049999999999,4.03,2.571,1.465,0.8754,0.373,0.3805,0.918099999999999,3.545,6.041,5.465
"P10",4.02,3.093,2.72,1.71,0.847,0.462,0.19,0.142,0.4602,2.39,4.00400000000001,3.77
"P15",3.1,2.32,2,1.21,0.644,0.32065,0.136,0.0945,0.296,1.565,3.06,2.855
"P20",2.48,1.866,1.64,0.9484,0.476,0.252,0.115,0.077,0.1906,1.2,2.462,2.19
"P25",1.965,1.43,1.315,0.77,0.383,0.202,0.102,0.068,0.138,0.826,2.0475,1.775
"P30",1.58,1.15,1.11,0.651,0.314,0.1753,0.091,0.058,0.113,0.633,1.66,1.44
"P35",1.27,0.96,0.897,0.5657,0.2765,0.153,0.079,0.0455,0.097,0.4805,1.38,1.185
"P40",1.05,0.798,0.75,0.487,0.237,0.139,0.069,0.04,0.084,0.374,1.13,0.992
"P45",0.869,0.665,0.645,0.42995,0.2015,0.125,0.062,0.037,0.07195,0.289,0.923,0.819
"P50",0.685,0.5505,0.547,0.3785,0.181,0.11,0.054,0.03,0.0595,0.223,0.7775,0.678
"P55",0.5675,0.45065,0.465,0.334,0.1585,0.10005,0.0475,0.027,0.049,0.1735,0.647,0.5655
"P60",0.459,0.3708,0.397,0.294,0.14,0.091,0.041,0.024,0.041,0.136,0.5296,0.476
"P65",0.371,0.3128,0.3425,0.261,0.127,0.082,0.036,0.022,0.035,0.119,0.44115,0.4075
"P70",0.316,0.262,0.308,0.226,0.111,0.073,0.032,0.02,0.029,0.087,0.377,0.332
"P75",0.269,0.21825,0.2685,0.19625,0.099,0.06425,0.029,0.019,0.025,0.065,0.31225,0.277
"P80",0.227,0.187,0.232,0.1698,0.088,0.0568,0.025,0.017,0.022,0.05,0.254,0.234
"P85",0.187,0.158,0.2025,0.13935,0.0745,0.048,0.022,0.015,0.018,0.034,0.204,0.183
"P90",0.144,0.134,0.165,0.117,0.056,0.037,0.019,0.013,0.015,0.026,0.145,0.139
"P95",0.115,0.1,0.1305,0.089,0.0380000000000001,0.029,0.014,0.008,0.011,0.015,0.092,0.103
"P99",0.086,0.06971,0.102,0.0564500000000001,0.025,0.02,0.009,0.004,0.007,0.00670000000000001,0.03929,0.0446000000000001
