"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",11,9.324,5.975,4.02,3.1,2.48,1.965,1.58,1.27,1.05,0.869,0.685,0.5675,0.459,0.371,0.316,0.269,0.227,0.187,0.144,0.115,0.086
"Feb",8.8901,7.06739999999999,4.77049999999999,3.093,2.32,1.866,1.43,1.15,0.96,0.798,0.665,0.5505,0.45065,0.3708,0.3128,0.262,0.21825,0.187,0.158,0.134,0.1,0.06971
"Mar",7.45299999999999,5.90999999999998,4.03,2.72,2,1.64,1.315,1.11,0.897,0.75,0.645,0.547,0.465,0.397,0.3425,0.308,0.2685,0.232,0.2025,0.165,0.1305,0.102
"Apr",4.60040000000001,3.79460000000001,2.571,1.71,1.21,0.9484,0.77,0.651,0.5657,0.487,0.42995,0.3785,0.334,0.294,0.261,0.226,0.19625,0.1698,0.13935,0.117,0.089,0.0564500000000001
"May",3.113,2.296,1.465,0.847,0.644,0.476,0.383,0.314,0.2765,0.237,0.2015,0.181,0.1585,0.14,0.127,0.111,0.099,0.088,0.0745,0.056,0.0380000000000001,0.025
"Jun",2.2613,1.6084,0.8754,0.462,0.32065,0.252,0.202,0.1753,0.153,0.139,0.125,0.11,0.10005,0.091,0.082,0.073,0.06425,0.0568,0.048,0.037,0.029,0.02
"Jul",1.498,0.800199999999998,0.373,0.19,0.136,0.115,0.102,0.091,0.079,0.069,0.062,0.054,0.0475,0.041,0.036,0.032,0.029,0.025,0.022,0.019,0.014,0.009
"Aug",2.00699999999999,1.03,0.3805,0.142,0.0945,0.077,0.068,0.058,0.0455,0.04,0.037,0.03,0.027,0.024,0.022,0.02,0.019,0.017,0.015,0.013,0.008,0.004
"Sep",2.7171,1.6784,0.918099999999999,0.4602,0.296,0.1906,0.138,0.113,0.097,0.084,0.07195,0.0595,0.049,0.041,0.035,0.029,0.025,0.022,0.018,0.015,0.011,0.007
"Oct",7.89199999999999,5.92199999999999,3.545,2.39,1.565,1.2,0.826,0.633,0.4805,0.374,0.289,0.223,0.1735,0.136,0.119,0.087,0.065,0.05,0.034,0.026,0.015,0.00670000000000001
"Nov",12.955,9.79940000000001,6.041,4.00400000000001,3.06,2.462,2.0475,1.66,1.38,1.13,0.923,0.7775,0.647,0.5296,0.44115,0.377,0.31225,0.254,0.204,0.145,0.092,0.03929
"Dec",9.569,8.028,5.465,3.77,2.855,2.19,1.775,1.44,1.185,0.992,0.819,0.678,0.5655,0.476,0.4075,0.332,0.277,0.234,0.183,0.139,0.103,0.0446000000000001
