"Month","mean","median","max","min"
1,1.58341935483871,0.685,20,0.071
2,1.25440155440415,0.5505,23.2,0.049
3,1.11351062155783,0.547,14.7,0.071
4,0.699247154471545,0.3785,7.12,0.036
5,0.376869394177813,0.181,4.6,0.021
6,0.231892682926829,0.11,6.51,0.009
7,0.126869394177813,0.054,8.36,0.004
8,0.130893784421715,0.03,12.4,0.003
9,0.213321951219512,0.0595,9.45,0.004
10,0.82752871754524,0.223,14.8,0.004
11,1.6705918699187,0.7775,24.7,0.012
12,1.47494885916601,0.678,21.6,0.008
13,0.806409215358932,0.238,24.7,0.003
