"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1973,365,365,0,0.012,11,0.848553424657534,1.48839066991376
1974,365,365,0,0.054,13.4,1.1084904109589,1.7970973797635
1975,365,365,0,0.091,13.9,1.04900547945205,1.84463251796761
1976,366,366,0,0.042,9.34,0.745516393442623,1.16188626444732
1977,365,365,0,0.034,13.1,0.726194520547945,1.3672235252883
1978,365,365,0,0.037,11.4,0.552701369863014,0.985509374135582
1979,365,365,0,0.035,13.5,0.668871232876712,1.38053226212938
1980,366,366,0,0.067,21.6,0.846147540983607,1.86836279222679
1981,365,365,0,0.057,11,0.833517808219178,1.38084205589772
1982,365,365,0,0.005,13.7,0.878060273972603,1.69218160336728
1983,365,365,0,0.013,20,0.975021917808219,1.96230657745264
1984,366,366,0,0.021,20,0.96574043715847,1.84842179283392
1985,365,365,0,0.003,4.99,0.430468493150685,0.761675598089089
1986,365,365,0,0.013,23.2,0.899682191780822,2.09420245587502
1987,365,365,0,0.006,10.6,0.761145205479452,1.44467459481414
1988,366,366,0,0.017,9,0.689612021857923,1.15572857280248
1989,365,365,0,0.019,24.7,0.715183561643836,1.75520735344152
1990,365,365,0,0.019,24.4,1.12547671232877,2.60494103044983
1991,365,365,0,0.011,16.9,0.912608219178082,2.19427708750409
1992,366,366,0,0.013,19,0.769254098360656,1.77093757798522
1993,365,365,0,0.005,14.1,0.648323287671233,1.57834863613081
1994,365,365,0,0.004,14.8,0.763175342465753,1.67745790204303
1995,365,365,0,0.011,20.7,1.01795068493151,2.22252823015256
1996,366,366,0,0.004,8.23,0.650021857923497,1.09484361781312
1997,365,365,0,0.066,12.8,1.11329315068493,1.79161200638113
1998,365,365,0,0.013,11.3,0.807452054794521,1.59801658349624
1999,365,365,0,0.019,13.1,0.990841095890411,1.65725325578229
2000,366,366,0,0.011,6.68,0.604972677595628,0.926381387962739
2001,365,365,0,0.035,9.59,0.72518904109589,1.19731748931069
2002,365,365,0,0.017,17.9,0.754649315068493,1.62588090503012
2003,365,365,0,0.011,14.8,0.834465753424658,1.72834709103617
2004,366,366,0,0.02,14.2,0.602696721311475,1.30437644509159
2005,365,365,0,0.013,13.5,0.839928767123288,1.70417324396946
2006,365,365,0,0.013,11.3,0.791019178082192,1.42361384757027
2007,365,365,0,0.035,12.8,1.02719178082192,1.66486135001309
2008,366,366,0,0.014,7.81,0.598606557377049,0.884675204457286
2009,365,365,0,0.008,11,0.710465753424658,1.40988161651526
2010,365,365,0,0.013,11.3,0.956353424657534,1.49152589413651
2011,365,365,0,0.016,10.2,0.782602739726027,1.28121940906634
2012,366,366,0,0.004,7.38,0.757964480874317,1.10190363616446
2013,365,365,0,0.018,14.7,0.586646575342466,1.14104936690526
