"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1973,0.012,0.012,0,0.012,0,"annual_min_01day_sw"
1974,0.054,0.054,0,0.054,0,"annual_min_01day_sw"
1975,0.091,0.091,0,0.091,0,"annual_min_01day_sw"
1976,0.042,0.042,0,0.042,0,"annual_min_01day_sw"
1977,0.034,0.034,0,0.034,0,"annual_min_01day_sw"
1978,0.037,0.037,0,0.037,0,"annual_min_01day_sw"
1979,0.035,0.035,0,0.035,0,"annual_min_01day_sw"
1980,0.067,0.067,0,0.067,0,"annual_min_01day_sw"
1981,0.057,0.057,0,0.057,0,"annual_min_01day_sw"
1982,0.005,0.005,0,0.005,0,"annual_min_01day_sw"
1983,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
1984,0.021,0.021,0,0.021,0,"annual_min_01day_sw"
1985,0.003,0.003,0,0.003,0,"annual_min_01day_sw"
1986,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
1987,0.006,0.006,0,0.006,0,"annual_min_01day_sw"
1988,0.017,0.017,0,0.017,0,"annual_min_01day_sw"
1989,0.019,0.019,0,0.019,0,"annual_min_01day_sw"
1990,0.019,0.019,0,0.019,0,"annual_min_01day_sw"
1991,0.011,0.011,0,0.011,0,"annual_min_01day_sw"
1992,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
1993,0.005,0.005,0,0.005,0,"annual_min_01day_sw"
1994,0.004,0.004,0,0.004,0,"annual_min_01day_sw"
1995,0.011,0.011,0,0.011,0,"annual_min_01day_sw"
1996,0.004,0.004,0,0.004,0,"annual_min_01day_sw"
1997,0.066,0.066,0,0.066,0,"annual_min_01day_sw"
1998,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
1999,0.019,0.019,0,0.019,0,"annual_min_01day_sw"
2000,0.011,0.011,0,0.011,0,"annual_min_01day_sw"
2001,0.035,0.035,0,0.035,0,"annual_min_01day_sw"
2002,0.017,0.017,0,0.017,0,"annual_min_01day_sw"
2003,0.011,0.011,0,0.011,0,"annual_min_01day_sw"
2004,0.02,0.02,0,0.02,0,"annual_min_01day_sw"
2005,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
2006,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
2007,0.035,0.035,0,0.035,0,"annual_min_01day_sw"
2008,0.014,0.014,0,0.014,0,"annual_min_01day_sw"
2009,0.008,0.008,0,0.008,0,"annual_min_01day_sw"
2010,0.013,0.013,0,0.013,0,"annual_min_01day_sw"
2011,0.016,0.016,0,0.016,0,"annual_min_01day_sw"
2012,0.004,0.004,0,0.004,0,"annual_min_01day_sw"
2013,0.018,0.018,0,0.018,0,"annual_min_01day_sw"
1973,261,261,0,261,0,"annual_mindoy_01day_sw"
1974,247,247,0,247,0,"annual_mindoy_01day_sw"
1975,212,212,0,212,0,"annual_mindoy_01day_sw"
1976,223,223,0,223,0,"annual_mindoy_01day_sw"
1977,230,230,0,230,0,"annual_mindoy_01day_sw"
1978,213,213,0,213,0,"annual_mindoy_01day_sw"
1979,243,243,0,243,0,"annual_mindoy_01day_sw"
1980,228,228,0,228,0,"annual_mindoy_01day_sw"
1981,235,235,0,235,0,"annual_mindoy_01day_sw"
1982,248,248,0,248,0,"annual_mindoy_01day_sw"
