"Year","Measure","value","prob","dist.prob"
1994,"Q001-avg",0.12,0.0208333333333333,2.03683413170139
2014,"Q001-avg",0.13,0.0416666666666667,1.73166439612225
1988,"Q001-avg",0.22,0.0625,1.53412054435255
1971,"Q001-avg",0.292,0.0833333333333333,1.38299412710064
1972,"Q001-avg",0.292,0.104166666666667,1.2581615610631
1993,"Q001-avg",0.3,0.125,1.15034938037601
2006,"Q001-avg",0.322,0.145833333333333,1.05447245177005
1985,"Q001-avg",0.352,0.166666666666667,0.967421566101701
2003,"Q001-avg",0.365,0.1875,0.887146559018876
2009,"Q001-avg",0.378,0.208333333333333,0.812217801499913
1970,"Q001-avg",0.394,0.229166666666667,0.741594043861517
1986,"Q001-avg",0.4,0.25,0.674489750196082
2005,"Q001-avg",0.404,0.270833333333333,0.610294610186333
1998,"Q001-avg",0.415,0.291666666666667,0.548522282698098
1973,"Q001-avg",0.43,0.3125,0.488776411114669
2001,"Q001-avg",0.43,0.333333333333333,0.430727299295458
1987,"Q001-avg",0.437,0.354166666666667,0.374095410197723
1992,"Q001-avg",0.451,0.375,0.318639363964375
2012,"Q001-avg",0.454,0.395833333333333,0.264146976825924
2004,"Q001-avg",0.466,0.416666666666667,0.210428394247925
1983,"Q001-avg",0.488,0.4375,0.157310684610171
1995,"Q001-avg",0.5,0.458333333333333,0.104633455614076
1979,"Q001-avg",0.521,0.479166666666667,0.0522451803759402
1975,"Q001-avg",0.538,0.5,0
1984,"Q001-avg",0.54,0.520833333333333,-0.0522451803759405
1977,"Q001-avg",0.558,0.541666666666667,-0.104633455614075
2013,"Q001-avg",0.562,0.5625,-0.157310684610171
1974,"Q001-avg",0.566,0.583333333333333,-0.210428394247925
1997,"Q001-avg",0.57,0.604166666666667,-0.264146976825923
2002,"Q001-avg",0.57,0.625,-0.318639363964375
1990,"Q001-avg",0.6,0.645833333333333,-0.374095410197724
1989,"Q001-avg",0.603,0.666666666666667,-0.430727299295457
2007,"Q001-avg",0.616,0.6875,-0.488776411114669
1969,"Q001-avg",0.648,0.708333333333333,-0.548522282698098
1980,"Q001-avg",0.667,0.729166666666667,-0.610294610186332
1982,"Q001-avg",0.667,0.75,-0.674489750196082
1991,"Q001-avg",0.669,0.770833333333333,-0.741594043861517
2008,"Q001-avg",0.67,0.791666666666667,-0.812217801499913
1981,"Q001-avg",0.686,0.8125,-0.887146559018876
1996,"Q001-avg",0.691,0.833333333333333,-0.967421566101701
1978,"Q001-avg",0.75,0.854166666666667,-1.05447245177005
2000,"Q001-avg",0.78,0.875,-1.15034938037601
2011,"Q001-avg",0.816,0.895833333333333,-1.2581615610631
2010,"Q001-avg",0.836,0.916666666666667,-1.38299412710064
1968,"Q001-avg",0.85,0.9375,-1.53412054435255
1976,"Q001-avg",1.08,0.958333333333333,-1.73166439612225
1999,"Q001-avg",1.15,0.979166666666667,-2.03683413170139
2014,"Q003-avg",0.149,0.0208333333333333,2.03683413170139
1994,"Q003-avg",0.193333333333333,0.0416666666666667,1.73166439612225
1988,"Q003-avg",0.228333333333333,0.0625,1.53412054435255
1972,"Q003-avg",0.292,0.0833333333333333,1.38299412710064
1971,"Q003-avg",0.292666666666667,0.104166666666667,1.2581615610631
1993,"Q003-avg",0.323333333333333,0.125,1.15034938037601
2006,"Q003-avg",0.328333333333333,0.145833333333333,1.05447245177005
2003,"Q003-avg",0.368333333333333,0.166666666666667,0.967421566101701
2009,"Q003-avg",0.385333333333333,0.1875,0.887146559018876
1970,"Q003-avg",0.395333333333333,0.208333333333333,0.812217801499913
1985,"Q003-avg",0.397333333333333,0.229166666666667,0.741594043861517
1986,"Q003-avg",0.41,0.25,0.674489750196082
2005,"Q003-avg",0.412333333333333,0.270833333333333,0.610294610186333
1998,"Q003-avg",0.416333333333333,0.291666666666667,0.548522282698098
1973,"Q003-avg",0.435,0.3125,0.488776411114669
2001,"Q003-avg",0.437666666666667,0.333333333333333,0.430727299295458
1987,"Q003-avg",0.445666666666667,0.354166666666667,0.374095410197723
1992,"Q003-avg",0.456,0.375,0.318639363964375
2012,"Q003-avg",0.458666666666667,0.395833333333333,0.264146976825924
2004,"Q003-avg",0.481666666666667,0.416666666666667,0.210428394247925
1983,"Q003-avg",0.498,0.4375,0.157310684610171
1979,"Q003-avg",0.525666666666667,0.458333333333333,0.104633455614076
1995,"Q003-avg",0.529666666666667,0.479166666666667,0.0522451803759402
1975,"Q003-avg",0.556666666666667,0.5,0
1977,"Q003-avg",0.562,0.520833333333333,-0.0522451803759405
1974,"Q003-avg",0.575666666666667,0.541666666666667,-0.104633455614075
1984,"Q003-avg",0.576666666666667,0.5625,-0.157310684610171
2002,"Q003-avg",0.576666666666667,0.583333333333333,-0.210428394247925
2013,"Q003-avg",0.589,0.604166666666667,-0.264146976825923
1997,"Q003-avg",0.596666666666667,0.625,-0.318639363964375
1989,"Q003-avg",0.615333333333333,0.645833333333333,-0.374095410197724
2007,"Q003-avg",0.618333333333333,0.666666666666667,-0.430727299295457
1969,"Q003-avg",0.66,0.6875,-0.488776411114669
1990,"Q003-avg",0.683333333333333,0.708333333333333,-0.548522282698098
1991,"Q003-avg",0.683666666666667,0.729166666666667,-0.610294610186332
2008,"Q003-avg",0.69,0.75,-0.674489750196082
1982,"Q003-avg",0.691,0.770833333333333,-0.741594043861517
1996,"Q003-avg",0.698666666666667,0.791666666666667,-0.812217801499913
1981,"Q003-avg",0.701,0.8125,-0.887146559018876
1980,"Q003-avg",0.709333333333333,0.833333333333333,-0.967421566101701
1978,"Q003-avg",0.778666666666667,0.854166666666667,-1.05447245177005
2000,"Q003-avg",0.783333333333333,0.875,-1.15034938037601
2011,"Q003-avg",0.829666666666667,0.895833333333333,-1.2581615610631
2010,"Q003-avg",0.858666666666667,0.916666666666667,-1.38299412710064
1968,"Q003-avg",0.868666666666667,0.9375,-1.53412054435255
1976,"Q003-avg",1.09333333333333,0.958333333333333,-1.73166439612225
1999,"Q003-avg",1.18333333333333,0.979166666666667,-2.03683413170139
1988,"Q007-avg",0.237142857142857,0.0208333333333333,2.03683413170139
1994,"Q007-avg",0.258571428571429,0.0416666666666667,1.73166439612225
1972,"Q007-avg",0.293714285714286,0.0625,1.53412054435255
1971,"Q007-avg",0.299,0.0833333333333333,1.38299412710064
2006,"Q007-avg",0.332,0.104166666666667,1.2581615610631
2014,"Q007-avg",0.369,0.125,1.15034938037601
2003,"Q007-avg",0.370714285714286,0.145833333333333,1.05447245177005
1970,"Q007-avg",0.4,0.166666666666667,0.967421566101701
2009,"Q007-avg",0.416285714285714,0.1875,0.887146559018876
1998,"Q007-avg",0.426142857142857,0.208333333333333,0.812217801499913
2005,"Q007-avg",0.432714285714286,0.229166666666667,0.741594043861517
1986,"Q007-avg",0.437857142857143,0.25,0.674489750196082
1985,"Q007-avg",0.438857142857143,0.270833333333333,0.610294610186333
1987,"Q007-avg",0.448857142857143,0.291666666666667,0.548522282698098
2001,"Q007-avg",0.449428571428571,0.3125,0.488776411114669
1973,"Q007-avg",0.449714285714286,0.333333333333333,0.430727299295458
1993,"Q007-avg",0.455714285714286,0.354166666666667,0.374095410197723
1992,"Q007-avg",0.471,0.375,0.318639363964375
2012,"Q007-avg",0.471428571428571,0.395833333333333,0.264146976825924
2004,"Q007-avg",0.495428571428571,0.416666666666667,0.210428394247925
1983,"Q007-avg",0.51,0.4375,0.157310684610171
1995,"Q007-avg",0.537285714285714,0.458333333333333,0.104633455614076
1979,"Q007-avg",0.539428571428571,0.479166666666667,0.0522451803759402
1977,"Q007-avg",0.573285714285714,0.5,0
1974,"Q007-avg",0.592714285714286,0.520833333333333,-0.0522451803759405
2002,"Q007-avg",0.593142857142857,0.541666666666667,-0.104633455614075
1975,"Q007-avg",0.602857142857143,0.5625,-0.157310684610171
2007,"Q007-avg",0.625,0.583333333333333,-0.210428394247925
1989,"Q007-avg",0.636714285714286,0.604166666666667,-0.264146976825923
2013,"Q007-avg",0.652714285714286,0.625,-0.318639363964375
1969,"Q007-avg",0.665,0.645833333333333,-0.374095410197724
1984,"Q007-avg",0.692857142857143,0.666666666666667,-0.430727299295457
1997,"Q007-avg",0.705714285714286,0.6875,-0.488776411114669
2008,"Q007-avg",0.714285714285714,0.708333333333333,-0.548522282698098
1991,"Q007-avg",0.717857142857143,0.729166666666667,-0.610294610186332
1996,"Q007-avg",0.725285714285714,0.75,-0.674489750196082
1981,"Q007-avg",0.734428571428571,0.770833333333333,-0.741594043861517
1982,"Q007-avg",0.736428571428571,0.791666666666667,-0.812217801499913
1990,"Q007-avg",0.768857142857143,0.8125,-0.887146559018876
2000,"Q007-avg",0.8,0.833333333333333,-0.967421566101701
1980,"Q007-avg",0.819571428571429,0.854166666666667,-1.05447245177005
2011,"Q007-avg",0.842142857142857,0.875,-1.15034938037601
1978,"Q007-avg",0.849571428571429,0.895833333333333,-1.2581615610631
2010,"Q007-avg",0.900285714285714,0.916666666666667,-1.38299412710064
1968,"Q007-avg",0.910142857142857,0.9375,-1.53412054435255
1976,"Q007-avg",1.09428571428571,0.958333333333333,-1.73166439612225
1999,"Q007-avg",1.25571428571429,0.979166666666667,-2.03683413170139
1994,"Q015-avg",0.297066666666667,0.0208333333333333,2.03683413170139
1972,"Q015-avg",0.3024,0.0416666666666667,1.73166439612225
1971,"Q015-avg",0.3122,0.0625,1.53412054435255
1988,"Q015-avg",0.317,0.0833333333333333,1.38299412710064
2006,"Q015-avg",0.354933333333333,0.104166666666667,1.2581615610631
2003,"Q015-avg",0.391666666666667,0.125,1.15034938037601
1970,"Q015-avg",0.421733333333333,0.145833333333333,1.05447245177005
1998,"Q015-avg",0.432133333333333,0.166666666666667,0.967421566101701
1987,"Q015-avg",0.451333333333333,0.1875,0.887146559018876
2001,"Q015-avg",0.458333333333333,0.208333333333333,0.812217801499913
2009,"Q015-avg",0.464066666666667,0.229166666666667,0.741594043861517
1985,"Q015-avg",0.468866666666667,0.25,0.674489750196082
2005,"Q015-avg",0.475933333333333,0.270833333333333,0.610294610186333
2012,"Q015-avg",0.483866666666667,0.291666666666667,0.548522282698098
1992,"Q015-avg",0.493466666666667,0.3125,0.488776411114669
2014,"Q015-avg",0.5318,0.333333333333333,0.430727299295458
1973,"Q015-avg",0.533066666666667,0.354166666666667,0.374095410197723
2004,"Q015-avg",0.5462,0.375,0.318639363964375
1979,"Q015-avg",0.561333333333333,0.395833333333333,0.264146976825924
1993,"Q015-avg",0.565333333333333,0.416666666666667,0.210428394247925
1995,"Q015-avg",0.5694,0.4375,0.157310684610171
1983,"Q015-avg",0.574933333333333,0.458333333333333,0.104633455614076
1986,"Q015-avg",0.591066666666667,0.479166666666667,0.0522451803759402
1977,"Q015-avg",0.606866666666667,0.5,0
1975,"Q015-avg",0.6272,0.520833333333333,-0.0522451803759405
2002,"Q015-avg",0.6468,0.541666666666667,-0.104633455614075
1989,"Q015-avg",0.6624,0.5625,-0.157310684610171
2007,"Q015-avg",0.682866666666667,0.583333333333333,-0.210428394247925
1974,"Q015-avg",0.706866666666667,0.604166666666667,-0.264146976825923
2013,"Q015-avg",0.7286,0.625,-0.318639363964375
1969,"Q015-avg",0.7428,0.645833333333333,-0.374095410197724
1984,"Q015-avg",0.768,0.666666666666667,-0.430727299295457
1991,"Q015-avg",0.783733333333333,0.6875,-0.488776411114669
1996,"Q015-avg",0.787266666666667,0.708333333333333,-0.548522282698098
2008,"Q015-avg",0.8,0.729166666666667,-0.610294610186332
1981,"Q015-avg",0.804133333333333,0.75,-0.674489750196082
1980,"Q015-avg",0.8292,0.770833333333333,-0.741594043861517
2000,"Q015-avg",0.840666666666667,0.791666666666667,-0.812217801499913
1997,"Q015-avg",0.846666666666667,0.8125,-0.887146559018876
2011,"Q015-avg",0.8686,0.833333333333333,-0.967421566101701
1982,"Q015-avg",0.8972,0.854166666666667,-1.05447245177005
1978,"Q015-avg",0.8998,0.875,-1.15034938037601
1990,"Q015-avg",0.924266666666667,0.895833333333333,-1.2581615610631
2010,"Q015-avg",0.9502,0.916666666666667,-1.38299412710064
1968,"Q015-avg",1.07206666666667,0.9375,-1.53412054435255
1976,"Q015-avg",1.09933333333333,0.958333333333333,-1.73166439612225
1999,"Q015-avg",1.51333333333333,0.979166666666667,-2.03683413170139
