"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
"PIII",0.01,100,0.123,0.158,0.223,0.255
"PIII",0.05,20,0.21,0.24,0.295,0.332
"PIII",0.1,10,0.269,0.294,0.342,0.381
"PIII",0.2,5,0.351,0.368,0.407,0.45
"PIII",0.5,2,0.533,0.537,0.559,0.614
"PIII",0.8,1.25,0.722,0.733,0.757,0.834
"PIII",0.9,1.111,0.813,0.84,0.882,0.977
"PIII",0.95,1.053,0.881,0.93,0.997,1.111
"PIII",0.975,1.026,0.933,1.006,1.106,1.24
"PIII",0.98,1.02,0.947,1.029,1.14,1.282
"PIII",0.99,1.01,0.985,1.093,1.245,1.409
