"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,1.31247909283342
"Q001-avg","PIII",0.99,1.63960850193752
"Q001-avg","PIII",0.98,1.38801423369478
"Q001-avg","PIII",0.95,1.09301696056826
"Q001-avg","PIII",0.9,0.893599169860608
"Q001-avg","PIII",0.8,0.709631562902814
"Q001-avg","PIII",0.5,0.475132991751195
"Q001-avg","PIII",0.2,0.334525765213244
"Q001-avg","PIII",0.1,0.283843663854777
"Q001-avg","PIII",0.05,0.250200929714572
"Q001-avg","PIII",0.01,0.201930658708296
"Q003-avg","PIII",0.975,1.05355908570567
"Q003-avg","PIII",0.99,1.16824816009563
"Q003-avg","PIII",0.98,1.08257530619985
"Q003-avg","PIII",0.95,0.958098181842281
"Q003-avg","PIII",0.9,0.852544335389661
"Q003-avg","PIII",0.8,0.732321768525395
"Q003-avg","PIII",0.5,0.529310329912405
"Q003-avg","PIII",0.2,0.365189263810165
"Q003-avg","PIII",0.1,0.29504785306586
"Q003-avg","PIII",0.05,0.244877281497241
"Q003-avg","PIII",0.01,0.168267679054129
"Q007-avg","PIII",0.975,0.645633201410145
"Q007-avg","PIII",0.99,0.660088311414505
"Q007-avg","PIII",0.98,0.6494028566422
"Q007-avg","PIII",0.95,0.63262620633175
"Q007-avg","PIII",0.9,0.616999919174991
"Q007-avg","PIII",0.8,0.597228272661072
"Q007-avg","PIII",0.5,0.557098399495727
"Q007-avg","PIII",0.2,0.514513573737769
"Q007-avg","PIII",0.1,0.491532930307136
"Q007-avg","PIII",0.05,0.472292844381483
"Q007-avg","PIII",0.01,0.435815316567668
"Q015-avg","PIII",0.975,0.660569102140014
"Q015-avg","PIII",0.99,0.667888270663622
"Q015-avg","PIII",0.98,0.662485707958212
"Q015-avg","PIII",0.95,0.653912320116983
"Q015-avg","PIII",0.9,0.645823255146134
"Q015-avg","PIII",0.8,0.635439104183479
"Q015-avg","PIII",0.5,0.613816923796294
"Q015-avg","PIII",0.2,0.589996812715924
"Q015-avg","PIII",0.1,0.576729688521782
"Q015-avg","PIII",0.05,0.565380280637698
"Q015-avg","PIII",0.01,0.54320575322494
