"Year","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
1968,0.85,0.869,0.91,1.072
1969,0.648,0.66,0.665,0.743
1970,0.394,0.395,0.4,0.422
1971,0.292,0.293,0.299,0.312
1972,0.292,0.292,0.294,0.302
1973,0.43,0.435,0.45,0.533
1974,0.566,0.576,0.593,0.707
1975,0.538,0.557,0.603,0.627
1976,1.08,1.093,1.094,1.099
1977,0.558,0.562,0.573,0.607
1978,0.75,0.779,0.85,0.9
1979,0.521,0.526,0.539,0.561
1980,0.667,0.709,0.82,0.829
1981,0.686,0.701,0.734,0.804
1982,0.667,0.691,0.736,0.897
1983,0.488,0.498,0.51,0.575
1984,0.54,0.577,0.693,0.768
1985,0.352,0.397,0.439,0.469
1986,0.4,0.41,0.438,0.591
1987,0.437,0.446,0.449,0.451
1988,0.22,0.228,0.237,0.317
1989,0.603,0.615,0.637,0.662
1990,0.6,0.683,0.769,0.924
1991,0.669,0.684,0.718,0.784
1992,0.451,0.456,0.471,0.493
1993,0.3,0.323,0.456,0.565
1994,0.12,0.193,0.259,0.297
1995,0.5,0.53,0.537,0.569
1996,0.691,0.699,0.725,0.787
1997,0.57,0.597,0.706,0.847
1998,0.415,0.416,0.426,0.432
1999,1.15,1.183,1.256,1.513
2000,0.78,0.783,0.8,0.841
2001,0.43,0.438,0.449,0.458
2002,0.57,0.577,0.593,0.647
2003,0.365,0.368,0.371,0.392
2004,0.466,0.482,0.495,0.546
2005,0.404,0.412,0.433,0.476
2006,0.322,0.328,0.332,0.355
2007,0.616,0.618,0.625,0.683
2008,0.67,0.69,0.714,0.8
2009,0.378,0.385,0.416,0.464
2010,0.836,0.859,0.9,0.95
2011,0.816,0.83,0.842,0.869
2012,0.454,0.459,0.471,0.484
2013,0.562,0.589,0.653,0.729
2014,0.13,0.149,0.369,0.532
