"Year","Measure","value"
1966,"Q001-avg",0.561
1966,"Q003-avg",0.573666666666667
1966,"Q007-avg",0.600142857142857
1966,"Q015-avg",0.6176
1967,"Q001-avg",0.566
1967,"Q003-avg",0.585333333333333
1967,"Q007-avg",0.602857142857143
1967,"Q015-avg",0.6344
1968,"Q001-avg",0.85
1968,"Q003-avg",0.868666666666667
1968,"Q007-avg",0.910142857142857
1968,"Q015-avg",1.07206666666667
1969,"Q001-avg",0.648
1969,"Q003-avg",0.66
1969,"Q007-avg",0.665
1969,"Q015-avg",0.7428
1970,"Q001-avg",0.394
1970,"Q003-avg",0.395333333333333
1970,"Q007-avg",0.4
1970,"Q015-avg",0.421733333333333
1971,"Q001-avg",0.292
1971,"Q003-avg",0.292666666666667
1971,"Q007-avg",0.299
1971,"Q015-avg",0.3122
1972,"Q001-avg",0.292
1972,"Q003-avg",0.292
1972,"Q007-avg",0.293714285714286
1972,"Q015-avg",0.3024
1973,"Q001-avg",0.43
1973,"Q003-avg",0.435
1973,"Q007-avg",0.449714285714286
1973,"Q015-avg",0.533066666666667
1974,"Q001-avg",0.566
1974,"Q003-avg",0.575666666666667
1974,"Q007-avg",0.592714285714286
1974,"Q015-avg",0.706866666666667
1975,"Q001-avg",0.538
1975,"Q003-avg",0.556666666666667
1975,"Q007-avg",0.602857142857143
1975,"Q015-avg",0.6272
1976,"Q001-avg",1.08
1976,"Q003-avg",1.09333333333333
1976,"Q007-avg",1.09428571428571
1976,"Q015-avg",1.09933333333333
1977,"Q001-avg",0.558
1977,"Q003-avg",0.562
1977,"Q007-avg",0.573285714285714
1977,"Q015-avg",0.606866666666667
1978,"Q001-avg",0.75
1978,"Q003-avg",0.778666666666667
1978,"Q007-avg",0.849571428571429
1978,"Q015-avg",0.8998
1979,"Q001-avg",0.521
1979,"Q003-avg",0.525666666666667
1979,"Q007-avg",0.539428571428571
1979,"Q015-avg",0.561333333333333
1980,"Q001-avg",0.667
1980,"Q003-avg",0.709333333333333
1980,"Q007-avg",0.819571428571429
1980,"Q015-avg",0.8292
1981,"Q001-avg",0.686
1981,"Q003-avg",0.701
1981,"Q007-avg",0.734428571428571
1981,"Q015-avg",0.804133333333333
1982,"Q001-avg",0.667
1982,"Q003-avg",0.691
1982,"Q007-avg",0.736428571428571
1982,"Q015-avg",0.8972
