"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1968,0.85,0.85,0,0.85,0,"annual_min_01day_sw"
1969,0.648,0.648,0,0.648,0,"annual_min_01day_sw"
1970,0.394,0.394,0,0.394,0,"annual_min_01day_sw"
1971,0.292,0.292,0,0.292,0,"annual_min_01day_sw"
1972,0.292,0.292,0,0.292,0,"annual_min_01day_sw"
1973,0.43,0.43,0,0.43,0,"annual_min_01day_sw"
1974,0.566,0.566,0,0.566,0,"annual_min_01day_sw"
1975,0.538,0.538,0,0.538,0,"annual_min_01day_sw"
1976,1.08,1.08,0,1.08,0,"annual_min_01day_sw"
1977,0.558,0.558,0,0.558,0,"annual_min_01day_sw"
1978,0.75,0.75,0,0.75,0,"annual_min_01day_sw"
1979,0.521,0.521,0,0.521,0,"annual_min_01day_sw"
1980,0.667,0.667,0,0.667,0,"annual_min_01day_sw"
1981,0.686,0.686,0,0.686,0,"annual_min_01day_sw"
1982,0.667,0.667,0,0.667,0,"annual_min_01day_sw"
1983,0.488,0.488,0,0.488,0,"annual_min_01day_sw"
1984,0.54,0.54,0,0.54,0,"annual_min_01day_sw"
1985,0.352,0.352,0,0.352,0,"annual_min_01day_sw"
1986,0.4,0.4,0,0.4,0,"annual_min_01day_sw"
1987,0.437,0.437,0,0.437,0,"annual_min_01day_sw"
1988,0.22,0.22,0,0.22,0,"annual_min_01day_sw"
1989,0.603,0.603,0,0.603,0,"annual_min_01day_sw"
1990,0.6,0.6,0,0.6,0,"annual_min_01day_sw"
1991,0.669,0.669,0,0.669,0,"annual_min_01day_sw"
1992,0.451,0.451,0,0.451,0,"annual_min_01day_sw"
1993,0.3,0.3,0,0.3,0,"annual_min_01day_sw"
1994,0.12,0.12,0,0.12,0,"annual_min_01day_sw"
1995,0.5,0.5,0,0.5,0,"annual_min_01day_sw"
1996,0.691,0.691,0,0.691,0,"annual_min_01day_sw"
1997,0.57,0.57,0,0.57,0,"annual_min_01day_sw"
1998,0.415,0.415,0,0.415,0,"annual_min_01day_sw"
1999,1.15,1.15,0,1.15,0,"annual_min_01day_sw"
2000,0.78,0.78,0,0.78,0,"annual_min_01day_sw"
2001,0.43,0.43,0,0.43,0,"annual_min_01day_sw"
2002,0.57,0.57,0,0.57,0,"annual_min_01day_sw"
2003,0.365,0.365,0,0.365,0,"annual_min_01day_sw"
2004,0.466,0.466,0,0.466,0,"annual_min_01day_sw"
2005,0.404,0.404,0,0.404,0,"annual_min_01day_sw"
2006,0.322,0.322,0,0.322,0,"annual_min_01day_sw"
2007,0.616,0.616,0,0.616,0,"annual_min_01day_sw"
2008,0.67,0.67,0,0.67,0,"annual_min_01day_sw"
2009,0.378,0.378,0,0.378,0,"annual_min_01day_sw"
2010,0.836,0.836,0,0.836,0,"annual_min_01day_sw"
2011,0.816,0.816,0,0.816,0,"annual_min_01day_sw"
2012,0.454,0.454,0,0.454,0,"annual_min_01day_sw"
2013,0.562,0.562,0,0.562,0,"annual_min_01day_sw"
2014,0.13,0.13,0,0.13,0,"annual_min_01day_sw"
1968,257,257,0,257,0,"annual_mindoy_01day_sw"
1969,244,244,0,244,0,"annual_mindoy_01day_sw"
1970,17,17,0,17,0,"annual_mindoy_01day_sw"
1971,364,364,0,364,0,"annual_mindoy_01day_sw"
1972,1,1,0,1,0,"annual_mindoy_01day_sw"
1973,261,261,0,261,0,"annual_mindoy_01day_sw"
1974,357,357,0,357,0,"annual_mindoy_01day_sw"
1975,12,12,0,12,0,"annual_mindoy_01day_sw"
1976,319,319,0,319,0,"annual_mindoy_01day_sw"
1977,235,235,0,235,0,"annual_mindoy_01day_sw"
1978,365,365,0,365,0,"annual_mindoy_01day_sw"
1979,269,269,0,269,0,"annual_mindoy_01day_sw"
1980,245,245,0,245,0,"annual_mindoy_01day_sw"
1981,262,262,0,262,0,"annual_mindoy_01day_sw"
1982,267,267,0,267,0,"annual_mindoy_01day_sw"
1983,290,290,0,290,0,"annual_mindoy_01day_sw"
1984,366,366,0,366,0,"annual_mindoy_01day_sw"
1985,70,70,0,70,0,"annual_mindoy_01day_sw"
1986,51,51,0,51,0,"annual_mindoy_01day_sw"
1987,276,276,0,276,0,"annual_mindoy_01day_sw"
1988,6,6,0,6,0,"annual_mindoy_01day_sw"
1989,282,282,0,282,0,"annual_mindoy_01day_sw"
1990,50,50,0,50,0,"annual_mindoy_01day_sw"
1991,286,286,0,286,0,"annual_mindoy_01day_sw"
1992,247,247,0,247,0,"annual_mindoy_01day_sw"
1993,328,328,0,328,0,"annual_mindoy_01day_sw"
1994,340,340,0,340,0,"annual_mindoy_01day_sw"
1995,6,6,0,6,0,"annual_mindoy_01day_sw"
1996,241,241,0,241,0,"annual_mindoy_01day_sw"
1997,25,25,0,25,0,"annual_mindoy_01day_sw"
