"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,2.39,2.389708,0.000291999999999959,2.389854,0.000122183196128282,"mean"
2,2.254,2.254264,-0.000264000000000042,2.254132,0.000117118252169812,"mean"
3,3.011,3.01079,0.000210000000000043,3.010895,6.97467032228103e-05,"mean"
4,7.768,7.767714,0.000286000000000008,7.767857,3.68183914817186e-05,"mean"
5,23.86,23.85999,9.99999999962142e-06,23.859995,4.19111571466022e-07,"mean"
6,22.508,22.50835,-0.000350000000000961,22.508175,1.55499057565067e-05,"mean"
7,7.541,7.540851,0.000149000000000399,7.5409255,1.97588479027407e-05,"mean"
8,1.634,1.634234,-0.000234000000000067,1.634117,0.000143196600977817,"mean"
9,1.152,1.151803,0.000197000000000003,1.1519015,0.000171021567382283,"mean"
10,2.424,2.423563,0.000436999999999799,2.4237815,0.000180296780052079,"mean"
11,4.509,4.508828,0.000172000000000061,4.508914,3.81466579313912e-05,"mean"
12,2.941,2.941175,-0.000175000000000036,2.9410875,5.95017999294602e-05,"mean"
13,6.863,6.862526,0.00047400000000053,6.862763,6.90683912588165e-05,"mean"
1,1.525,1.525,0,1.525,0,"median"
2,1.67,1.67,0,1.67,0,"median"
3,1.97,1.97,0,1.97,0,"median"
4,5.6,5.6,0,5.6,0,"median"
5,20.4,20.4,0,20.4,0,"median"
6,19.7,19.7,0,19.7,0,"median"
7,4.57,4.57,0,4.57,0,"median"
8,1.13,1.13,0,1.13,0,"median"
9,0.878,0.878,0,0.878,0,"median"
10,1.605,1.605,0,1.605,0,"median"
11,2.44,2.44,0,2.44,0,"median"
12,1.65,1.65,0,1.65,0,"median"
13,2.33,2.33,0,2.33,0,"median"
1,96.2,96.2,0,96.2,0,"max"
2,32,32,0,32,0,"max"
3,65.8,65.8,0,65.8,0,"max"
4,46.5,46.5,0,46.5,0,"max"
5,91.2,91.2,0,91.2,0,"max"
6,84.7,84.7,0,84.7,0,"max"
7,42.1,42.1,0,42.1,0,"max"
8,12,12,0,12,0,"max"
9,15.3,15.3,0,15.3,0,"max"
10,69,69,0,69,0,"max"
11,104,104,0,104,0,"max"
12,92.6,92.6,0,92.6,0,"max"
13,104,NA,NA,NA,NA,"max"
1,0.22,0.22,0,0.22,0,"min"
2,0.245,0.245,0,0.245,0,"min"
3,0.352,0.352,0,0.352,0,"min"
4,0.717,0.717,0,0.717,0,"min"
5,2.61,2.61,0,2.61,0,"min"
6,2.26,2.26,0,2.26,0,"min"
7,0.698,0.698,0,0.698,0,"min"
8,0.373,0.373,0,0.373,0,"min"
9,0.242,0.242,0,0.242,0,"min"
10,0.284,0.284,0,0.284,0,"min"
11,0.13,0.13,0,0.13,0,"min"
12,0.12,0.12,0,0.12,0,"min"
13,0.12,NA,NA,NA,NA,"min"
