"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",29.931,29.931,7.105427357601e-15,29.931,2.37393583829508e-16,"P01"
"Aug",8.6864,8.6864,1.77635683940025e-15,8.6864,2.04498623065971e-16,"P01"
"Dec",24.62,24.62,1.77635683940025e-14,24.62,7.21509682940801e-16,"P01"
"Feb",12.034,12.034,-1.4210854715202e-14,12.034,1.18089203217567e-15,"P01"
"Jan",16.7559999999999,16.7559999999999,4.2632564145606e-14,16.7559999999999,2.54431631329711e-15,"P01"
"Jul",33.7,33.7,0,33.7,0,"P01"
"Jun",64.893,64.893,1.4210854715202e-14,64.893,2.18989023703666e-16,"P01"
"Mar",16.046,16.046,1.77635683940025e-14,16.046,1.10704028380921e-15,"P01"
"May",64.746,64.746,1.4210854715202e-14,64.746,2.19486218688444e-16,"P01"
"Nov",40.445,40.445,0,40.445,0,"P01"
"Oct",15.29,15.29,-1.06581410364015e-14,15.29,6.97066124028875e-16,"P01"
"Sep",5.2555,5.2555,1.77635683940025e-15,5.2555,3.3799958888788e-16,"P01"
"Apr",25.424,25.424,2.1316282072803e-14,25.424,8.38431484927746e-16,"P02"
"Aug",6.85959999999998,6.85959999999998,-1.77635683940025e-15,6.85959999999998,2.5895924534962e-16,"P02"
"Dec",16.94,16.94,-7.105427357601e-15,16.94,4.19446715324734e-16,"P02"
"Feb",9.88779999999999,9.88779999999999,3.5527136788005e-15,9.88779999999999,3.59302744675307e-16,"P02"
"Jan",11.004,11.004,3.5527136788005e-15,11.004,3.22856568411532e-16,"P02"
"Jul",29.628,29.628,2.48689957516035e-14,29.628,8.39374772229091e-16,"P02"
"Jun",58.448,58.448,4.2632564145606e-14,58.448,7.29410144839961e-16,"P02"
"Mar",10.964,10.964,1.24344978758018e-14,10.964,1.13412056510414e-15,"P02"
"May",61.4,61.4,0,61.4,0,"P02"
"Nov",25.6,25.6,0,25.6,0,"P02"
"Oct",9.979,9.979,0,9.979,0,"P02"
"Sep",4.1448,4.1448,4.44089209850063e-15,4.1448,1.07143700504261e-15,"P02"
"Apr",21.255,21.255,3.5527136788005e-15,21.255,1.67147197308892e-16,"P05"
"Aug",4.303,4.303,2.66453525910038e-15,4.303,6.19227343504619e-16,"P05"
"Dec",8.535,8.535,0,8.535,0,"P05"
"Feb",5.98649999999999,5.98649999999999,-1.77635683940025e-15,5.98649999999999,2.96727109229141e-16,"P05"
"Jan",6.29849999999999,6.29849999999999,1.77635683940025e-15,6.29849999999999,2.82028552734818e-16,"P05"
"Jul",23.6,23.6,0,23.6,0,"P05"
"Jun",48.7,48.7,0,48.7,0,"P05"
"Mar",8.2,8.2,0,8.2,0,"P05"
"May",51.43,51.43,2.8421709430404e-14,51.43,5.52628999230099e-16,"P05"
"Nov",13.525,13.525,0,13.525,0,"P05"
"Oct",6.515,6.515,0,6.515,0,"P05"
"Sep",2.801,2.801,8.88178419700125e-16,2.801,3.17093330846171e-16,"P05"
"Apr",16.9,16.9,0,16.9,0,"P10"
"Aug",3.014,3.014,-8.88178419700125e-16,3.014,2.94684279927049e-16,"P10"
"Dec",5.83,5.83,0,5.83,0,"P10"
"Feb",4.05,4.05,0,4.05,0,"P10"
"Jan",4.25,4.25,0,4.25,0,"P10"
"Jul",18.72,18.72,-3.5527136788005e-15,18.72,1.89781713611138e-16,"P10"
"Jun",41.01,41.01,-1.4210854715202e-14,41.01,3.46521695079298e-16,"P10"
"Mar",6,6,0,6,0,"P10"
"May",43.42,43.42,0,43.42,0,"P10"
"Nov",8.77,8.77,0,8.77,0,"P10"
"Oct",4.37,4.37,0,4.37,0,"P10"
"Sep",2.02,2.02,0,2.02,0,"P10"
"Apr",13.7,13.7,0,13.7,0,"P15"
"Aug",2.58,2.58,0,2.58,0,"P15"
"Dec",4.395,4.395,0,4.395,0,"P15"
"Feb",3.35,3.35,0,3.35,0,"P15"
"Jan",3.4095,3.4095,-4.44089209850063e-16,3.4095,1.30250538158106e-16,"P15"
"Jul",15.3,15.3,0,15.3,0,"P15"
"Jun",36.465,36.465,1.4210854715202e-14,36.465,3.89712181960839e-16,"P15"
"Mar",4.759,4.759,1.77635683940025e-15,4.759,3.73262626476203e-16,"P15"
"May",38.1,38.1,0,38.1,0,"P15"
"Nov",6.3675,6.3675,0,6.3675,0,"P15"
"Oct",3.5725,3.5725,0,3.5725,0,"P15"
"Sep",1.67,1.67,0,1.67,0,"P15"
"Apr",11.82,11.82,-5.32907051820075e-15,11.82,4.50851989695495e-16,"P20"
"Aug",2.234,2.234,-8.88178419700125e-16,2.234,3.97573151163888e-16,"P20"
"Dec",3.23,3.23,0,3.23,0,"P20"
"Feb",2.874,2.874,-8.88178419700125e-16,2.874,3.09039116109995e-16,"P20"
"Jan",2.642,2.642,-2.66453525910038e-15,2.642,1.00852962115836e-15,"P20"
"Jul",12,12,0,12,0,"P20"
"Jun",32.9,32.9,0,32.9,0,"P20"
"Mar",3.928,3.928,-1.77635683940025e-15,3.928,4.52229337932854e-16,"P20"
"May",34.3,34.3,0,34.3,0,"P20"
"Nov",5.15,5.15,0,5.15,0,"P20"
"Oct",3.07,3.07,0,3.07,0,"P20"
"Sep",1.48,1.48,0,1.48,0,"P20"
"Apr",10.3,10.3,0,10.3,0,"P25"
"Aug",1.965,1.965,2.22044604925031e-16,1.965,1.12999798944036e-16,"P25"
"Dec",2.7,2.7,0,2.7,0,"P25"
"Feb",2.5125,2.5125,4.44089209850063e-16,2.5125,1.76751924318433e-16,"P25"
"Jan",2.25,2.25,0,2.25,0,"P25"
"Jul",9.75,9.75,0,9.75,0,"P25"
"Jun",30.1,30.1,0,30.1,0,"P25"
"Mar",3.52,3.52,0,3.52,0,"P25"
"May",31.25,31.25,0,31.25,0,"P25"
"Nov",4.4425,4.4425,-8.88178419700125e-16,4.4425,1.99927612763112e-16,"P25"
"Oct",2.6575,2.6575,0,2.6575,0,"P25"
"Sep",1.3075,1.3075,0,1.3075,0,"P25"
"Apr",9.149,9.149,0,9.149,0,"P30"
"Aug",1.69,1.69,0,1.69,0,"P30"
"Dec",2.35,2.35,0,2.35,0,"P30"
"Feb",2.35,2.35,0,2.35,0,"P30"
"Jan",2.07,2.07,0,2.07,0,"P30"
"Jul",8.11,8.11,0,8.11,0,"P30"
"Jun",27.2,27.2,0,27.2,0,"P30"
"Mar",3.16,3.16,0,3.16,0,"P30"
"May",28.6,28.6,0,28.6,0,"P30"
"Nov",3.905,3.905,8.88178419700125e-16,3.905,2.27446458309891e-16,"P30"
"Oct",2.36,2.36,0,2.36,0,"P30"
"Sep",1.17,1.17,0,1.17,0,"P30"
"Apr",7.84,7.84,0,7.84,0,"P35"
"Aug",1.537,1.537,-6.66133814775094e-16,1.537,4.33398708376769e-16,"P35"
"Dec",2.1,2.1,0,2.1,0,"P35"
"Feb",2.1,2.1,0,2.1,0,"P35"
"Jan",1.9,1.9,0,1.9,0,"P35"
"Jul",6.89,6.89,0,6.89,0,"P35"
"Jun",25.185,25.185,-3.5527136788005e-15,25.185,1.41064668604348e-16,"P35"
