"Year","Measure","value.Q","value.HEC","diff","mean","pdiff"
0.01,"Q001-avg-q",0.123,0.123,0,0.123,0
0.01,"Q003-avg-q",0.158,0.158,0,0.158,0
0.01,"Q007-avg-q",0.223,0.223,0,0.223,0
0.01,"Q015-avg-q",0.255,0.255,0,0.255,0
0.05,"Q001-avg-q",0.21,0.21,0,0.21,0
0.05,"Q003-avg-q",0.24,0.24,0,0.24,0
0.05,"Q007-avg-q",0.295,0.295,0,0.295,0
0.05,"Q015-avg-q",0.332,0.332,0,0.332,0
0.1,"Q001-avg-q",0.269,0.269,0,0.269,0
0.1,"Q003-avg-q",0.294,0.294,0,0.294,0
0.1,"Q007-avg-q",0.342,0.342,0,0.342,0
0.1,"Q015-avg-q",0.381,0.381,0,0.381,0
0.2,"Q001-avg-q",0.351,0.351,0,0.351,0
0.2,"Q003-avg-q",0.368,0.368,0,0.368,0
0.2,"Q007-avg-q",0.407,0.407,0,0.407,0
0.2,"Q015-avg-q",0.45,0.45,0,0.45,0
0.5,"Q001-avg-q",0.533,0.533,0,0.533,0
0.5,"Q003-avg-q",0.537,0.537,0,0.537,0
0.5,"Q007-avg-q",0.559,0.559,0,0.559,0
0.5,"Q015-avg-q",0.614,0.614,0,0.614,0
0.8,"Q001-avg-q",0.722,0.722,0,0.722,0
0.8,"Q003-avg-q",0.733,0.733,0,0.733,0
0.8,"Q007-avg-q",0.757,0.757,0,0.757,0
0.8,"Q015-avg-q",0.834,0.834,0,0.834,0
0.9,"Q001-avg-q",0.813,0.813,0,0.813,0
0.9,"Q003-avg-q",0.84,0.84,0,0.84,0
0.9,"Q007-avg-q",0.882,0.882,0,0.882,0
0.9,"Q015-avg-q",0.977,0.977,0,0.977,0
0.95,"Q001-avg-q",0.881,0.881,0,0.881,0
0.95,"Q003-avg-q",0.93,0.93,0,0.93,0
0.95,"Q007-avg-q",0.997,0.997,0,0.997,0
0.95,"Q015-avg-q",1.111,1.111,0,1.111,0
0.99,"Q001-avg-q",0.985,0.985,0,0.985,0
0.99,"Q003-avg-q",1.093,1.093,0,1.093,0
0.99,"Q007-avg-q",1.245,1.245,0,1.245,0
0.99,"Q015-avg-q",1.409,1.409,0,1.409,0
1968,"Q001-avg",0.85,0.85,0,0.85,0
1968,"Q001-pp",0.9375,0.9375,0,0.9375,0
1968,"Q003-avg",0.869,0.869,0,0.869,0
1968,"Q003-pp",0.9375,0.9375,0,0.9375,0
1968,"Q007-avg",0.91,0.91,0,0.91,0
1968,"Q007-pp",0.9375,0.9375,0,0.9375,0
1968,"Q015-avg",1.072,1.072,0,1.072,0
1968,"Q015-pp",0.9375,0.9375,0,0.9375,0
1969,"Q001-avg",0.648,0.648,0,0.648,0
1969,"Q001-pp",0.708333333333333,0.7083,3.33333333331076e-05,0.708316666666666,4.7059930821583e-05
1969,"Q003-avg",0.66,0.66,0,0.66,0
1969,"Q003-pp",0.6875,0.6875,0,0.6875,0
1969,"Q007-avg",0.665,0.665,0,0.665,0
1969,"Q007-pp",0.645833333333333,0.6458,3.33333333331076e-05,0.645816666666666,5.16142352057203e-05
1969,"Q015-avg",0.743,0.743,0,0.743,0
1969,"Q015-pp",0.645833333333333,0.6458,3.33333333331076e-05,0.645816666666666,5.16142352057203e-05
1970,"Q001-avg",0.394,0.394,0,0.394,0
1970,"Q001-pp",0.229166666666667,0.2292,-3.33333333330244e-05,0.229183333333334,0.000145443967710091
1970,"Q003-avg",0.395,0.395,0,0.395,0
1970,"Q003-pp",0.208333333333333,0.2083,3.33333333330244e-05,0.208316666666666,0.000160012801022599
1970,"Q007-avg",0.4,0.4,0,0.4,0
1970,"Q007-pp",0.166666666666667,0.1667,-3.33333333330244e-05,0.166683333333334,0.000199980001997946
1970,"Q015-avg",0.422,0.422,0,0.422,0
1970,"Q015-pp",0.145833333333333,0.1458,3.33333333329966e-05,0.145816666666667,0.000228597554003863
1971,"Q001-avg",0.292,0.292,0,0.292,0
1971,"Q001-pp",0.0833333333333333,0.0833,3.33333333333019e-05,0.0833166666666666,0.000400080016002824
1971,"Q003-avg",0.293,0.293,0,0.293,0
1971,"Q003-pp",0.104166666666667,0.1042,-3.33333333329966e-05,0.104183333333334,0.000319948808187457
1971,"Q007-avg",0.299,0.299,0,0.299,0
1971,"Q007-pp",0.0833333333333333,0.0833,3.33333333333019e-05,0.0833166666666666,0.000400080016002824
1971,"Q015-avg",0.312,0.312,0,0.312,0
1971,"Q015-pp",0.0625,0.0625,0,0.0625,0
1972,"Q001-avg",0.292,0.292,0,0.292,0
1972,"Q001-pp",0.104166666666667,0.1042,-3.33333333329966e-05,0.104183333333334,0.000319948808187457
1972,"Q003-avg",0.292,0.292,0,0.292,0
1972,"Q003-pp",0.0833333333333333,0.0833,3.33333333333019e-05,0.0833166666666666,0.000400080016002824
1972,"Q007-avg",0.294,0.294,0,0.294,0
1972,"Q007-pp",0.0625,0.0625,0,0.0625,0
1972,"Q015-avg",0.302,0.302,0,0.302,0
1972,"Q015-pp",0.0416666666666667,0.0417,-3.33333333333019e-05,0.0416833333333334,0.000799680127948066
1973,"Q001-avg",0.43,0.43,0,0.43,0
1973,"Q001-pp",0.3125,0.3125,0,0.3125,0
1973,"Q003-avg",0.435,0.435,0,0.435,0
1973,"Q003-pp",0.3125,0.3125,0,0.3125,0
1973,"Q007-avg",0.45,0.45,0,0.45,0
1973,"Q007-pp",0.333333333333333,0.3333,3.33333333329966e-05,0.333316666666666,0.000100005000249002
1973,"Q015-avg",0.533,0.533,0,0.533,0
1973,"Q015-pp",0.354166666666667,0.3542,-3.33333333329966e-05,0.354183333333334,9.41132182005456e-05
1974,"Q001-avg",0.566,0.566,0,0.566,0
1974,"Q001-pp",0.583333333333333,0.5833,3.33333333331076e-05,0.583316666666666,5.714448984218e-05
1974,"Q003-avg",0.576,0.576,0,0.576,0
1974,"Q003-pp",0.541666666666667,0.5417,-3.33333333331076e-05,0.541683333333334,6.153656810518e-05
1974,"Q007-avg",0.593,0.593,0,0.593,0
1974,"Q007-pp",0.520833333333333,0.5208,3.33333333331076e-05,0.520816666666666,6.40020480651047e-05
1974,"Q015-avg",0.707,0.707,0,0.707,0
1974,"Q015-pp",0.604166666666667,0.6042,-3.33333333331076e-05,0.604183333333334,5.51708918370929e-05
1975,"Q001-avg",0.538,0.538,0,0.538,0
1975,"Q001-pp",0.5,0.5,0,0.5,0
1975,"Q003-avg",0.557,0.557,0,0.557,0
1975,"Q003-pp",0.5,0.5,0,0.5,0
1975,"Q007-avg",0.603,0.603,0,0.603,0
1975,"Q007-pp",0.5625,0.5625,0,0.5625,0
1975,"Q015-avg",0.627,0.627,0,0.627,0
1975,"Q015-pp",0.520833333333333,0.5208,3.33333333331076e-05,0.520816666666666,6.40020480651047e-05
1976,"Q001-avg",1.08,1.08,0,1.08,0
1976,"Q001-pp",0.958333333333333,0.9583,3.33333333331076e-05,0.958316666666666,3.47832136208709e-05
1976,"Q003-avg",1.093,1.093,0,1.093,0
1976,"Q003-pp",0.958333333333333,0.9583,3.33333333331076e-05,0.958316666666666,3.47832136208709e-05
1976,"Q007-avg",1.094,1.094,0,1.094,0
1976,"Q007-pp",0.958333333333333,0.9583,3.33333333331076e-05,0.958316666666666,3.47832136208709e-05
1976,"Q015-avg",1.099,1.099,0,1.099,0
1976,"Q015-pp",0.958333333333333,0.9583,3.33333333331076e-05,0.958316666666666,3.47832136208709e-05
1977,"Q001-avg",0.558,0.558,0,0.558,0
1977,"Q001-pp",0.541666666666667,0.5417,-3.33333333331076e-05,0.541683333333334,6.153656810518e-05
1977,"Q003-avg",0.562,0.562,0,0.562,0
1977,"Q003-pp",0.520833333333333,0.5208,3.33333333331076e-05,0.520816666666666,6.40020480651047e-05
1977,"Q007-avg",0.573,0.573,0,0.573,0
1977,"Q007-pp",0.5,0.5,0,0.5,0
1977,"Q015-avg",0.607,0.607,0,0.607,0
1977,"Q015-pp",0.5,0.5,0,0.5,0
1978,"Q001-avg",0.75,0.75,0,0.75,0
1978,"Q001-pp",0.854166666666667,0.8542,-3.33333333331076e-05,0.854183333333334,3.90236288069785e-05
1978,"Q003-avg",0.779,0.779,0,0.779,0
1978,"Q003-pp",0.854166666666667,0.8542,-3.33333333331076e-05,0.854183333333334,3.90236288069785e-05
1978,"Q007-avg",0.85,0.85,0,0.85,0
1978,"Q007-pp",0.895833333333333,0.8958,3.33333333331076e-05,0.895816666666666,3.72099946042988e-05
1978,"Q015-avg",0.9,0.9,0,0.9,0
1978,"Q015-pp",0.875,0.875,0,0.875,0
1979,"Q001-avg",0.521,0.521,0,0.521,0
1979,"Q001-pp",0.479166666666667,0.4792,-3.33333333329966e-05,0.479183333333334,6.95627978150254e-05
1979,"Q003-avg",0.526,0.526,0,0.526,0
1979,"Q003-pp",0.458333333333333,0.4583,3.33333333329966e-05,0.458316666666666,7.2729917450809e-05
1979,"Q007-avg",0.539,0.539,0,0.539,0
1979,"Q007-pp",0.479166666666667,0.4792,-3.33333333329966e-05,0.479183333333334,6.95627978150254e-05
1979,"Q015-avg",0.561,0.561,0,0.561,0
1979,"Q015-pp",0.395833333333333,0.3958,3.33333333329966e-05,0.395816666666666,8.42140721706091e-05
1980,"Q001-avg",0.667,0.667,0,0.667,0
1980,"Q001-pp",0.729166666666667,0.7292,-3.33333333331076e-05,0.729183333333334,4.57132408398998e-05
1980,"Q003-avg",0.709,0.709,0,0.709,0
1980,"Q003-pp",0.833333333333333,0.8333,3.33333333331076e-05,0.833316666666666,4.00008000157295e-05
1980,"Q007-avg",0.82,0.82,0,0.82,0
1980,"Q007-pp",0.854166666666667,0.8542,-3.33333333331076e-05,0.854183333333334,3.90236288069785e-05
1980,"Q015-avg",0.829,0.829,0,0.829,0
1980,"Q015-pp",0.770833333333333,0.7708,3.33333333331076e-05,0.770816666666666,4.32441782522099e-05
1981,"Q001-avg",0.686,0.686,0,0.686,0
1981,"Q001-pp",0.8125,0.8125,0,0.8125,0
1981,"Q003-avg",0.701,0.701,0,0.701,0
1981,"Q003-pp",0.8125,0.8125,0,0.8125,0
1981,"Q007-avg",0.734,0.734,0,0.734,0
1981,"Q007-pp",0.770833333333333,0.7708,3.33333333331076e-05,0.770816666666666,4.32441782522099e-05
1981,"Q015-avg",0.804,0.804,0,0.804,0
1981,"Q015-pp",0.75,0.75,0,0.75,0
1982,"Q001-avg",0.667,0.667,0,0.667,0
1982,"Q001-pp",0.75,0.75,0,0.75,0
1982,"Q003-avg",0.691,0.691,0,0.691,0
1982,"Q003-pp",0.770833333333333,0.7708,3.33333333331076e-05,0.770816666666666,4.32441782522099e-05
1982,"Q007-avg",0.736,0.736,0,0.736,0
1982,"Q007-pp",0.791666666666667,0.7917,-3.33333333331076e-05,0.791683333333334,4.2104376749678e-05
1982,"Q015-avg",0.897,0.897,0,0.897,0
1982,"Q015-pp",0.854166666666667,0.8542,-3.33333333331076e-05,0.854183333333334,3.90236288069785e-05
1983,"Q001-avg",0.488,0.488,0,0.488,0
1983,"Q001-pp",0.4375,0.4375,0,0.4375,0
1983,"Q003-avg",0.498,0.498,0,0.498,0
1983,"Q003-pp",0.4375,0.4375,0,0.4375,0
1983,"Q007-avg",0.51,0.51,0,0.51,0
1983,"Q007-pp",0.4375,0.4375,0,0.4375,0
