"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",16.7559999999999,12.034,16.046,29.931,64.746,64.893,33.7,8.6864,5.2555,15.29,40.445,24.62
"P02",11.004,9.88779999999999,10.964,25.424,61.4,58.448,29.628,6.85959999999998,4.1448,9.979,25.6,16.94
"P05",6.29849999999999,5.98649999999999,8.2,21.255,51.43,48.7,23.6,4.303,2.801,6.515,13.525,8.535
"P10",4.25,4.05,6,16.9,43.42,41.01,18.72,3.014,2.02,4.37,8.77,5.83
"P15",3.4095,3.35,4.759,13.7,38.1,36.465,15.3,2.58,1.67,3.5725,6.3675,4.395
"P20",2.642,2.874,3.928,11.82,34.3,32.9,12,2.234,1.48,3.07,5.15,3.23
"P25",2.25,2.5125,3.52,10.3,31.25,30.1,9.75,1.965,1.3075,2.6575,4.4425,2.7
"P30",2.07,2.35,3.16,9.149,28.6,27.2,8.11,1.69,1.17,2.36,3.905,2.35
"P35",1.9,2.1,2.787,7.84,26.5,25.185,6.89,1.537,1.06,2.15,3.3775,2.1
"P40",1.75,1.916,2.398,7.054,24.2,23.24,5.86,1.39,0.997,1.97,3.01,1.9
"P45",1.6285,1.79,2.15,6.3795,22.2,21.6,5.119,1.25,0.92495,1.78,2.71,1.765
"P50",1.525,1.67,1.97,5.6,20.4,19.7,4.57,1.13,0.878,1.605,2.44,1.65
"P55",1.41,1.54,1.83,4.96,18.81,18.1,4.1,1.05,0.81105,1.47,2.25,1.53
"P60",1.3,1.37,1.69,4.466,17.3,16.9,3.65,0.9702,0.765,1.33,2,1.45
"P65",1.1945,1.22,1.59,3.92,16.2,15.115,3.25,0.909,0.712,1.14,1.8425,1.31
"P70",1.091,1.1,1.5,3.477,14.74,13.7,2.83,0.8294,0.668,0.9935,1.64,1.2
"P75",0.99775,0.99075,1.375,3.13,13.2,12.4,2.525,0.749,0.625,0.842,1.46,1.08
"P80",0.8826,0.9,1.23,2.83,11.7,10.7,2.176,0.6966,0.5864,0.759,1.28,0.98
"P85",0.75,0.81,1.057,2.47,10.4,9.054,1.91,0.6207,0.525,0.655,1.15,0.8725
"P90",0.665,0.7,0.9668,2.1,9.298,7.727,1.6,0.5726,0.473,0.5805,0.9635,0.78
"P95",0.538,0.566,0.85,1.5945,7.73,5.3545,1.279,0.4969,0.4309,0.4705,0.70225,0.637
"P99",0.306,0.40966,0.69508,1.1069,5.13,3.2314,0.87606,0.42,0.34121,0.3571,0.47955,0.3278
