"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",16.7559999999999,11.004,6.29849999999999,4.25,3.4095,2.642,2.25,2.07,1.9,1.75,1.6285,1.525,1.41,1.3,1.1945,1.091,0.99775,0.8826,0.75,0.665,0.538,0.306
"Feb",12.034,9.88779999999999,5.98649999999999,4.05,3.35,2.874,2.5125,2.35,2.1,1.916,1.79,1.67,1.54,1.37,1.22,1.1,0.99075,0.9,0.81,0.7,0.566,0.40966
"Mar",16.046,10.964,8.2,6,4.759,3.928,3.52,3.16,2.787,2.398,2.15,1.97,1.83,1.69,1.59,1.5,1.375,1.23,1.057,0.9668,0.85,0.69508
"Apr",29.931,25.424,21.255,16.9,13.7,11.82,10.3,9.149,7.84,7.054,6.3795,5.6,4.96,4.466,3.92,3.477,3.13,2.83,2.47,2.1,1.5945,1.1069
"May",64.746,61.4,51.43,43.42,38.1,34.3,31.25,28.6,26.5,24.2,22.2,20.4,18.81,17.3,16.2,14.74,13.2,11.7,10.4,9.298,7.73,5.13
"Jun",64.893,58.448,48.7,41.01,36.465,32.9,30.1,27.2,25.185,23.24,21.6,19.7,18.1,16.9,15.115,13.7,12.4,10.7,9.054,7.727,5.3545,3.2314
"Jul",33.7,29.628,23.6,18.72,15.3,12,9.75,8.11,6.89,5.86,5.119,4.57,4.1,3.65,3.25,2.83,2.525,2.176,1.91,1.6,1.279,0.87606
"Aug",8.6864,6.85959999999998,4.303,3.014,2.58,2.234,1.965,1.69,1.537,1.39,1.25,1.13,1.05,0.9702,0.909,0.8294,0.749,0.6966,0.6207,0.5726,0.4969,0.42
"Sep",5.2555,4.1448,2.801,2.02,1.67,1.48,1.3075,1.17,1.06,0.997,0.92495,0.878,0.81105,0.765,0.712,0.668,0.625,0.5864,0.525,0.473,0.4309,0.34121
"Oct",15.29,9.979,6.515,4.37,3.5725,3.07,2.6575,2.36,2.15,1.97,1.78,1.605,1.47,1.33,1.14,0.9935,0.842,0.759,0.655,0.5805,0.4705,0.3571
"Nov",40.445,25.6,13.525,8.77,6.3675,5.15,4.4425,3.905,3.3775,3.01,2.71,2.44,2.25,2,1.8425,1.64,1.46,1.28,1.15,0.9635,0.70225,0.47955
"Dec",24.62,16.94,8.535,5.83,4.395,3.23,2.7,2.35,2.1,1.9,1.765,1.65,1.53,1.45,1.31,1.2,1.08,0.98,0.8725,0.78,0.637,0.3278
