"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1966,365,310,55,0.561,41.6,6.76293870967742,8.67217151184518
1967,365,334,31,0.566,64.8,8.82325149700599,13.3698305705835
1968,366,366,0,0.85,58.9,9.06400273224044,10.2669540412395
1969,365,365,0,0.648,57.2,6.34681095890411,11.4586534786525
1970,365,365,0,0.394,64.3,4.8086301369863,9.97637255684877
1971,365,365,0,0.292,64.3,8.86889589041096,13.0930740885413
1972,366,366,0,0.292,91.2,10.9826693989071,17.7236688784326
1973,365,365,0,0.43,47.3,4.06678630136986,6.70510856156254
1974,365,365,0,0.566,84.7,8.95718630136986,14.3698172278912
1975,365,365,0,0.538,68.2,8.28334794520548,12.3365991320576
1976,366,366,0,1.08,52.7,8.35718579234973,10.4368545885421
1977,365,365,0,0.558,31.4,4.19904383561644,5.16186356673534
1978,365,365,0,0.75,55.8,6.4051698630137,9.12402720803951
1979,365,365,0,0.521,39.5,4.38878356164384,6.96058748821159
1980,366,366,0,0.667,92.6,6.76449180327869,10.0531401210991
1981,365,365,0,0.686,39.3,6.19691232876712,6.96547811703447
1982,365,365,0,0.667,52.2,7.0244301369863,11.6492012233199
1983,365,365,0,0.488,51.3,6.24311232876712,8.58456200768107
1984,366,366,0,0.54,96.2,5.75951912568306,8.96783527938952
1985,365,365,0,0.352,55.9,5.61854520547945,9.93556674007275
1986,365,365,0,0.4,65.6,6.62931780821918,10.5853789694178
1987,365,365,0,0.437,61.3,5.64812876712329,9.27533128565488
1988,366,366,0,0.22,54.3,5.54724590163934,7.75256042333428
1989,365,365,0,0.603,53.9,7.31542739726027,10.1760922041616
1990,365,365,0,0.6,101,8.75417260273973,10.9750338606359
1991,365,365,0,0.669,62.3,9.60367671232877,11.5152529346057
1992,366,366,0,0.451,46.5,5.24487158469945,6.45092750365689
1993,365,365,0,0.3,64.5,4.51647945205479,8.7038703019852
1994,365,365,0,0.12,43.2,4.96975068493151,7.29532990131289
1995,365,365,0,0.5,104,9.35772876712329,12.9276522906388
1996,366,366,0,0.691,49.6,7.56022950819672,8.91645050096858
1997,365,365,0,0.57,76.7,9.28374246575343,13.6175130152025
1998,365,365,0,0.415,60,5.97926301369863,10.3385216845999
1999,365,365,0,1.15,76.9,10.5645753424658,14.3671487741598
2000,366,366,0,0.78,39.6,5.75828961748634,7.37232589742272
2001,365,365,0,0.43,45.8,4.07102191780822,6.4036877686205
2002,365,365,0,0.57,63.9,8.49179178082192,13.2369845498516
2003,365,365,0,0.365,69,5.88664657534247,9.08286286368852
2004,366,366,0,0.466,48.8,5.89290163934426,7.25036074765391
2005,365,365,0,0.404,36,4.32235342465753,4.95921355300498
2006,365,365,0,0.322,83.7,6.77263287671233,11.6807342974441
2007,365,365,0,0.616,65.8,9.08880547945206,11.146162673984
2008,366,366,0,0.67,75.5,6.0672131147541,11.0945645293956
2009,365,365,0,0.378,35.7,4.05980821917808,6.1392732134588
2010,365,365,0,0.836,47.6,6.6898602739726,8.85758560638163
2011,365,365,0,0.816,58.6,8.0871397260274,11.6511426817657
2012,366,366,0,0.454,53.2,8.3748306010929,11.2428608022069
2013,365,365,0,0.562,90.2,6.77349589041096,11.6021213479539
2014,365,365,0,0.13,55.3,7.17388219178082,10.4174333717459
