"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,2.38970833333333,2.389708,3.33333329827212e-07,2.38970816666667,1.39487044684694e-07,"mean"
2,2.2542637283237,2.254264,-2.71676300123147e-07,2.25426386416185,1.20516637134738e-07,"mean"
3,3.01078999341672,3.01079,-6.58328014324638e-09,3.01078999670836,2.18656238078503e-09,"mean"
4,7.76771428571429,7.767714,2.8571429044888e-07,7.76771414285714,3.67822869372208e-08,"mean"
5,23.8599868334431,23.85999,-3.16655690113521e-06,23.8599884167215,1.32714100519681e-07,"mean"
6,22.5083469387755,22.50835,-3.06122450055568e-06,22.5083484693877,1.36003958918579e-07,"mean"
7,7.54085121790652,7.540851,2.17906520383337e-07,7.54085110895326,2.8896807168705e-08,"mean"
8,1.63423436471363,1.634234,3.64713629963376e-07,1.63423418235681,2.23170971394934e-07,"mean"
9,1.15180340136054,1.151803,4.01360540136508e-07,1.15180320068027,3.48462775497984e-07,"mean"
10,2.4235630810093,2.423563,8.10092997127754e-08,2.42356304050465,3.34257035442771e-08,"mean"
11,4.5088282967033,4.508828,2.9670330015108e-07,4.50882814835165,6.58049698034177e-08,"mean"
12,2.94117505030181,2.941175,5.03018102726571e-08,2.9411750251509,1.71026238977656e-08,"mean"
13,6.86252568637359,6.862526,-3.13626410175516e-07,6.86252584318679,4.57013084310478e-08,"mean"
1,1.525,1.525,0,1.525,0,"median"
2,1.67,1.67,0,1.67,0,"median"
3,1.97,1.97,0,1.97,0,"median"
4,5.6,5.6,0,5.6,0,"median"
5,20.4,20.4,0,20.4,0,"median"
6,19.7,19.7,0,19.7,0,"median"
7,4.57,4.57,0,4.57,0,"median"
8,1.13,1.13,0,1.13,0,"median"
9,0.878,0.878,0,0.878,0,"median"
10,1.605,1.605,0,1.605,0,"median"
11,2.44,2.44,0,2.44,0,"median"
12,1.65,1.65,0,1.65,0,"median"
13,2.33,2.33,0,2.33,0,"median"
1,96.2,96.2,0,96.2,0,"max"
2,32,32,0,32,0,"max"
3,65.8,65.8,0,65.8,0,"max"
4,46.5,46.5,0,46.5,0,"max"
5,91.2,91.2,0,91.2,0,"max"
6,84.7,84.7,0,84.7,0,"max"
7,42.1,42.1,0,42.1,0,"max"
8,12,12,0,12,0,"max"
9,15.3,15.3,0,15.3,0,"max"
10,69,69,0,69,0,"max"
11,104,104,0,104,0,"max"
12,92.6,92.6,0,92.6,0,"max"
13,104,NA,NA,NA,NA,"max"
1,0.22,0.22,0,0.22,0,"min"
2,0.245,0.245,0,0.245,0,"min"
3,0.352,0.352,0,0.352,0,"min"
4,0.717,0.717,0,0.717,0,"min"
5,2.61,2.61,0,2.61,0,"min"
6,2.26,2.26,0,2.26,0,"min"
7,0.698,0.698,0,0.698,0,"min"
8,0.373,0.373,0,0.373,0,"min"
9,0.242,0.242,0,0.242,0,"min"
10,0.284,0.284,0,0.284,0,"min"
11,0.13,0.13,0,0.13,0,"min"
12,0.12,0.12,0,0.12,0,"min"
13,0.12,NA,NA,NA,NA,"min"
