"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","WY_MIN_01Day_SW","WY_MINDOY_01Day_SW","WY_MIN_03Day_SW","WY_MINDOY_03Day_SW","WY_MIN_07Day_SW","WY_MINDOY_07Day_SW","WY_MIN_30Day_SW","WY_MINDOY_30Day_SW","WY_MIN_DAILY_SW","WY_MAX_DAILY_SW","WY_MEAN_DAILY_SW","WY_TOTALQ_DAILY_SW","WY_YIELDMM_DAILY_SW","WY_CUMQ_DAILY_SW","WY_Date_25P_CUMQ_DAILY_SW","WY_Date_50P_CUMQ_DAILY_SW","WY_Date_75P_CUMQ_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1964,3.94,84,4.597,84,5.076,84,5.556,89,3.94,314,56.618,1790412768,1556.881,20722.37,164,192,230,56288736,672632640,829267200,232224192,48.947,584.898,721.102,201.934,7.93,5.32,3.94,11,21.5,115,101,47,29.2,27,16.4,9.77,11.6,7.79,8.55,21.1,147,212,314,141,126,75,46.7,19.2,9.116,6.67,5.66,14.447,69.958,172.767,172.968,88.026,50.24,48.558,26.07,12.915,9.06,6.68,5.66,14,59.7,171.5,151,89.8,43.75,52.1,23.25,12.5,8.33,6.296,5.32,12.16,42.8,158,129,67.1,35.52,33.1,19.72,10.1,7.99,6,5.1,11.48,31.1,151.8,113,59.7,30.57,28.9,18.64,9.85,3.94,176,4.597,176,5.076,176,5.556,181,3.94,314,58.199,1840384275.14,1600.334,21300.744,253,283,320,148797140.87,1501899840,129.389,1306,87,117,204
1965,7.36,37,7.4,89,7.54,91,8.195,61,7.36,219,50.758,1600690464,1391.905,18526.51,155,187,227,70140384,653961600,667733760,208854720,60.992,568.662,580.638,181.613,8.64,7.36,7.36,7.7,32.8,91.2,88.9,43,21.2,21.5,17,11.8,11,8.78,10.3,79.3,201,219,191,167,53.2,76.5,52.4,19.3,10.212,8.206,8.564,30.517,76.735,142.49,126.377,94.381,29.497,35.629,28.203,15.055,10.5,8.21,8.55,28.1,64.8,141,121,88.9,26.8,32.3,23.6,15,9.34,7.846,7.7,12.2,43,118,103,83.5,23.44,28.3,19.4,13.3,9.34,7.605,7.36,10.165,36.2,96.18,91.7,68.8,22.25,22.7,18.48,12.9,7.36,129,7.4,181,7.54,183,8.195,153,7.36,219,51.499,1624059936,1412.226,18796.99,219,260,297,302364576,1321695360,262.926,1149.3,67,124,191
1966,5.66,62,5.66,64,5.864,68,7.067,82,5.66,214,57.62,1817096544,1580.084,21031.21,154,187,221,79514784,752492160,824091840,160997760,69.143,654.341,716.602,139.998,9.2,6.91,5.66,14.2,24.7,117,115,55.5,39.4,19,14.4,10.1,21.1,9.91,13,36.8,193,210,214,157,65.7,61.2,25.6,14.6,14.346,8.408,7.747,24.973,100.265,161.733,162,95.213,52.15,29.971,17.987,12.732,13.5,8.55,7.65,24.85,85,168.5,159,84.7,51.95,27.3,17.15,12.6,10.8,7.706,6.23,20.14,62,129.6,131,71.4,46.36,21,15.8,11.8,9.85,7.36,5.8,18.08,56.1,123.7,127,66,44.89,20.1,15.59,11.3,5.66,154,5.66,156,5.864,160,7.067,174,5.66,214,59.137,1864953504,1621.699,21585.11,225,265,298,288369504,1576584000,250.756,1370.943,35,130,165
1967,6.46,72,6.833,73,7.207,75,7.561,82,6.46,334,59.815,1886338368,1640.294,21832.62,159,183,220,68956704,851330304,821309760,144741600,59.962,740.287,714.182,125.862,8.13,7.62,6.46,7.99,23.6,158,110,54.4,36.8,17.7,10.3,7.67,12.5,9.51,9.29,22.7,153,334,221,113,104,66.3,51.3,11.8,10.451,8.424,7.686,14.662,78.113,233.067,160.774,90.332,57.387,25.71,19.197,9.753,10.8,8.27,7.62,13.9,63.1,235,150,96.3,54.5,23.8,18.2,9.91,9.51,7.99,7.25,11.88,37.9,205.8,129,69.7,42.96,18.8,14.16,8.21,9.15,7.795,7.02,9.349,31.1,183.6,127,58.3,41.26,18.6,10.57,7.79,6.46,164,6.833,165,7.207,167,7.561,174,6.46,334,60.331,1902594528,1654.43,22020.77,243,267,297,229954464,1672640064,199.96,1454.47,59,117,176
1968,6.17,366,6.68,366,8.6,53,9.263,9,6.17,326,59.81,1891335744,1644.64,21890.46,157,188,228,82280448,781125120,835341120,192589056,71.548,679.239,726.384,167.469,9.06,8.5,10.8,11.5,41.1,118,110,53.5,48.7,27.6,18.4,6.17,10.5,10.8,14.4,48.4,177,326,275,168,90.9,48.1,35.7,17.1,9.64,9.609,12.09,15.06,97.871,185.167,164.032,86.4,63.497,35.026,24.973,12.711,9.49,9.77,11.8,12.65,94.9,170,147,77,62.4,34.5,24.7,13.3,9.34,8.64,11.3,11.9,52.7,136.8,116,69.4,52.1,29.7,21.16,11.8,9.2,8.64,11,11.9,45.3,124.9,114,57.8,50.91,28.9,20.7,8.5,7.67,76,7.75,77,8.196,79,9.263,101,7.67,326,58.297,1843488288,1603.033,21336.67,238,270,300,227022048,1616466240,197.41,1405.623,24,176,200
1969,4.42,22,4.587,23,4.879,25,5.672,38,4.42,245,54.293,1712182752,1488.855,19816.93,148,174,220,51419232,898274880,582940800,179547840,44.712,781.109,506.905,156.129,4.42,5.8,6.23,12.6,49.3,117,69.1,37.4,29.7,23.2,13.5,9,6.74,7.87,10.5,91.2,207,245,150,102,72.5,64.6,32.3,14.9,5.772,7.06,7.05,38.467,116.797,187.4,106.023,65.148,48.023,34.503,21.063,12.148,5.97,7.15,6.82,39.9,114,187,97.1,66.8,46.3,31.1,21.4,12.4,5.13,6.408,6.34,18.4,64,156,80.1,55.2,36.04,25.5,18.22,9.97,4.93,6.146,6.29,13.44,54.4,144.8,76.5,51.3,32.96,24.4,15.93,9.4,4.42,114,4.587,115,4.879,117,5.672,130,4.42,245,54.706,1725223968,1500.195,19967.87,225,255,287,244008288,1481215680,212.181,1288.014,97,81,178
1970,6.51,335,6.53,336,6.634,336,7.871,42,6.51,242,43.738,1379333664,1199.421,15964.51,155,178,215,62694432,673986528,541961280,100691424,54.517,586.075,471.271,87.558,6.65,6.94,7.59,8.64,16,103,67.4,47,15.4,13.5,6.57,6.51,9.06,9.15,9.29,16.2,155,242,160,97.1,67.7,36,13.4,11,8.06,7.877,8.233,11.636,76.216,169.633,104.91,68.397,30.007,18.748,10.17,9.003,7.93,7.93,8.24,10.95,71.6,173,104,66.5,25.85,16.6,11.1,9.06,7.08,7.08,7.82,9.728,54.4,127.4,86.4,56.4,19.48,15.5,7.248,7.7,6.8,6.94,7.73,8.996,48.4,114.3,79.6,52.7,17.18,13.6,6.734,7.36,6.65,109,6.73,109,6.87,111,7.871,134,6.65,242,46.239,1458190080,1267.991,16877.2,231,260,292,242242272,1215947808,210.645,1057.346,154,17,171
1971,7.11,76,7.14,86,7.149,89,7.396,96,7.11,254,52.976,1670647680,1452.737,19336.2,150,182,219,77351328,757723680,702838080,132734592,67.262,658.89,611.164,115.421,9.34,9.34,7.11,7.19,50.7,96.6,77,59.5,19,16.4,12.9,7.65,13.6,13.9,9.63,63.1,190,254,186,156,90.9,56.1,16.4,12.6,10.805,11.402,7.776,21.872,112.823,153.877,126.806,98.487,38.353,25.884,14.647,9.499,10.2,11.45,7.22,10.5,110,142.5,126,84.7,26.55,21.3,14.55,9.06,9.63,9.91,7.16,8.996,77.6,109.6,92,75.6,21.98,18.8,13.66,8.21,9.34,9.63,7.14,7.247,68.5,99.67,83.5,70.2,20.37,17.5,13.37,7.93,6.51,62,6.53,63,6.634,63,7.396,188,6.51,254,51.96,1638604512,1424.873,18965.33,233,265,301,178042752,1460561760,154.82,1270.054,91,118,209
1972,5.95,344,6.137,345,6.453,348,8.025,63,5.95,360,62.809,1986156288,1727.092,22987.92,155,181,215,77931936,936014400,848888640,123321312,67.767,813.926,738.164,107.236,7.93,7.65,8.07,12.9,21.2,158,136,65.7,21.1,15.1,9.2,5.95,9.2,9.34,19.5,21.9,343,360,246,165,62.9,47.3,15.7,12.9,8.609,8.087,12.922,14.88,116.906,225.433,170.387,106.935,40.937,25.145,12.077,9.211,8.5,7.93,13,14.15,121,203.5,159,97.7,34.15,22.7,11.65,8.78,8.35,7.734,9.91,13.2,45,167.8,143,84.4,27.8,19.2,9.74,6.8,8.21,7.65,9.06,13.1,32,166,139,81.6,22.38,17.4,9.624,6.51,7.65,87,7.65,139,7.73,151,8.025,155,7.65,360,63.106,1995569568,1735.278,23096.87,242,265,297,210666528,1784903040,183.188,1552.09,78,124,202
1973,3.99,39,4.16,40,4.479,44,5.805,56,3.99,241,43.72,1378748736,1198.912,15957.74,155,185,221,51871104,606869280,572849280,147159072,45.105,527.712,498.13,127.964,5.41,3.99,6.88,8.21,22.9,79.6,84.4,31.1,23.2,16.9,15.5,7.28,7.79,7.14,8.1,25.5,176,241,167,116,61.4,44.2,25.8,15.3,6.752,5.868,7.315,16.008,84.652,130.65,112.826,67.219,34.96,25.097,19.19,11.275,6.8,6.325,7.11,16,81,113.5,111,68,30.15,21.2,19.45,10.3,5.97,4.76,6.99,10.2,37.1,87.46,94.6,37.7,26.6,18.3,16.84,8.95,5.78,4.512,6.97,8.886,29.7,82.32,91.2,35.1,25.69,17.5,15.9,8.27,3.99,131,4.16,132,4.479,136,5.805,148,3.99,241,42.964,1354910976,1178.183,15681.84,232,267,296,175192416,1179718560,152.341,1025.842,158,19,177
