"Year","Measure","value","prob","dist.prob"
2010,"Q001-avg",3,0.0192307692307692,-3.94155038652261
1988,"Q001-avg",3.18,0.0384615384615385,-3.23855027497076
1964,"Q001-avg",3.94,0.0576923076923077,-2.82306684630284
1973,"Q001-avg",3.99,0.0769230769230769,-2.52519494083409
1993,"Q001-avg",4,0.0961538461538462,-2.29168356248297
2006,"Q001-avg",4.1,0.115384615384615,-2.09880931526516
2009,"Q001-avg",4.2,0.134615384615385,-1.93391379226843
1969,"Q001-avg",4.42,0.153846153846154,-1.78943765873832
1982,"Q001-avg",4.5,0.173076923076923,-1.6605017442667
1989,"Q001-avg",4.5,0.192307692307692,-1.54377143253411
1997,"Q001-avg",4.5,0.211538461538462,-1.43686517181588
2004,"Q001-avg",4.5,0.230769230769231,-1.33802141842932
2008,"Q001-avg",4.79,0.25,-1.24589932370724
1991,"Q001-avg",4.9,0.269230769230769,-1.15945346508035
1995,"Q001-avg",5,0.288461538461538,-1.07785186744653
2014,"Q001-avg",5.16,0.307692307692308,-1.00042050070928
2007,"Q001-avg",5.19,0.326923076923077,-0.926604594639708
1994,"Q001-avg",5.2,0.346153846153846,-0.855940985561316
1998,"Q001-avg",5.2,0.365384615384615,-0.788037902696056
2003,"Q001-avg",5.2,0.384615384615385,-0.722559892962826
1985,"Q001-avg",5.25,0.403846153846154,-0.659216368726203
1992,"Q001-avg",5.3,0.423076923076923,-0.597752755360232
2013,"Q001-avg",5.35,0.442307692307692,-0.537943531993266
1986,"Q001-avg",5.5,0.461538461538462,-0.479586666774898
2005,"Q001-avg",5.5,0.480769230769231,-0.422499087207391
1975,"Q001-avg",5.52,0.5,-0.366512920581664
1978,"Q001-avg",5.61,0.519230769230769,-0.311472304235464
1966,"Q001-avg",5.66,0.538461538461538,-0.257230609548425
2002,"Q001-avg",5.8,0.557692307692308,-0.20364795319044
2011,"Q001-avg",5.86,0.576923076923077,-0.150588887785976
1972,"Q001-avg",5.95,0.596153846153846,-0.0979201739338873
1996,"Q001-avg",6.1,0.615384615384615,-0.0455085373228533
2000,"Q001-avg",6.1,0.634615384615385,0.00678169167257926
1968,"Q001-avg",6.17,0.653846153846154,0.0590911743904508
1999,"Q001-avg",6.21,0.673076923076923,0.111568542991049
1980,"Q001-avg",6.23,0.692307692307692,0.164373954764417
1990,"Q001-avg",6.3,0.711538461538462,0.217683486234782
2001,"Q001-avg",6.3,0.730769230769231,0.271694745192454
1976,"Q001-avg",6.37,0.75,0.326634259978281
1987,"Q001-avg",6.4,0.769230769230769,0.382767501178811
1967,"Q001-avg",6.46,0.788461538461538,0.440412888467004
1983,"Q001-avg",6.5,0.807692307692308,0.499962003096565
1970,"Q001-avg",6.51,0.826923076923077,0.561909806801055
1984,"Q001-avg",6.6,0.846153846153846,0.626901697739377
1979,"Q001-avg",6.74,0.865384615384615,0.695810415761727
1971,"Q001-avg",7.11,0.884615384615385,0.769869419737643
1974,"Q001-avg",7.11,0.903846153846154,0.850922343781761
1977,"Q001-avg",7.22,0.923076923076923,0.941938734748111
2012,"Q001-avg",7.3,0.942307692307692,1.04824187703475
1965,"Q001-avg",7.36,0.961538461538462,1.18114314080946
1981,"Q001-avg",7.8,0.980769230769231,1.37403039481696
2010,"Q003-avg",3.3,0.0192307692307692,-3.94155038652261
1988,"Q003-avg",3.62666666666667,0.0384615384615385,-3.23855027497076
1973,"Q003-avg",4.16,0.0576923076923077,-2.82306684630284
1993,"Q003-avg",4.3,0.0769230769230769,-2.52519494083409
2006,"Q003-avg",4.31666666666667,0.0961538461538462,-2.29168356248297
