"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
"PIII",0.01,100,2.992,3.321,3.959,4.384
"PIII",0.05,20,3.709,3.98,4.472,4.899
"PIII",0.1,10,4.113,4.351,4.77,5.196
"PIII",0.2,5,4.615,4.815,5.155,5.58
"PIII",0.5,2,5.588,5.732,5.974,6.39
"PIII",0.8,1.25,6.526,6.659,6.912,7.312
"PIII",0.9,1.111,6.983,7.135,7.455,7.843
"PIII",0.95,1.053,7.337,7.52,7.933,8.31
"PIII",0.975,1.026,7.625,7.844,8.37,8.736
"PIII",0.98,1.02,7.706,7.939,8.504,8.867
"PIII",0.99,1.01,7.934,8.209,8.906,9.258
