"Measure","distr","prob","quantile","Return"
"Q001-avg","PIII",0.975,7.625,1.02564102564103
"Q001-avg","PIII",0.99,7.934,1.01010101010101
"Q001-avg","PIII",0.98,7.706,1.02040816326531
"Q001-avg","PIII",0.95,7.337,1.05263157894737
"Q001-avg","PIII",0.9,6.983,1.11111111111111
"Q001-avg","PIII",0.8,6.526,1.25
"Q001-avg","PIII",0.5,5.588,2
"Q001-avg","PIII",0.2,4.615,5
"Q001-avg","PIII",0.1,4.113,10
"Q001-avg","PIII",0.05,3.709,20
"Q001-avg","PIII",0.01,2.992,100
"Q003-avg","PIII",0.975,7.844,1.02564102564103
"Q003-avg","PIII",0.99,8.209,1.01010101010101
"Q003-avg","PIII",0.98,7.939,1.02040816326531
"Q003-avg","PIII",0.95,7.52,1.05263157894737
"Q003-avg","PIII",0.9,7.135,1.11111111111111
"Q003-avg","PIII",0.8,6.659,1.25
"Q003-avg","PIII",0.5,5.732,2
"Q003-avg","PIII",0.2,4.815,5
"Q003-avg","PIII",0.1,4.351,10
"Q003-avg","PIII",0.05,3.98,20
"Q003-avg","PIII",0.01,3.321,100
"Q007-avg","PIII",0.975,8.37,1.02564102564103
"Q007-avg","PIII",0.99,8.906,1.01010101010101
"Q007-avg","PIII",0.98,8.504,1.02040816326531
"Q007-avg","PIII",0.95,7.933,1.05263157894737
"Q007-avg","PIII",0.9,7.455,1.11111111111111
"Q007-avg","PIII",0.8,6.912,1.25
"Q007-avg","PIII",0.5,5.974,2
"Q007-avg","PIII",0.2,5.155,5
"Q007-avg","PIII",0.1,4.77,10
"Q007-avg","PIII",0.05,4.472,20
"Q007-avg","PIII",0.01,3.959,100
"Q015-avg","PIII",0.975,8.736,1.02564102564103
"Q015-avg","PIII",0.99,9.258,1.01010101010101
"Q015-avg","PIII",0.98,8.867,1.02040816326531
"Q015-avg","PIII",0.95,8.31,1.05263157894737
"Q015-avg","PIII",0.9,7.843,1.11111111111111
"Q015-avg","PIII",0.8,7.312,1.25
"Q015-avg","PIII",0.5,6.39,2
"Q015-avg","PIII",0.2,5.58,5
"Q015-avg","PIII",0.1,5.196,10
"Q015-avg","PIII",0.05,4.899,20
"Q015-avg","PIII",0.01,4.384,100
