"Year","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
1964,3.94,4.597,5.076,5.328
1965,7.36,7.4,7.54,7.956
1966,5.66,5.66,5.864,6.437
1967,6.46,6.833,7.207,7.264
1968,6.17,6.68,8.6,8.912
1969,4.42,4.587,4.879,5.168
1970,6.51,6.53,6.634,7.084
1971,7.11,7.14,7.149,7.162
1972,5.95,6.137,6.453,7.213
1973,3.99,4.16,4.479,5.091
1974,7.11,7.11,7.136,7.154
1975,5.52,5.567,5.774,6.085
1976,6.37,6.567,6.826,6.929
1977,7.22,7.24,7.351,7.539
1978,5.61,5.68,5.784,6.095
1979,6.74,7.06,7.224,7.407
1980,6.23,6.307,6.406,6.616
1981,7.8,8.133,8.6,9.187
1982,4.5,4.6,4.714,5.007
1983,6.5,6.543,6.694,7.323
1984,6.6,6.767,6.886,7.26
1985,5.25,5.283,5.417,5.788
1986,5.5,5.55,5.593,5.709
1987,6.4,6.533,6.613,6.975
1988,3.18,3.627,4.319,5.352
1989,4.5,4.567,5.036,5.417
1990,6.3,6.65,7.207,7.623
1991,4.9,5.167,5.679,7.009
1992,5.3,5.5,5.899,6.48
1993,4,4.3,4.929,5.24
1994,5.2,5.867,6.4,6.727
1995,5,5.217,5.464,5.931
1996,6.1,6.267,6.8,7.86
1997,4.5,4.633,5.343,6.527
1998,5.2,5.4,5.829,6.427
1999,6.21,6.467,6.524,6.577
2000,6.1,6.27,6.43,7.064
2001,6.3,6.367,6.5,6.563
2002,5.8,5.85,6.021,6.283
2003,5.2,5.333,5.571,5.883
2004,4.5,4.547,4.589,4.765
2005,5.5,5.733,6.057,6.593
2006,4.1,4.317,4.636,5.453
2007,5.19,5.203,5.257,5.405
2008,4.79,4.833,4.957,5.179
2009,4.2,4.367,4.786,4.873
2010,3,3.3,4.257,4.961
2011,5.86,5.917,6.224,7.067
2012,7.3,7.43,7.713,7.811
2013,5.35,5.543,6.323,6.745
2014,5.16,5.217,5.241,5.328
