"Year","Measure","value"
1964,"Q001-avg",3.94
1964,"Q003-avg",4.59666666666667
1964,"Q007-avg",5.07571428571429
1964,"Q015-avg",5.328
1965,"Q001-avg",7.36
1965,"Q003-avg",7.4
1965,"Q007-avg",7.54
1965,"Q015-avg",7.956
1966,"Q001-avg",5.66
1966,"Q003-avg",5.66
1966,"Q007-avg",5.86428571428571
1966,"Q015-avg",6.43666666666667
1967,"Q001-avg",6.46
1967,"Q003-avg",6.83333333333333
1967,"Q007-avg",7.20714285714286
1967,"Q015-avg",7.264
1968,"Q001-avg",6.17
1968,"Q003-avg",6.68
1968,"Q007-avg",8.6
1968,"Q015-avg",8.912
1969,"Q001-avg",4.42
1969,"Q003-avg",4.58666666666667
1969,"Q007-avg",4.87857142857143
1969,"Q015-avg",5.168
1970,"Q001-avg",6.51
1970,"Q003-avg",6.53
1970,"Q007-avg",6.63428571428571
1970,"Q015-avg",7.084
1971,"Q001-avg",7.11
1971,"Q003-avg",7.14
1971,"Q007-avg",7.14857142857143
1971,"Q015-avg",7.162
1972,"Q001-avg",5.95
1972,"Q003-avg",6.13666666666667
1972,"Q007-avg",6.45285714285714
1972,"Q015-avg",7.21266666666667
1973,"Q001-avg",3.99
1973,"Q003-avg",4.16
1973,"Q007-avg",4.47857142857143
1973,"Q015-avg",5.09133333333333
1974,"Q001-avg",7.11
1974,"Q003-avg",7.11
1974,"Q007-avg",7.13571428571429
1974,"Q015-avg",7.154
1975,"Q001-avg",5.52
1975,"Q003-avg",5.56666666666667
1975,"Q007-avg",5.77428571428571
1975,"Q015-avg",6.08533333333333
1976,"Q001-avg",6.37
1976,"Q003-avg",6.56666666666667
1976,"Q007-avg",6.82571428571429
1976,"Q015-avg",6.92933333333333
1977,"Q001-avg",7.22
1977,"Q003-avg",7.24
1977,"Q007-avg",7.35142857142857
1977,"Q015-avg",7.53933333333333
1978,"Q001-avg",5.61
1978,"Q003-avg",5.68
1978,"Q007-avg",5.78428571428571
1978,"Q015-avg",6.09533333333333
1979,"Q001-avg",6.74
1979,"Q003-avg",7.06
1979,"Q007-avg",7.22428571428571
1979,"Q015-avg",7.40666666666667
1980,"Q001-avg",6.23
1980,"Q003-avg",6.30666666666667
1980,"Q007-avg",6.40571428571429
1980,"Q015-avg",6.616
1981,"Q001-avg",7.8
1981,"Q003-avg",8.13333333333333
1981,"Q007-avg",8.6
1981,"Q015-avg",9.18666666666667
1982,"Q001-avg",4.5
1982,"Q003-avg",4.6
1982,"Q007-avg",4.71428571428571
1982,"Q015-avg",5.00666666666667
