"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,9.02332068311195,9.023321,-3.16888050022612e-07,9.02332084155598,3.51187833821908e-08,"mean"
2,7.94393476752255,7.943935,-2.32477449735313e-07,7.94393488376127,2.92647728282033e-08,"mean"
3,9.57728652751423,9.577287,-4.72485769620334e-07,9.57728676375712,4.93339900198395e-08,"mean"
4,27.6635163398693,27.66352,-3.66013069807991e-06,27.6635181699346,1.32308937554364e-07,"mean"
5,97.2018342820999,97.20183,4.28209989422612e-06,97.2018321410499,4.40536952843888e-08,"mean"
6,160.974248366013,160.9742,4.83660130043972e-05,160.974224183006,3.00458121477954e-07,"mean"
7,135.93889943074,135.9389,-5.69259981375581e-07,135.93889971537,4.18761651423913e-09,"mean"
8,80.3129664769133,80.31297,-3.52308670414914e-06,80.3129682384566,4.38669716911566e-08,"mean"
9,44.0116993464052,44.0117,-6.53594796062862e-07,44.0116996732026,1.48504784163293e-08,"mean"
10,28.0946869070209,28.09469,-3.09297909950601e-06,28.0946884535105,1.10091240364673e-07,"mean"
11,20.2674052287582,20.26741,-4.77124180164878e-06,20.2674076143791,2.35414508477332e-07,"mean"
12,11.6338013915244,11.6338,1.39152439970758e-06,11.6338006957622,1.19610472630364e-07,"mean"
13,52.9417339488941,52.94173,3.94889409705002e-06,52.9417319744471,7.45894391773204e-08,"mean"
1,8.35,8.35,0,8.35,0,"median"
2,7.7,7.7,0,7.7,0,"median"
3,8.44,8.44,0,8.44,0,"median"
4,20.6,20.6,0,20.6,0,"median"
5,86.4,86.4,0,86.4,0,"median"
6,157,157,0,157,0,"median"
7,126,126,0,126,0,"median"
8,74.9,74.9,0,74.9,0,"median"
9,40.35,40.35,0,40.35,0,"median"
10,24.5,24.5,0,24.5,0,"median"
11,18.05,18.05,0,18.05,0,"median"
12,10.8,10.8,0,10.8,0,"median"
13,25,25,0,25,0,"median"
1,131,131,0,131,0,"max"
2,21.3,21.3,0,21.3,0,"max"
3,26.8,26.8,0,26.8,0,"max"
4,189,189,0,189,0,"max"
5,343,343,0,343,0,"max"
6,370,370,0,370,0,"max"
7,436,436,0,436,0,"max"
8,300,300,0,300,0,"max"
9,164,164,0,164,0,"max"
10,212,212,0,212,0,"max"
11,143,143,0,143,0,"max"
12,35,35,0,35,0,"max"
13,436,NA,NA,NA,NA,"max"
1,3,3,0,3,0,"min"
2,3.18,3.18,0,3.18,0,"min"
3,3.94,3.94,0,3.94,0,"min"
4,6.26,6.26,0,6.26,0,"min"
5,16,16,0,16,0,"min"
6,62.6,62.6,0,62.6,0,"min"
7,55.7,55.7,0,55.7,0,"min"
8,26.4,26.4,0,26.4,0,"min"
9,15.4,15.4,0,15.4,0,"min"
10,10.8,10.8,0,10.8,0,"min"
11,5.6,5.6,0,5.6,0,"min"
12,4.9,4.9,0,4.9,0,"min"
13,3,NA,NA,NA,NA,"min"
