"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
"Apr",7.273,7.2732,-0.00020000000000131,7.2731,2.74985906974069e-05,"P01"
"Aug",35.08,35.08,-7.105427357601e-15,35.08,2.02549240524544e-16,"P01"
"Dec",5.624,5.624,-8.88178419700125e-16,5.624,1.57926461539852e-16,"P01"
"Feb",4.5,4.5,0,4.5,0,"P01"
"Jan",4.946,4.946,-8.88178419700125e-16,4.946,1.79575094965654e-16,"P01"
"Jul",68.28,68.28,0,68.28,0,"P01"
"Jun",77.532,77.532,-1.4210854715202e-14,77.532,1.83290186183795e-16,"P01"
"Mar",5.1,5.1,0,5.1,0,"P01"
"May",24.18,24.18,0,24.18,0,"P01"
"Nov",7.36,7.36,0,7.36,0,"P01"
"Oct",11.9,11.9,0,11.9,0,"P01"
"Sep",18.6,18.6,0,18.6,0,"P01"
"Apr",8.715,8.7145,0.000499999999998835,8.71475,5.73739923691253e-05,"P05"
"Aug",44,44,-7.105427357601e-15,44,1.61486985400023e-16,"P05"
"Dec",6.7,6.7,0,6.7,0,"P05"
"Feb",5.2,5.2,0,5.2,0,"P05"
"Jan",5.5,5.5,0,5.5,0,"P05"
"Jul",79.3,79.3,-1.4210854715202e-14,79.3,1.79203716459042e-16,"P05"
"Jun",92.59,92.59,-1.4210854715202e-14,92.59,1.53481528406977e-16,"P05"
"Mar",5.89,5.89,0,5.89,0,"P05"
"May",32.6,32.6,-7.105427357601e-15,32.6,2.17957894404939e-16,"P05"
"Nov",9.814,9.8135,0.000499999999997058,9.81375,5.0948923703687e-05,"P05"
"Oct",13.5,13.5,0,13.5,0,"P05"
"Sep",21.545,21.545,-7.105427357601e-15,21.545,3.29794725346995e-16,"P05"
"Apr",10.5,10.5,0,10.5,0,"P10"
"Aug",48.7,48.7,0,48.7,0,"P10"
"Dec",7.5,7.5,0,7.5,0,"P10"
"Feb",5.7,5.7,0,5.7,0,"P10"
"Jan",6,6,0,6,0,"P10"
"Jul",87.2,87.2,0,87.2,0,"P10"
"Jun",102,102,0,102,0,"P10"
"Mar",6.37,6.37,8.88178419700125e-16,6.37,1.39431463061244e-16,"P10"
"May",41.3,41.3,0,41.3,0,"P10"
"Nov",10.8,10.8,0,10.8,0,"P10"
"Oct",15.1,15.1,3.5527136788005e-15,15.1,2.35279051576192e-16,"P10"
"Sep",24.2,24.2,0,24.2,0,"P10"
"Apr",11.8,11.8,0,11.8,0,"P15"
"Aug",52.7,52.7,0,52.7,0,"P15"
"Dec",8,8,0,8,0,"P15"
"Feb",6.1,6.1,-8.88178419700125e-16,6.1,1.45603019622971e-16,"P15"
"Jan",6.49,6.49,0,6.49,0,"P15"
"Jul",92.2,92.2,0,92.2,0,"P15"
"Jun",109,109,0,109,0,"P15"
"Mar",6.7,6.7,0,6.7,0,"P15"
"May",46.2,46.2,0,46.2,0,"P15"
"Nov",11.735,11.735,-1.77635683940025e-15,11.735,1.51372547030273e-16,"P15"
"Oct",16.4,16.4,0,16.4,0,"P15"
"Sep",26.2,26.2,0,26.2,0,"P15"
"Apr",12.6,12.6,0,12.6,0,"P20"
"Aug",56.5,56.5,7.105427357601e-15,56.5,1.25759776240726e-16,"P20"
"Dec",8.5,8.5,0,8.5,0,"P20"
"Feb",6.37,6.37,0,6.37,0,"P20"
"Jan",6.8,6.8,0,6.8,0,"P20"
"Jul",97.1,97.1,0,97.1,0,"P20"
"Jun",117,117,0,117,0,"P20"
"Mar",7,7,0,7,0,"P20"
"May",51.2,51.2,1.4210854715202e-14,51.2,2.77555756156289e-16,"P20"
"Nov",12.7,12.7,0,12.7,0,"P20"
"Oct",17.4,17.4,0,17.4,0,"P20"
"Sep",28.3,28.3,0,28.3,0,"P20"
"Apr",13.425,13.425,0,13.425,0,"P25"
"Aug",59.8,59.8,0,59.8,0,"P25"
"Dec",9,9,0,9,0,"P25"
"Feb",6.6,6.6,0,6.6,0,"P25"
"Jan",7.05,7.05,0,7.05,0,"P25"
"Jul",102,102,0,102,0,"P25"
"Jun",124,124,0,124,0,"P25"
"Mar",7.25,7.25,0,7.25,0,"P25"
"May",56.1,56.1,0,56.1,0,"P25"
"Nov",13.4,13.4,0,13.4,0,"P25"
"Oct",18.4,18.4,0,18.4,0,"P25"
"Sep",30.1,30.1,0,30.1,0,"P25"
"Apr",14.6,14.6,0,14.6,0,"P30"
"Aug",63.3,63.3,-7.105427357601e-15,63.3,1.12250037244882e-16,"P30"
"Dec",9.34,9.34,0,9.34,0,"P30"
"Feb",6.8,6.8,0,6.8,0,"P30"
"Jan",7.3,7.3,0,7.3,0,"P30"
"Jul",106,106,0,106,0,"P30"
