"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"P01",21.02,13.96,21.72,107.71,250.8,318.84,266.6,182.2,115.42,80.1200000000001,63.942,26.26
"P02",16.24,13,20.2,89.952,230.4,295.26,246,165,97.6400000000001,67.92,49.742,23.54
"P05",13.6,11.9,16.5,69.7,195,250,223,139,80.6,55.8,38.855,19.2
"P10",11.3,10.4,14,54.01,168,225,198,117,67.73,44.6,31.21,16.5
"P15",10.6,9.6,13,45.065,153,209,183,106,61.3,39.1,27.665,15.2
"P20",10,9.17,12,39.4,139,197,172,99.1,56.44,35.1,25.3,14.2
"P25",9.7,8.79,11.1,34,128,188,161,93.2,52.65,32.3,23.5,13.5
"P30",9.4,8.58,10.3,30.8,118,181,153,88.1,49.73,30.3,22.2,12.9
"P35",9.2,8.35,9.68,27.7,110,174,147,83.8,46.785,28.8,21,12.1
"P40",8.94,8.08,9.15,25.14,102,167.4,139,80.7,44.64,26.9,19.9,11.6
"P45",8.65,7.9,8.78,22.7,94.3,162,133,77.4,42.4,25.6,19,11.2
"P50",8.35,7.7,8.44,20.6,86.4,157,126,74.9,40.35,24.5,18.05,10.8
"P55",8.07,7.56,8.24,18.6,79.3,151,121,72.2,38,23.1,16.9,10.5
"P60",7.85,7.35,8.04,17,72.4,145,116,69.4,35.9,21.7,16,10
"P65",7.6,7.1,7.82,15.8,65.4,138,111,66.4,34,20.6,15.1,9.69
"P70",7.3,6.8,7.58,14.6,60.5,131.7,106,63.3,31.9,19.5,14.27,9.34
"P75",7.05,6.6,7.25,13.425,56.1,124,102,59.8,30.1,18.4,13.4,9
"P80",6.8,6.37,7,12.6,51.2,117,97.1,56.5,28.3,17.4,12.7,8.5
"P85",6.49,6.1,6.7,11.8,46.2,109,92.2,52.7,26.2,16.4,11.735,8
"P90",6,5.7,6.37,10.5,41.3,102,87.2,48.7,24.2,15.1,10.8,7.5
"P95",5.5,5.2,5.89,8.7145,32.6,92.59,79.3,44,21.545,13.5,9.8135,6.7
"P99",4.946,4.5,5.1,7.2732,24.18,77.532,68.28,35.08,18.6,11.9,7.36,5.624
