"Month","P01","P02","P05","P10","P15","P20","P25","P30","P35","P40","P45","P50","P55","P60","P65","P70","P75","P80","P85","P90","P95","P99"
"Jan",21.02,16.24,13.6,11.3,10.6,10,9.7,9.4,9.2,8.94,8.65,8.35,8.07,7.85,7.6,7.3,7.05,6.8,6.49,6,5.5,4.946
"Feb",13.96,13,11.9,10.4,9.6,9.17,8.79,8.58,8.35,8.08,7.9,7.7,7.56,7.35,7.1,6.8,6.6,6.37,6.1,5.7,5.2,4.5
"Mar",21.72,20.2,16.5,14,13,12,11.1,10.3,9.68,9.15,8.78,8.44,8.24,8.04,7.82,7.58,7.25,7,6.7,6.37,5.89,5.1
"Apr",107.71,89.952,69.7,54.01,45.065,39.4,34,30.8,27.7,25.14,22.7,20.6,18.6,17,15.8,14.6,13.425,12.6,11.8,10.5,8.7145,7.2732
"May",250.8,230.4,195,168,153,139,128,118,110,102,94.3,86.4,79.3,72.4,65.4,60.5,56.1,51.2,46.2,41.3,32.6,24.18
"Jun",318.84,295.26,250,225,209,197,188,181,174,167.4,162,157,151,145,138,131.7,124,117,109,102,92.59,77.532
"Jul",266.6,246,223,198,183,172,161,153,147,139,133,126,121,116,111,106,102,97.1,92.2,87.2,79.3,68.28
"Aug",182.2,165,139,117,106,99.1,93.2,88.1,83.8,80.7,77.4,74.9,72.2,69.4,66.4,63.3,59.8,56.5,52.7,48.7,44,35.08
"Sep",115.42,97.6400000000001,80.6,67.73,61.3,56.44,52.65,49.73,46.785,44.64,42.4,40.35,38,35.9,34,31.9,30.1,28.3,26.2,24.2,21.545,18.6
"Oct",80.1200000000001,67.92,55.8,44.6,39.1,35.1,32.3,30.3,28.8,26.9,25.6,24.5,23.1,21.7,20.6,19.5,18.4,17.4,16.4,15.1,13.5,11.9
"Nov",63.942,49.742,38.855,31.21,27.665,25.3,23.5,22.2,21,19.9,19,18.05,16.9,16,15.1,14.27,13.4,12.7,11.735,10.8,9.8135,7.36
"Dec",26.26,23.54,19.2,16.5,15.2,14.2,13.5,12.9,12.1,11.6,11.2,10.8,10.5,10,9.69,9.34,9,8.5,8,7.5,6.7,5.624
