"Year","n.days","n.Q","n.miss.Q","min.Q","max.Q","mean.Q","sd.Q"
1964,366,366,0,3.94,314,56.6184972677596,62.1807174858145
1965,365,365,0,7.36,219,50.7575616438356,49.9569636141307
1966,365,365,0,5.66,214,57.6197534246575,59.1902184077641
1967,365,365,0,6.46,334,59.815397260274,71.5440992734167
1968,366,366,0,6.17,326,59.81,64.7451276804376
1969,365,365,0,4.42,245,54.2929589041096,57.2460767119734
1970,365,365,0,6.51,242,43.7383835616438,51.9038882954076
1971,365,365,0,7.11,254,52.9758904109589,56.3783649670828
1972,366,366,0,5.95,360,62.8085245901639,77.5495777649101
1973,365,365,0,3.99,241,43.7198356164384,47.8128279372547
1974,365,365,0,7.11,328,57.8005753424658,72.3965920282539
1975,365,365,0,5.52,246,50.9128219178082,58.8270107466675
1976,366,366,0,6.37,275,63.5240710382514,68.2703520527662
1977,365,365,0,7.22,246,43.6161369863014,45.5426282937674
1978,365,365,0,5.61,205,52.8895342465753,51.2486313143645
1979,365,365,0,6.74,225,48.0087397260274,51.0496885617679
1980,366,366,0,6.23,225,51.8782786885246,51.2912381797834
1981,365,365,0,7.8,234,54.9983561643836,52.8525311809703
1982,365,365,0,4.5,272,56.0207397260274,65.136256857593
1983,365,365,0,6.5,436,53.4592602739726,57.8042830911523
1984,366,366,0,6.6,309,51.6712295081967,57.7150190027186
1985,365,365,0,5.25,277,50.3081095890411,57.5122429439984
1986,365,365,0,5.5,341,52.9857260273973,66.4295017237476
1987,365,365,0,6.4,284,51.2456438356164,57.8423896989188
1988,366,366,0,3.18,214,52.1238797814208,52.4348301394729
1989,365,365,0,4.5,271,46.6092054794521,47.4374786067388
1990,365,365,0,6.3,263,56.3987945205479,56.2385706500673
1991,365,365,0,4.9,263,58.5770136986301,64.1929038058299
1992,366,366,0,5.3,224,48.600737704918,49.3594313010028
1993,365,365,0,4,212,39.7268219178082,42.4904563335402
1994,365,365,0,5.2,219,48.8150410958904,50.2647653099106
1995,365,365,0,5,225,51.1537534246575,50.5768786366986
1996,366,366,0,6.1,266,55.6732513661202,58.3758335303108
1997,365,365,0,4.5,316,67.0537808219178,71.4161412439205
1998,365,365,0,5.2,219,47.5332054794521,49.3299337203135
1999,365,365,0,6.21,345,66.6797534246575,74.3529002419514
2000,366,366,0,6.1,233,56.7813661202186,61.0332608426545
2001,365,365,0,6.3,228,44.7887945205479,47.7768105869522
2002,365,365,0,5.8,308,54.311397260274,69.1839326847182
2003,365,365,0,5.2,220,49.6608767123288,51.5997913073835
2004,366,366,0,4.5,226,52.0289071038251,48.5031150351952
2005,365,365,0,5.5,204,53.426301369863,47.7475955181627
2006,365,365,0,4.1,280,46.8978630136986,57.2193082357798
2007,365,365,0,5.19,324,56.9701643835616,66.8748663712363
2008,366,366,0,4.79,282,53.272650273224,62.9636398777536
2009,365,365,0,4.2,189,41.2063835616438,44.6164743949462
2010,365,365,0,3,200,44.7717808219178,44.5060458092853
2011,365,365,0,5.86,307,54.1936438356164,60.3252455047012
2012,366,366,0,7.3,370,63.0379234972678,73.0086735815826
2013,365,365,0,5.35,270,52.274301369863,57.6350477675924
2014,365,365,0,5.16,221,55.8763561643836,55.5155199776538
