"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1964,3.94,3.94,0,3.94,0,"annual_min_01day_sw"
1965,7.36,7.36,0,7.36,0,"annual_min_01day_sw"
1966,5.66,5.66,0,5.66,0,"annual_min_01day_sw"
1967,6.46,6.46,0,6.46,0,"annual_min_01day_sw"
1968,6.17,6.17,0,6.17,0,"annual_min_01day_sw"
1969,4.42,4.42,0,4.42,0,"annual_min_01day_sw"
1970,6.51,6.51,0,6.51,0,"annual_min_01day_sw"
1971,7.11,7.11,0,7.11,0,"annual_min_01day_sw"
1972,5.95,5.95,0,5.95,0,"annual_min_01day_sw"
1973,3.99,3.99,0,3.99,0,"annual_min_01day_sw"
1974,7.11,7.11,0,7.11,0,"annual_min_01day_sw"
1975,5.52,5.52,0,5.52,0,"annual_min_01day_sw"
1976,6.37,6.37,0,6.37,0,"annual_min_01day_sw"
1977,7.22,7.22,0,7.22,0,"annual_min_01day_sw"
1978,5.61,5.61,0,5.61,0,"annual_min_01day_sw"
1979,6.74,6.74,0,6.74,0,"annual_min_01day_sw"
1980,6.23,6.23,0,6.23,0,"annual_min_01day_sw"
1981,7.8,7.8,0,7.8,0,"annual_min_01day_sw"
1982,4.5,4.5,0,4.5,0,"annual_min_01day_sw"
1983,6.5,6.5,0,6.5,0,"annual_min_01day_sw"
1984,6.6,6.6,0,6.6,0,"annual_min_01day_sw"
1985,5.25,5.25,0,5.25,0,"annual_min_01day_sw"
1986,5.5,5.5,0,5.5,0,"annual_min_01day_sw"
1987,6.4,6.4,0,6.4,0,"annual_min_01day_sw"
1988,3.18,3.18,0,3.18,0,"annual_min_01day_sw"
1989,4.5,4.5,0,4.5,0,"annual_min_01day_sw"
1990,6.3,6.3,0,6.3,0,"annual_min_01day_sw"
1991,4.9,4.9,0,4.9,0,"annual_min_01day_sw"
1992,5.3,5.3,0,5.3,0,"annual_min_01day_sw"
1993,4,4,0,4,0,"annual_min_01day_sw"
1994,5.2,5.2,0,5.2,0,"annual_min_01day_sw"
1995,5,5,0,5,0,"annual_min_01day_sw"
1996,6.1,6.1,0,6.1,0,"annual_min_01day_sw"
1997,4.5,4.5,0,4.5,0,"annual_min_01day_sw"
1998,5.2,5.2,0,5.2,0,"annual_min_01day_sw"
1999,6.21,6.21,0,6.21,0,"annual_min_01day_sw"
2000,6.1,6.1,0,6.1,0,"annual_min_01day_sw"
