"Year","CY_MIN_01Day_SW","CY_MINDOY_01Day_SW","CY_MIN_03Day_SW","CY_MINDOY_03Day_SW","CY_MIN_07Day_SW","CY_MINDOY_07Day_SW","CY_MIN_30Day_SW","CY_MINDOY_30Day_SW","CY_MIN_DAILY_SW","CY_MAX_DAILY_SW","CY_MEAN_DAILY_SW","CY_TOTALQ_DAILY_SW","CY_YIELDMM_DAILY_SW","CY_CUMQ_DAILY_SW","CY_Date_25P_CUMQ_DAILY_SW","CY_Date_50P_CUMQ_DAILY_SW","CY_Date_75P_CUMQ_DAILY_SW","JFM_TOTALQ_DAILY_SW","AMJ_TOTALQ_DAILY_SW","JAS_TOTALQ_DAILY_SW","OND_TOTALQ_DAILY_SW","JFM_YIELDMM_DAILY_SW","AMJ_YIELDMM_DAILY_SW","JAS_YIELDMM_DAILY_SW","OND_YIELDMM_DAILY_SW","JAN_MIN_DAILY_SW","FEB_MIN_DAILY_SW","MAR_MIN_DAILY_SW","APR_MIN_DAILY_SW","MAY_MIN_DAILY_SW","JUN_MIN_DAILY_SW","JUL_MIN_DAILY_SW","AUG_MIN_DAILY_SW","SEP_MIN_DAILY_SW","OCT_MIN_DAILY_SW","NOV_MIN_DAILY_SW","DEC_MIN_DAILY_SW","JAN_MAX_DAILY_SW","FEB_MAX_DAILY_SW","MAR_MAX_DAILY_SW","APR_MAX_DAILY_SW","MAY_MAX_DAILY_SW","JUN_MAX_DAILY_SW","JUL_MAX_DAILY_SW","AUG_MAX_DAILY_SW","SEP_MAX_DAILY_SW","OCT_MAX_DAILY_SW","NOV_MAX_DAILY_SW","DEC_MAX_DAILY_SW","JAN_MEAN_DAILY_SW","FEB_MEAN_DAILY_SW","MAR_MEAN_DAILY_SW","APR_MEAN_DAILY_SW","MAY_MEAN_DAILY_SW","JUN_MEAN_DAILY_SW","JUL_MEAN_DAILY_SW","AUG_MEAN_DAILY_SW","SEP_MEAN_DAILY_SW","OCT_MEAN_DAILY_SW","NOV_MEAN_DAILY_SW","DEC_MEAN_DAILY_SW","JAN_P50_DAILY_SW","FEB_P50_DAILY_SW","MAR_P50_DAILY_SW","APR_P50_DAILY_SW","MAY_P50_DAILY_SW","JUN_P50_DAILY_SW","JUL_P50_DAILY_SW","AUG_P50_DAILY_SW","SEP_P50_DAILY_SW","OCT_P50_DAILY_SW","NOV_P50_DAILY_SW","DEC_P50_DAILY_SW","JAN_P20_DAILY_SW","FEB_P20_DAILY_SW","MAR_P20_DAILY_SW","APR_P20_DAILY_SW","MAY_P20_DAILY_SW","JUN_P20_DAILY_SW","JUL_P20_DAILY_SW","AUG_P20_DAILY_SW","SEP_P20_DAILY_SW","OCT_P20_DAILY_SW","NOV_P20_DAILY_SW","DEC_P20_DAILY_SW","JAN_P10_DAILY_SW","FEB_P10_DAILY_SW","MAR_P10_DAILY_SW","APR_P10_DAILY_SW","MAY_P10_DAILY_SW","JUN_P10_DAILY_SW","JUL_P10_DAILY_SW","AUG_P10_DAILY_SW","SEP_P10_DAILY_SW","OCT_P10_DAILY_SW","NOV_P10_DAILY_SW","DEC_P10_DAILY_SW","WY_MIN_01Day_SW","WY_MINDOY_01Day_SW","WY_MIN_03Day_SW","WY_MINDOY_03Day_SW","WY_MIN_07Day_SW","WY_MINDOY_07Day_SW","WY_MIN_30Day_SW","WY_MINDOY_30Day_SW","WY_MIN_DAILY_SW","WY_MAX_DAILY_SW","WY_MEAN_DAILY_SW","WY_TOTALQ_DAILY_SW","WY_YIELDMM_DAILY_SW","WY_CUMQ_DAILY_SW","WY_Date_25P_CUMQ_DAILY_SW","WY_Date_50P_CUMQ_DAILY_SW","WY_Date_75P_CUMQ_DAILY_SW","ONDJFM_TOTALQ_DAILY_SW","AMJJAS_TOTALQ_DAILY_SW","ONDJFM_YIELDMM_DAILY_SW","AMJJAS_YIELDMM_DAILY_SW","CY_N_BELOW_25","CY_N_ABOVE_75","CY_N_OUTSIDE_25_75"
1933,12,40,12.5,42,13.614,46,17.653,68,12,612,111.253,3508479360,1063.176,40607.4,154,178,213,172644480,1717554240,1123208640,495072000,52.317,520.471,340.366,150.022,23.6,12,19,28.9,128,300,143,60.6,48.4,45.9,55.8,44.7,30.9,23.3,27.2,136,340,612,394,134,60.6,133,106,54.7,27.542,18.232,20.448,53.47,187.323,415.6,274.903,92.239,53.957,62.5,75.07,49.69,27.9,19.1,19.9,34,175,405,294,88.1,53.2,53.2,71.65,50.1,25.1,14.94,19.4,31.7,133,339.4,191,71.1,50.94,48.4,63.1,47.3,24.1,13.42,19.2,31.08,130,322.4,172,62.9,49.8,47.9,61.11,45.3,12,132,12.5,134,13.614,138,17.653,160,12,612,104.59,3298363200,999.504,38175.5,230,260,283,457600320,2840762880,138.667,860.837,40,191,231
1934,24,292,24.633,292,25.086,293,26.513,304,24,470,95.22,3002849280,909.954,34755.2,121,150,186,282018240,1921190400,492825600,306815040,85.46,582.179,149.341,92.974,32.8,28.2,28.9,67.1,234,139,75.3,34,28.6,24,29.4,31.4,45,32.8,64.8,365,470,396,140,71.6,36,29.4,65.4,44.7,38.968,30.989,38.335,172.767,304.516,253.767,104.5,48.948,31.57,26.558,53.807,35.923,38.2,31.25,35.1,128.5,277,271.5,101,47.9,30.75,26.4,52.95,34.8,36.2,29.28,29.2,86.96,248,171,80.4,37.4,29.4,25.2,49.54,32.8,34.8,28.9,28.9,68.96,241,150.6,79,35.7,29.2,24.9,48.29,31.7,28.2,149,28.567,151,28.8,153,29.61,165,28.2,470,101.189,3191106240,967.002,36934.1,186,229,256,777090240,2414016000,235.482,731.52,109,182,291
1935,18.9,357,18.933,358,18.971,360,20.127,365,18.9,402,89.376,2818558080,854.109,32622.2,147,170,200,230083200,1470934080,923676480,193864320,69.722,445.738,279.902,58.747,23.2,28.2,25.4,24.9,80.7,270,143,51,32.3,25.9,22.5,18.9,43,38.5,29.7,76.2,345,402,292,135,53.2,32.3,25.9,22.5,28.584,32.9,27.603,44.27,181.987,335.167,221.484,82.965,41.76,28.916,24.037,20.203,27.9,32.55,27.3,40.8,136,345.5,232,82.1,41.75,29.2,24.3,20.3,23.2,29.7,26.6,25.56,116,291.4,176,58.3,37.22,27.3,22.98,19,23.2,29.02,25.9,25.38,92.9,278.6,164,54.1,34.24,26.4,22.86,19,23.2,111,23.2,113,23.2,117,26.513,31,23.2,402,92.958,2931508800,888.336,33929.5,221,255,281,536898240,2394610560,162.696,725.64,96,71,167
1936,13.9,337,13.9,339,14.086,341,15.07,346,13.9,464,75.552,2389124160,723.977,27651.9,132,154,183,138689280,1651449600,459069120,139916160,42.027,500.439,139.112,42.399,17,16.1,16.4,15.7,195,143,60,31.7,24.7,18.3,14.4,13.9,20.1,17,18,228,433,464,143,58.9,36.8,24.2,18.2,16.8,18.871,16.569,17.41,94.233,280.129,253.433,100.526,43.442,28.343,21.577,15.76,15.41,19.2,16.7,17.3,55.2,263,247,104,42.2,27.3,21.8,15.9,15.9,18.5,16.4,17,16.34,234,185.4,75.6,36.2,25.86,19.7,15.26,14.4,17,16.18,17,16,225,167.3,66.5,33.4,25.3,19,14.4,14,15.7,188,15.867,189,16.014,190,16.553,154,15.7,464,77.258,2443072320,740.325,28276.3,215,242,264,332553600,2110518720,100.774,639.551,305,37,342
1937,8.5,16,8.5,18,8.5,28,8.926,40,8.5,314,63.814,2012444352,609.832,23292.18,151,174,215,93163392,1070426880,552683520,296170560,28.231,324.372,167.48,89.749,8.5,8.5,13.2,16.7,49.3,218,74.2,36.2,24.7,25.5,41.9,27.5,12.7,17.1,15.6,45.3,236,314,219,77.3,37.1,54.4,53,39.9,9.859,12.045,14.045,27.493,131.335,249.767,123.5,53.294,30.54,32.916,46.97,32.206,8.58,11.3,13.6,29.05,118,245,118,50.4,30,28.3,46.4,30.9,8.5,9.91,13.3,18,92.6,233,81,42.8,26.56,25.7,44.14,28.9,8.5,8.5,13.2,17.09,87.5,226.7,77.6,39.4,26.06,25.5,43.54,27.9,8.5,108,8.5,110,8.5,120,8.926,132,8.5,314,58.859,1856189952,562.482,21483.68,231,256,279,233079552,1623110400,70.63,491.852,223,15,238
1938,18.2,58,18.267,58,18.386,60,20.06,67,18.2,416,80.66,2543702400,770.819,29441,141,162,188,191799360,1600145280,538012800,213744960,58.121,484.893,163.034,64.771,22.4,18.2,18.5,31.1,121,260,63.1,31.7,24.4,25.2,23.5,21.6,33.4,22.7,32.8,150,416,377,242,60.6,31.7,36.2,34.5,27.7,26.668,20.325,26.584,69.673,217.839,322.567,130.374,43.461,27.937,29.187,27.597,23.91,26.6,20.7,28.6,60.6,159,317,119,42.2,27.3,28.6,27.8,23.7,24.4,18.96,21.5,38.52,134,294,81.8,36.2,25.1,26.1,24.66,22.8,23.5,18.3,21.1,32.72,123,285.5,71.1,33.4,25.08,25.5,23.5,22.2,18.2,150,18.267,150,18.386,152,20.06,159,18.2,416,83.274,2626128000,795.796,30395,212,245,269,487969920,2138158080,147.87,647.927,130,18,148
1939,15.4,75,15.533,76,15.643,76,16.157,80,15.4,340,83.347,2628434880,796.495,30421.7,136,166,207,163892160,1434006720,650134080,380401920,49.664,434.547,197.01,115.273,20.4,16.1,15.4,42.8,188,197,91.7,35.7,26.1,25.5,37.7,37.4,27.5,29.2,38.8,214,340,268,238,88.6,37.7,108,69.1,56.9,22.861,19.293,20.903,79.477,250.065,215.367,157.842,54.194,31.72,43.855,52.697,47.174,22.3,18.6,16.1,63.3,251,212,159,49.8,31.55,26.6,52.4,47.6,21,16.7,15.7,47.94,207,203,110,39.6,28.6,25.9,42.38,40.2,20.8,16.6,15.6,46.67,195,199.9,102,38.5,27.46,25.7,40.06,39.6,15.4,167,15.533,168,15.643,168,16.157,172,15.4,340,78.062,2461777920,745.993,28492.8,214,243,275,377637120,2084140800,114.435,631.558,104,81,185
1940,21.8,352,22,58,22.114,59,23.3,63,21.8,394,73.233,2315813760,701.762,26803.4,133,157,193,230342400,1406401920,411739200,267330240,69.801,426.182,124.769,81.009,24.9,22,23,56.4,100,140,62.3,28.6,25.5,27.3,26.6,21.8,38.5,24.7,60.3,112,394,317,136,60.6,35.1,85.8,49,26.7,30.839,23.376,33.294,77.527,226.613,230.9,84.771,40.671,29.227,41.703,34.217,24.994,30.3,23.3,26.2,76.9,223,238.5,78.2,37.9,28.45,35.7,31.7,25.9,25.5,22.3,24.5,60.24,129,178.8,65.4,31.1,27.1,30.9,27.62,23.3,25.4,22.08,24.2,57.47,123,160.9,63.4,30.3,26.69,29.2,26.9,22.5,22,148,22,150,22.114,151,23.3,155,22,394,76.809,2428885440,736.026,28112.1,183,237,262,610744320,1818141120,185.074,550.952,111,49,160
1941,18,57,18.1,58,18.386,58,19.597,59,18,253,81.037,2555582400,774.419,29578.5,134,171,263,198547200,1223691840,589204800,544138560,60.166,370.816,178.547,164.89,20.3,18,22.7,66.8,128,141,51,35.7,59.5,76.5,46.2,39.6,24.9,21.1,63.4,153,253,221,148,52.4,114,99.7,74.8,79.3,21.748,19.536,34.735,90.537,186.806,188.533,90.755,42.361,89.763,90.89,60.587,53.635,21.5,19.5,31.1,84.7,191,195.5,83.3,40.8,97.7,91.7,61.55,51,20.8,18.58,29.7,70.82,161,167,61.4,38.2,66.52,86.4,50.52,47,20.4,18.3,29.2,68.42,140,151.9,54.7,37.4,62.73,84.1,48.29,43,18,149,18.1,150,18.386,150,19.597,151,18,253,72.259,2278774080,690.538,26374.7,198,240,275,465877440,1812896640,141.175,549.363,96,168,264
1942,18.5,342,18.633,343,18.671,347,19.373,365,18.5,368,74.461,2348187840,711.572,27178.1,143,167,198,198676800,1272818880,706043520,170648640,60.205,385.703,213.953,51.712,26.2,20.1,19.7,22.5,69.7,204,104,43.9,25.7,21.6,19.7,18.5,53,26.1,21.3,104,368,351,252,98.5,42.8,26.4,23.3,20.6,32.919,23.121,20.374,56.85,167.877,260.733,168.387,63.668,32.603,23.842,21.163,19.39,29.4,23.2,20.4,60.45,143,251.5,161,58.6,32.3,23.8,21.1,19.4,26.9,21.04,20,32.3,76.7,215.8,120,47,28.46,22.1,20.36,18.7,26.6,20.54,19.7,26.44,71.9,208.7,111,45.3,26.85,21.9,20.09,18.7,19.7,177,19.7,179,19.829,181,20.353,181,19.7,368,86.304,2721677760,824.751,31500.9,147,245,275,742815360,1978862400,225.096,599.655,146,23,169
