"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
"PIII",0.01,100,10.638,10.748,10.961,11.252
"PIII",0.05,20,12.709,12.861,13.051,13.354
"PIII",0.1,10,13.894,14.067,14.251,14.565
"PIII",0.2,5,15.397,15.593,15.779,16.113
"PIII",0.5,2,18.451,18.678,18.911,19.311
"PIII",0.8,1.25,21.68,21.91,22.268,22.786
"PIII",0.9,1.111,23.409,23.627,24.089,24.694
"PIII",0.95,1.053,24.847,25.046,25.618,26.31
"PIII",0.975,1.026,26.095,26.271,26.956,27.736
"PIII",0.98,1.02,26.465,26.634,27.355,28.164
"PIII",0.99,1.01,27.54,27.681,28.52,29.417
