"Measure","distr","prob","quantile"
"Q001-avg","PIII",0.975,25.917488582606
"Q001-avg","PIII",0.99,27.2648354553794
"Q001-avg","PIII",0.98,26.2651544511233
"Q001-avg","PIII",0.95,24.7378517004481
"Q001-avg","PIII",0.9,23.3614089023919
"Q001-avg","PIII",0.8,21.6830915152044
"Q001-avg","PIII",0.5,18.4914144529543
"Q001-avg","PIII",0.2,15.4138510290681
"Q001-avg","PIII",0.1,13.8829462599736
"Q001-avg","PIII",0.05,12.670142272344
"Q001-avg","PIII",0.01,10.5405017659529
"Q003-avg","PIII",0.975,26.1693513183493
"Q003-avg","PIII",0.99,27.5230714372056
"Q003-avg","PIII",0.98,26.5186933915572
"Q003-avg","PIII",0.95,24.9838573884121
"Q003-avg","PIII",0.9,23.6002357901239
"Q003-avg","PIII",0.8,21.912632036721
"Q003-avg","PIII",0.5,18.7015149992995
"Q003-avg","PIII",0.2,15.6026717796192
"Q003-avg","PIII",0.1,14.0601034131104
"Q003-avg","PIII",0.05,12.8374809133818
"Q003-avg","PIII",0.01,10.6891961072187
"Q007-avg","PIII",0.975,26.6571561996672
"Q007-avg","PIII",0.99,28.0512894585866
"Q007-avg","PIII",0.98,27.0168547004491
"Q007-avg","PIII",0.95,25.436906406239
"Q007-avg","PIII",0.9,24.0135091443308
"Q007-avg","PIII",0.8,22.278609942144
"Q007-avg","PIII",0.5,18.981563294015
"Q007-avg","PIII",0.2,15.8055676460232
"Q007-avg","PIII",0.1,14.2270431971851
"Q007-avg","PIII",0.05,12.9772340318565
"Q007-avg","PIII",0.01,10.7843566076545
"Q015-avg","PIII",0.975,27.2907157796167
"Q015-avg","PIII",0.99,28.7224295038787
"Q015-avg","PIII",0.98,27.6600893306663
"Q015-avg","PIII",0.95,26.0377568772998
"Q015-avg","PIII",0.9,24.5764342535623
"Q015-avg","PIII",0.8,22.7956647478757
"Q015-avg","PIII",0.5,19.4126299553727
"Q015-avg","PIII",0.2,16.1554905312488
"Q015-avg","PIII",0.1,14.5373536038578
"Q015-avg","PIII",0.05,13.2565655654439
"Q015-avg","PIII",0.01,11.0102655692008
