"Year","Q001-avg","Q003-avg","Q007-avg","Q015-avg"
1933,12,12.5,13.614,15.873
1934,24,24.633,25.086,25.2
1935,18.9,18.933,18.971,19.167
1936,13.9,13.9,14.086,14.393
1937,8.5,8.5,8.5,8.5
1938,18.2,18.267,18.386,18.987
1939,15.4,15.533,15.643,15.773
1940,21.8,22,22.114,22.467
1941,18,18.1,18.386,18.673
1942,18.5,18.633,18.671,19.153
1943,11.7,11.867,12.2,12.793
1944,13.8,13.9,13.986,14.18
1945,16.3,16.367,16.486,16.833
1946,16.7,16.733,16.857,17.12
1947,17.8,17.9,18.014,18.353
1948,16.1,16.233,16.4,16.607
1949,13.4,13.467,13.643,13.827
1950,17.4,17.6,17.929,18.867
1951,26,26,26.257,26.787
1952,13,13.267,13.786,14.373
1953,14.4,14.4,14.214,14.513
1954,18.6,19.2,19.514,19.973
1955,16.9,16.967,17.186,17.7
1956,17.6,17.667,17.8,18.153
1957,17.1,17.233,17.4,17.52
1958,19.6,19.667,19.714,20.113
1959,18.1,18.133,18.286,18.587
1960,19.9,20.033,20.143,20.547
1961,20.6,20.933,21.043,21.227
1962,17,17.367,17.429,17.873
1963,25.2,25.533,26.086,27.027
1964,17.1,17.2,17.429,17.68
1965,22.8,23,23.314,23.433
1966,19,19.133,19.557,20.14
1967,21.2,21.533,22,22.293
1968,19.5,20.833,24.414,24.78
1969,17.1,17.267,17.586,18.493
1970,20,20.3,20.443,20.607
1971,20.8,20.9,20.886,21.307
1972,18,18,18.086,18.267
1973,17.7,17.833,18.014,18.36
1974,17.9,18.4,18.971,19.26
1975,16,16.733,17.057,17.267
1976,19.9,20,20.2,20.267
1977,16.3,16.333,16.371,16.88
1978,15.7,16,16.243,16.58
1979,16.7,16.7,16.871,17.26
1980,13.8,14.167,14.571,14.72
1981,29.2,29.467,30.457,31.753
1982,24.6,24.7,24.786,25.9
1983,25.8,25.933,26.529,27.313
1984,20.4,20.533,20.857,21.153
1985,15.4,15.467,15.486,15.553
1986,19.8,19.867,20,20.233
1987,16.7,16.867,17.029,17.527
1988,15.2,15.267,15.4,15.72
1989,17.7,17.7,17.871,18.38
1990,22.7,22.833,23,23.3
1991,18.7,18.8,19.057,19.56
1992,16.3,16.367,16.471,16.667
1993,14.4,15.2,15.329,15.353
1994,17,17.8,17.9,18.013
1995,17.5,17.533,17.686,17.887
1996,27.8,27.933,28.5,29.427
1997,23.9,23.933,24.129,24.36
1998,23.1,23.2,23.457,23.927
1999,23.5,23.567,23.786,24.427
2000,18,18.7,18.971,19.367
2001,14.5,14.533,14.6,14.807
2002,18.7,18.8,19.014,19.713
2003,18.4,18.433,18.543,18.707
2004,19,19.033,19.186,19.347
2005,24.4,25.267,26.743,28.74
2006,19.7,19.933,20.543,21.187
2007,19,19.1,19.171,19.253
2008,15.9,16.1,16.643,17.453
2009,17.6,18.1,18.514,19.027
2010,20.2,20.2,20.386,20.693
2011,18.4,18.967,19.3,19.807
2012,16.9,17.167,17.214,17.633
2013,22.6,22.7,22.814,22.96
2014,17,17.267,17.5,18.027
2015,25.3,25.4,25.614,26.653
