"Year","Measure","value"
1933,"Q001-avg",12
1933,"Q003-avg",12.5
1933,"Q007-avg",13.6142857142857
1933,"Q015-avg",15.8733333333333
1934,"Q001-avg",24
1934,"Q003-avg",24.6333333333333
1934,"Q007-avg",25.0857142857143
1934,"Q015-avg",25.2
1935,"Q001-avg",18.9
1935,"Q003-avg",18.9333333333333
1935,"Q007-avg",18.9714285714286
1935,"Q015-avg",19.1666666666667
1936,"Q001-avg",13.9
1936,"Q003-avg",13.9
1936,"Q007-avg",14.0857142857143
1936,"Q015-avg",14.3933333333333
1937,"Q001-avg",8.5
1937,"Q003-avg",8.5
1937,"Q007-avg",8.5
1937,"Q015-avg",8.5
1938,"Q001-avg",18.2
1938,"Q003-avg",18.2666666666667
1938,"Q007-avg",18.3857142857143
1938,"Q015-avg",18.9866666666667
1939,"Q001-avg",15.4
1939,"Q003-avg",15.5333333333333
1939,"Q007-avg",15.6428571428571
1939,"Q015-avg",15.7733333333333
1940,"Q001-avg",21.8
1940,"Q003-avg",22
1940,"Q007-avg",22.1142857142857
1940,"Q015-avg",22.4666666666667
1941,"Q001-avg",18
1941,"Q003-avg",18.1
1941,"Q007-avg",18.3857142857143
1941,"Q015-avg",18.6733333333333
1942,"Q001-avg",18.5
1942,"Q003-avg",18.6333333333333
1942,"Q007-avg",18.6714285714286
1942,"Q015-avg",19.1533333333333
1943,"Q001-avg",11.7
1943,"Q003-avg",11.8666666666667
1943,"Q007-avg",12.2
1943,"Q015-avg",12.7933333333333
1944,"Q001-avg",13.8
1944,"Q003-avg",13.9
1944,"Q007-avg",13.9857142857143
1944,"Q015-avg",14.18
1945,"Q001-avg",16.3
1945,"Q003-avg",16.3666666666667
1945,"Q007-avg",16.4857142857143
1945,"Q015-avg",16.8333333333333
1946,"Q001-avg",16.7
1946,"Q003-avg",16.7333333333333
1946,"Q007-avg",16.8571428571429
1946,"Q015-avg",17.12
1947,"Q001-avg",17.8
1947,"Q003-avg",17.9
1947,"Q007-avg",18.0142857142857
1947,"Q015-avg",18.3533333333333
1948,"Q001-avg",16.1
1948,"Q003-avg",16.2333333333333
1948,"Q007-avg",16.4
1948,"Q015-avg",16.6066666666667
1949,"Q001-avg",13.4
1949,"Q003-avg",13.4666666666667
1949,"Q007-avg",13.6428571428571
1949,"Q015-avg",13.8266666666667
1950,"Q001-avg",17.4
1950,"Q003-avg",17.6
1950,"Q007-avg",17.9285714285714
1950,"Q015-avg",18.8666666666667
1951,"Q001-avg",26
1951,"Q003-avg",26
1951,"Q007-avg",26.2571428571429
1951,"Q015-avg",26.7866666666667
1952,"Q001-avg",13
1952,"Q003-avg",13.2666666666667
1952,"Q007-avg",13.7857142857143
1952,"Q015-avg",14.3733333333333
1953,"Q001-avg",14.4
1953,"Q003-avg",14.4
1953,"Q007-avg",14.2142857142857
1953,"Q015-avg",14.5133333333333
1954,"Q001-avg",18.6
1954,"Q003-avg",19.2
1954,"Q007-avg",19.5142857142857
1954,"Q015-avg",19.9733333333333
1955,"Q001-avg",16.9
1955,"Q003-avg",16.9666666666667
1955,"Q007-avg",17.1857142857143
1955,"Q015-avg",17.7
1956,"Q001-avg",17.6
1956,"Q003-avg",17.6666666666667
1956,"Q007-avg",17.8
1956,"Q015-avg",18.1533333333333
1957,"Q001-avg",17.1
1957,"Q003-avg",17.2333333333333
1957,"Q007-avg",17.4
1957,"Q015-avg",17.52
1958,"Q001-avg",19.6
1958,"Q003-avg",19.6666666666667
1958,"Q007-avg",19.7142857142857
1958,"Q015-avg",20.1133333333333
1959,"Q001-avg",18.1
1959,"Q003-avg",18.1333333333333
1959,"Q007-avg",18.2857142857143
1959,"Q015-avg",18.5866666666667
1960,"Q001-avg",19.9
1960,"Q003-avg",20.0333333333333
1960,"Q007-avg",20.1428571428571
1960,"Q015-avg",20.5466666666667
1961,"Q001-avg",20.6
1961,"Q003-avg",20.9333333333333
1961,"Q007-avg",21.0428571428571
1961,"Q015-avg",21.2266666666667
1962,"Q001-avg",17
1962,"Q003-avg",17.3666666666667
1962,"Q007-avg",17.4285714285714
1962,"Q015-avg",17.8733333333333
1963,"Q001-avg",25.2
1963,"Q003-avg",25.5333333333333
1963,"Q007-avg",26.0857142857143
1963,"Q015-avg",27.0266666666667
1964,"Q001-avg",17.1
1964,"Q003-avg",17.2
1964,"Q007-avg",17.4285714285714
1964,"Q015-avg",17.68
1965,"Q001-avg",22.8
1965,"Q003-avg",23
1965,"Q007-avg",23.3142857142857
1965,"Q015-avg",23.4333333333333
1966,"Q001-avg",19
1966,"Q003-avg",19.1333333333333
1966,"Q007-avg",19.5571428571429
1966,"Q015-avg",20.14
