"year","Value.Q","Value.E","diff","mean","pdiff","stat"
1933,12,12,0,12,0,"annual_min_01day_sw"
1934,24,24,0,24,0,"annual_min_01day_sw"
1935,18.9,18.9,0,18.9,0,"annual_min_01day_sw"
1936,13.9,13.9,0,13.9,0,"annual_min_01day_sw"
1937,8.5,8.5,0,8.5,0,"annual_min_01day_sw"
1938,18.2,18.2,0,18.2,0,"annual_min_01day_sw"
1939,15.4,15.4,0,15.4,0,"annual_min_01day_sw"
1940,21.8,21.8,0,21.8,0,"annual_min_01day_sw"
1941,18,18,0,18,0,"annual_min_01day_sw"
1942,18.5,18.5,0,18.5,0,"annual_min_01day_sw"
1943,11.7,11.7,0,11.7,0,"annual_min_01day_sw"
1944,13.8,13.8,0,13.8,0,"annual_min_01day_sw"
1945,16.3,16.3,0,16.3,0,"annual_min_01day_sw"
1946,16.7,16.7,0,16.7,0,"annual_min_01day_sw"
1947,17.8,17.8,0,17.8,0,"annual_min_01day_sw"
1948,16.1,16.1,0,16.1,0,"annual_min_01day_sw"
1949,13.4,13.4,0,13.4,0,"annual_min_01day_sw"
1950,17.4,17.4,0,17.4,0,"annual_min_01day_sw"
1951,26,26,0,26,0,"annual_min_01day_sw"
1952,13,13,0,13,0,"annual_min_01day_sw"
1953,14.4,14.4,0,14.4,0,"annual_min_01day_sw"
1954,18.6,18.6,0,18.6,0,"annual_min_01day_sw"
1955,16.9,16.9,0,16.9,0,"annual_min_01day_sw"
1956,17.6,17.6,0,17.6,0,"annual_min_01day_sw"
1957,17.1,17.1,0,17.1,0,"annual_min_01day_sw"
1958,19.6,19.6,0,19.6,0,"annual_min_01day_sw"
1959,18.1,18.1,0,18.1,0,"annual_min_01day_sw"
1960,19.9,19.9,0,19.9,0,"annual_min_01day_sw"
1961,20.6,20.6,0,20.6,0,"annual_min_01day_sw"
1962,17,17,0,17,0,"annual_min_01day_sw"
1963,25.2,25.2,0,25.2,0,"annual_min_01day_sw"
1964,17.1,17.1,0,17.1,0,"annual_min_01day_sw"
1965,22.8,22.8,0,22.8,0,"annual_min_01day_sw"
1966,19,19,0,19,0,"annual_min_01day_sw"
1967,21.2,21.2,0,21.2,0,"annual_min_01day_sw"
1968,19.5,19.5,0,19.5,0,"annual_min_01day_sw"
1969,17.1,17.1,0,17.1,0,"annual_min_01day_sw"
1970,20,20,0,20,0,"annual_min_01day_sw"
1971,20.8,20.8,0,20.8,0,"annual_min_01day_sw"
1972,18,18,0,18,0,"annual_min_01day_sw"
1973,17.7,17.7,0,17.7,0,"annual_min_01day_sw"
1974,17.9,17.9,0,17.9,0,"annual_min_01day_sw"
1975,16,16,0,16,0,"annual_min_01day_sw"
1976,19.9,19.9,0,19.9,0,"annual_min_01day_sw"
1977,16.3,16.3,0,16.3,0,"annual_min_01day_sw"
1978,15.7,15.7,0,15.7,0,"annual_min_01day_sw"
1979,16.7,16.7,0,16.7,0,"annual_min_01day_sw"
1980,13.8,13.8,0,13.8,0,"annual_min_01day_sw"
1981,29.2,29.2,0,29.2,0,"annual_min_01day_sw"
1982,24.6,24.6,0,24.6,0,"annual_min_01day_sw"
1983,25.8,25.8,0,25.8,0,"annual_min_01day_sw"
1984,20.4,20.4,0,20.4,0,"annual_min_01day_sw"
1985,15.4,15.4,0,15.4,0,"annual_min_01day_sw"
1986,19.8,19.8,0,19.8,0,"annual_min_01day_sw"
1987,16.7,16.7,0,16.7,0,"annual_min_01day_sw"
1988,15.2,15.2,0,15.2,0,"annual_min_01day_sw"
1989,17.7,17.7,0,17.7,0,"annual_min_01day_sw"
1990,22.7,22.7,0,22.7,0,"annual_min_01day_sw"
1991,18.7,18.7,0,18.7,0,"annual_min_01day_sw"
1992,16.3,16.3,0,16.3,0,"annual_min_01day_sw"
1993,14.4,14.4,0,14.4,0,"annual_min_01day_sw"
1994,17,17,0,17,0,"annual_min_01day_sw"
1995,17.5,17.5,0,17.5,0,"annual_min_01day_sw"
1996,27.8,27.8,0,27.8,0,"annual_min_01day_sw"
1997,23.9,23.9,0,23.9,0,"annual_min_01day_sw"
1998,23.1,23.1,0,23.1,0,"annual_min_01day_sw"
1999,23.5,23.5,0,23.5,0,"annual_min_01day_sw"
2000,18,18,0,18,0,"annual_min_01day_sw"
2001,14.5,14.5,0,14.5,0,"annual_min_01day_sw"
2002,18.7,18.7,0,18.7,0,"annual_min_01day_sw"
2003,18.4,18.4,0,18.4,0,"annual_min_01day_sw"
2004,19,19,0,19,0,"annual_min_01day_sw"
2005,24.4,24.4,0,24.4,0,"annual_min_01day_sw"
2006,19.7,19.7,0,19.7,0,"annual_min_01day_sw"
2007,19,19,0,19,0,"annual_min_01day_sw"
2008,15.9,15.9,0,15.9,0,"annual_min_01day_sw"
2009,17.6,17.6,0,17.6,0,"annual_min_01day_sw"
2010,20.2,20.2,0,20.2,0,"annual_min_01day_sw"
