"Month","Value.Q","Value.E","diff","mean","pdiff","stat"
1,25.2220870579091,25.22209,-2.94209090156983e-06,25.2220885289546,1.16647394135991e-07,"mean"
2,23.6316766211604,23.63168,-3.37883960099816e-06,23.6316783105802,1.42979248303554e-07,"mean"
3,28.0954527788574,28.09545,2.77885740018746e-06,28.0954513894287,9.8907732845077e-08,"mean"
4,67.8198795180723,67.81988,-4.81927699524931e-07,67.8198797590362,7.10599460272149e-09,"mean"
5,217.33179168286,217.3318,-8.3171399865023e-06,217.33179584143,3.8269319748182e-08,"mean"
6,313.786345381526,313.7863,4.5381526035726e-05,313.786322690763,1.44625570823396e-07,"mean"
7,179.308900116595,179.3089,1.16595003873954e-07,179.308900058297,6.50246607034264e-10,"mean"
8,70.036455499417,70.03646,-4.50058300316414e-06,70.0364577497085,6.42605743889563e-08,"mean"
9,44.1738152610442,44.17382,-4.73895580199724e-06,44.1738176305221,1.07279742983383e-07,"mean"
10,40.9384764865915,40.93848,-3.51340850102133e-06,40.9384782432957,8.58216683126638e-08,"mean"
11,39.8424899598394,39.84249,-4.01606001787513e-08,39.8424899799197,1.00798419473763e-09,"mean"
12,31.1869801787796,31.18698,1.7877960090118e-07,31.1869800893898,5.73250761660001e-09,"mean"
13,90.3288101599868,90.32881,1.59986797143574e-07,90.3288100799934,1.77116024225154e-09,"mean"
1,23.8,23.8,0,23.8,0,"median"
2,21.2,21.2,0,21.2,0,"median"
3,24.8,24.8,0,24.8,0,"median"
4,56.7,56.7,0,56.7,0,"median"
5,199,199,0,199,0,"median"
6,304,304,0,304,0,"median"
7,160,160,0,160,0,"median"
8,62.8,62.8,0,62.8,0,"median"
9,38.5,38.5,0,38.5,0,"median"
10,37,37,0,37,0,"median"
11,36.8,36.8,0,36.8,0,"median"
12,28.3,28.3,0,28.3,0,"median"
13,42.5,42.5,0,42.5,0,"median"
1,78.7,78.7,0,78.7,0,"max"
2,103,103,0,103,0,"max"
3,119,119,0,119,0,"max"
4,384,384,0,384,0,"max"
5,606,606,0,606,0,"max"
6,694,694,0,694,0,"max"
7,602,602,0,602,0,"max"
8,230,230,0,230,0,"max"
9,151,151,0,151,0,"max"
10,133,133,0,133,0,"max"
11,241,241,0,241,0,"max"
12,113,113,0,113,0,"max"
13,694,NA,NA,NA,NA,"max"
1,8.5,8.5,0,8.5,0,"min"
2,8.5,8.5,0,8.5,0,"min"
3,13.2,13.2,0,13.2,0,"min"
4,15.3,15.3,0,15.3,0,"min"
5,35.1,35.1,0,35.1,0,"min"
6,107,107,0,107,0,"min"
7,46.7,46.7,0,46.7,0,"min"
8,27.9,27.9,0,27.9,0,"min"
9,22.2,22.2,0,22.2,0,"min"
10,17.2,17.2,0,17.2,0,"min"
11,13,13,0,13,0,"min"
12,13.7,13.7,0,13.7,0,"min"
13,8.5,NA,NA,NA,NA,"min"
